t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2283.0,4.99,1192.99,293.125,1.59213,662.272,662.205,9.43856,293.403,0.115133,62.4021,62.3741,-1.86916,724.619,724.579,7.5694
0.247,12.5,0.0,2281.0,4.99,1191.94,294.17,1.59736,665.457,665.454,1.93604,294.36,0.11948,62.993,62.9885,-0.756897,728.444,728.443,1.17915
0.497,12.5,0.0,2279.0,4.96,1183.74,294.095,1.59365,662.793,662.788,2.38474,294.442,0.115295,61.3022,61.2997,-0.552504,724.09,724.088,1.83224
0.731,12.5,0.0,2279.0,4.99,1190.9,293.556,1.58758,661.508,661.49,4.8952,293.737,0.121101,64.502,64.4848,-1.49083,725.982,725.975,3.40437
0.935,12.5,0.0,2280.0,4.96,1184.25,291.058,1.58356,663.226,663.135,10.9942,291.378,0.117685,62.0936,62.0918,0.472348,725.317,725.227,11.4665
1.185,12.5,0.0,2280.0,4.98,1189.03,289.844,1.5902,664.062,663.978,10.5692,290.059,0.119577,64.4987,64.4588,-2.26844,728.484,728.437,8.30079
1.419,12.5,0.0,2280.0,4.96,1184.25,291.609,1.59412,666.934,666.908,5.9232,291.855,0.116333,61.2358,61.2325,0.637214,728.17,728.14,6.56042
1.622,12.5,0.0,2282.0,5.01,1197.24,293.067,1.61095,669.125,669.108,4.8132,293.301,0.114066,61.612,61.5806,-1.96631,730.694,730.688,2.8469
1.872,12.5,0.0,2279.0,5.0,1193.28,292.886,1.59602,666.818,666.815,1.9732,293.144,0.117952,61.6118,61.6112,0.283167,728.43,728.426,2.25637
2.122,12.5,0.0,2278.0,5.08,1211.84,294.152,1.60229,665.675,665.671,2.23876,294.494,0.111044,60.1444,60.1284,-1.38808,725.8,725.799,0.850688
2.372,12.5,0.0,2281.0,4.93,1177.61,292.659,1.59785,666.063,666.063,0.750494,292.881,0.118978,63.4024,63.3901,-1.24736,729.453,729.453,-0.496867
2.622,12.5,0.0,2281.0,4.97,1187.16,291.989,1.57993,658.782,658.763,5.07466,292.351,0.116106,62.475,62.4703,-0.76273,721.246,721.233,4.31193
2.825,12.5,0.0,2282.0,4.96,1185.29,290.991,1.58771,659.445,659.387,8.72094,291.207,0.119057,63.9226,63.8844,-2.20895,723.301,723.271,6.51199
3.075,12.5,0.0,2281.0,4.99,1191.94,292.958,1.60764,669.162,669.087,10.0268,293.124,0.120936,63.1534,63.1532,0.151855,732.311,732.24,10.1787
3.325,12.5,0.0,2281.0,4.94,1180.0,291.516,1.58543,661.857,661.826,6.46098,291.861,0.114649,61.5626,61.562,-0.254347,723.414,723.388,6.20663
3.575,12.5,0.0,2280.0,4.97,1186.64,294.776,1.61733,669.249,669.238,3.77538,294.991,0.119349,63.3271,63.3043,-1.7025,732.545,732.542,2.07289
3.825,12.5,0.0,2281.0,4.96,1184.77,294.457,1.60015,665.065,665.064,1.23877,294.81,0.112821,60.7683,60.7558,-1.23358,725.82,725.82,0.00518847
4.028,12.5,0.0,2281.0,4.95,1182.39,291.814,1.58095,660.827,660.819,3.25733,292.059,0.116895,62.9999,62.9727,-1.85123,723.793,723.792,1.40609
4.278,12.5,0.0,2282.0,4.97,1187.68,293.663,1.59827,666.29,666.256,6.74038,293.866,0.118495,61.9274,61.9271,0.207729,728.216,728.183,6.94811
