t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,4.97,1186.64,315.65,1.19605,669.879,669.762,-12.5155,316.306,0.10845,58.5857,58.5629,-1.63386,728.463,728.325,-14.1493
0.262,12.5,0.0,2281.0,4.95,1182.39,315.103,1.19304,669.399,669.293,-11.93,315.801,0.107323,58.2092,58.1962,-1.22835,727.608,727.489,-13.1583
0.512,12.5,0.0,2280.0,4.96,1184.25,310.708,1.18667,671.792,671.636,-14.4553,311.423,0.109348,58.3071,58.3052,-0.471074,730.094,729.941,-14.9264
0.762,12.5,0.0,2280.0,4.99,1191.42,317.373,1.20228,666.769,666.626,-13.8136,317.969,0.109296,58.3394,58.318,-1.57998,725.108,724.944,-15.3936
1.012,12.5,0.0,2280.0,4.96,1184.25,315.976,1.20037,670.428,670.311,-12.5144,316.618,0.109443,58.9867,58.9648,-1.60663,729.412,729.276,-14.121
1.262,12.5,0.0,2280.0,4.93,1177.09,315.609,1.20006,669.29,669.156,-13.413,316.282,0.107019,57.7659,57.7577,-0.971409,727.056,726.914,-14.3844
1.512,12.5,0.0,2279.0,4.96,1183.74,310.216,1.17965,672.358,672.216,-13.855,310.91,0.108274,58.7973,58.7968,-0.239678,731.148,731.012,-14.0947
1.762,12.5,0.0,2280.0,4.96,1184.25,319.145,1.21111,668.999,668.861,-13.5804,319.717,0.110523,58.9695,58.9491,-1.55168,727.967,727.81,-15.132
2.012,12.5,0.0,2280.0,4.94,1179.48,314.387,1.19409,670.241,670.117,-12.9032,315.049,0.107725,58.1011,58.0894,-1.16551,728.342,728.206,-14.0687
2.262,12.5,0.0,2280.0,4.94,1179.48,311.346,1.18745,672.917,672.801,-12.5083,312.042,0.108029,58.3362,58.3289,-0.924471,731.253,731.13,-13.4328
2.512,12.5,0.0,2280.0,4.96,1184.25,317.741,1.21683,668.425,668.279,-13.9866,318.281,0.111609,59.6954,59.6584,-2.10372,728.115,727.937,-16.0903
2.762,12.5,0.0,2281.0,4.96,1184.77,315.541,1.19046,669.945,669.811,-13.418,316.218,0.108469,58.3569,58.3438,-1.23387,728.302,728.155,-14.6519
3.012,12.5,0.0,2280.0,4.97,1186.64,310.408,1.18773,674.075,673.957,-12.5782,311.057,0.106825,57.8563,57.8539,-0.522858,731.928,731.811,-13.1011
3.262,12.5,0.0,2280.0,4.94,1179.48,310.093,1.18935,673.778,673.665,-12.3384,310.745,0.108108,58.353,58.3505,-0.54423,732.128,732.015,-12.8827
3.512,12.5,0.0,2280.0,4.99,1191.42,310.37,1.18885,673.508,673.403,-11.9293,311.009,0.108413,58.3721,58.3696,-0.531445,731.878,731.772,-12.4608
3.762,12.5,0.0,2279.0,4.91,1171.8,310.219,1.19863,671.296,671.132,-14.8185,310.723,0.109663,59.4959,59.4648,-1.92209,730.789,730.597,-16.7406
4.012,12.5,0.0,2279.0,4.94,1178.96,311.321,1.20684,671.247,671.091,-14.4552,311.739,0.110881,59.754,59.7328,-1.5909,731.0,730.824,-16.0461
4.262,12.5,0.0,2279.0,4.95,1181.35,310.788,1.20312,672.168,672.004,-14.8645,311.276,0.111181,59.6835,59.6665,-1.42759,731.851,731.67,-16.2921
4.512,12.5,0.0,2279.0,4.94,1178.96,310.272,1.20065,671.387,671.224,-14.787,310.774,0.110191,59.4929,59.466,-1.78898,730.878,730.69,-16.576
4.762,12.5,0.0,2279.0,4.96,1183.74,313.848,1.21041,668.072,667.914,-14.5679,314.279,0.110878,59.6548,59.6301,-1.71661,727.726,727.544,-16.2845
5.012,12.5,0.0,2279.0,4.94,1178.96,311.868,1.18778,670.46,670.27,-15.9909,312.357,0.112286,60.4571,60.4493,-0.972355,730.916,730.719,-16.9632
5.262,12.5,0.0,2285.0,4.97,1189.24,312.84,1.52457,659.72,659.409,20.2726,313.405,0.192593,59.3273,58.7809,8.03322,718.747,718.189,28.3059
5.512,12.5,0.32,2297.0,4.44,1068.0,195.216,2.15511,497.362,405.363,288.184,196.44,0.491949,156.564,2.50932,156.544,603.442,407.872,444.727
5.762,12.5,0.96,2315.0,4.45,1078.8,197.724,2.16128,521.807,419.055,310.926,198.933,0.504172,160.568,4.75452,160.497,633.92,423.81,471.423
5.965,12.5,1.44,2296.0,5.45,1310.38,312.956,1.37343,778.648,778.636,-4.40732,313.462,0.154153,84.9201,84.9082,-1.42164,863.564,863.544,-5.82897
6.215,12.5,1.12,2281.0,5.4,1289.88,315.242,1.36106,760.563,760.538,-6.167,315.823,0.132975,71.6806,71.6754,-0.864577,832.243,832.213,-7.03158
6.465,12.5,0.8,2278.0,4.72,1125.96,315.507,1.289,710.061,710.055,-2.7964,315.954,0.119906,62.7521,62.7517,0.226638,772.811,772.807,-2.56976
6.668,12.5,0.64,2283.0,4.87,1164.3,312.918,1.13784,627.766,627.764,1.54671,313.381,0.101407,52.2387,52.2378,0.303199,680.005,680.002,1.84991
6.918,12.5,0.64,2281.0,5.04,1203.88,313.605,1.25588,693.281,693.26,-5.48557,314.07,0.115349,60.539,60.5372,0.464177,753.813,753.797,-5.02139
7.168,12.5,0.32,2279.0,4.88,1164.64,312.396,1.16487,644.395,644.362,-6.46216,312.909,0.10445,54.1043,54.1024,0.457716,698.491,698.465,-6.00445
