t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,5.01,1196.72,308.329,1.191,673.21,673.055,-14.4426,308.915,0.108653,56.4666,56.4663,0.197327,729.66,729.521,-14.2452
0.263,12.5,0.0,2281.0,5.0,1194.33,308.601,1.19434,677.205,677.051,-14.4573,309.244,0.107247,56.5977,56.597,-0.280884,733.796,733.648,-14.7382
0.513,12.5,0.0,2281.0,4.96,1184.77,308.965,1.20072,674.491,674.352,-13.7256,309.476,0.108952,57.0684,57.0684,0.0637567,731.548,731.42,-13.6618
0.763,12.5,0.0,2282.0,4.98,1190.07,308.752,1.19851,674.208,674.07,-13.6259,309.278,0.107859,56.5443,56.5439,0.204857,730.737,730.614,-13.4211
1.013,12.5,0.0,2281.0,4.97,1187.16,312.394,1.22255,676.224,676.06,-14.9011,312.823,0.112012,57.5701,57.568,0.489898,733.769,733.628,-14.4112
1.263,12.5,0.0,2282.0,4.98,1190.07,313.84,1.21871,673.766,673.63,-13.5461,314.197,0.111158,57.7369,57.7359,0.351769,731.485,731.366,-13.1943
1.513,12.5,0.0,2281.0,5.01,1196.72,310.678,1.18146,672.178,672.047,-13.2383,311.351,0.106486,56.7568,56.7544,-0.517419,728.932,728.802,-13.7557
1.763,12.5,0.0,2281.0,5.0,1194.33,308.984,1.19539,674.463,674.333,-13.2471,309.567,0.107971,56.5559,56.5559,0.0181177,731.008,730.889,-13.229
2.013,12.5,0.0,2281.0,4.99,1191.94,309.084,1.20278,674.086,673.942,-13.9692,309.643,0.108494,56.7698,56.7694,0.218107,730.84,730.711,-13.7511
2.263,12.5,0.0,2282.0,5.0,1194.85,309.424,1.20266,674.606,674.458,-14.1465,309.958,0.108804,56.7009,56.7004,0.218682,731.291,731.158,-13.9279
2.513,12.5,0.0,2281.0,4.98,1189.55,308.942,1.20613,676.921,676.774,-14.1031,309.467,0.109847,57.0927,57.0926,0.101982,734.001,733.867,-14.0011
2.763,12.5,0.0,2282.0,4.99,1192.46,314.041,1.19819,670.115,669.996,-12.6256,314.707,0.106651,56.319,56.3131,-0.814095,726.434,726.309,-13.4397
3.013,12.5,0.0,2282.0,4.99,1192.46,309.083,1.17919,672.611,672.481,-13.2181,309.736,0.106772,57.2805,57.2799,-0.273805,729.886,729.761,-13.4919
3.263,12.5,0.0,2282.0,4.99,1192.46,308.987,1.20213,674.947,674.814,-13.3784,309.491,0.108661,57.4456,57.4453,0.196618,732.378,732.26,-13.1818
3.513,12.5,0.0,2281.0,4.99,1191.94,309.674,1.20219,671.424,671.271,-14.3275,310.17,0.1099,57.2911,57.2892,0.469417,728.692,728.56,-13.858
3.763,12.5,0.0,2281.0,5.01,1196.72,311.849,1.19133,672.153,672.038,-12.41,312.534,0.106075,57.0257,57.0242,-0.402876,729.175,729.062,-12.8129
4.013,12.5,0.0,2281.0,4.98,1189.55,313.004,1.19515,672.635,672.519,-12.4787,313.604,0.105797,56.6183,56.614,-0.697267,729.252,729.133,-13.176
4.263,12.5,0.0,2281.0,5.0,1194.33,310.27,1.18979,672.391,672.24,-14.2355,310.919,0.105683,56.6972,56.6926,-0.721722,729.086,728.933,-14.9572
4.513,12.5,0.0,2281.0,5.0,1194.33,308.593,1.18947,675.494,675.357,-13.6178,309.176,0.10668,56.9873,56.9864,-0.313858,732.475,732.343,-13.9317
4.763,12.5,0.0,2281.0,4.98,1189.55,308.304,1.19265,673.658,673.537,-12.7737,308.883,0.108176,57.1992,57.1987,-0.231617,730.852,730.736,-13.0053
5.013,12.5,0.0,2282.0,4.98,1190.07,309.117,1.20146,676.374,676.178,-16.2944,309.696,0.10758,56.7817,56.7802,0.412951,733.13,732.958,-15.8814
5.263,12.5,0.0,2308.0,3.9,942.603,311.38,1.27423,674.915,674.835,-10.3782,312.039,0.100511,50.7655,50.7416,-1.55835,725.675,725.577,-11.9365
5.513,12.5,0.8,2315.0,3.99,967.281,166.86,1.52613,450.291,352.469,280.229,166.238,0.548737,140.002,-50.0841,130.737,510.224,302.384,410.965
5.763,12.5,2.56,2340.0,3.89,953.222,170.415,1.58489,465.726,360.066,295.387,169.7,0.524674,140.103,-45.0883,132.65,531.438,314.978,428.037
5.982,12.5,3.2,2322.0,5.44,1322.79,314.966,1.40839,779.411,779.41,0.70741,315.446,0.178157,97.8011,97.637,-5.66331,877.061,877.047,-4.9559
6.216,12.5,3.52,2302.0,5.4,1301.75,311.652,1.36591,764.325,764.303,-5.82917,312.075,0.153519,83.6702,83.6493,-1.8693,847.987,847.952,-7.69847
6.466,12.5,3.36,2287.0,5.33,1276.5,314.698,1.33984,748.769,748.733,-7.35588,315.25,0.134976,72.5655,72.5567,-1.12889,821.334,821.29,-8.48477
6.732,12.5,3.04,2274.0,4.68,1114.46,310.521,1.31577,732.931,732.888,-7.92804,310.973,0.119893,64.5166,64.4988,-1.51429,797.442,797.386,-9.44233
6.966,12.5,3.04,2281.0,4.44,1060.56,307.221,1.03849,577.925,577.925,0.266868,307.727,0.083601,42.8698,42.8447,-1.46454,620.771,620.77,-1.19767
7.185,12.5,2.72,2279.0,4.89,1167.03,308.903,1.19373,665.742,665.697,-7.74519,309.402,0.106382,56.4707,56.4479,-1.60443,722.205,722.145,-9.34962
7.435,12.5,2.56,2279.0,4.68,1116.91,308.66,1.12665,630.616,630.584,-6.30611,309.104,0.0972476,51.7294,51.7049,-1.59243,682.335,682.289,-7.89854
7.685,12.5,2.56,2280.0,4.9,1169.93,308.964,1.15622,648.69,648.624,-9.25836,309.47,0.102101,53.8625,53.8349,-1.72393,702.545,702.459,-10.9823
7.919,12.5,2.4,2280.0,4.73,1129.34,309.232,1.14214,636.844,636.754,-10.7026,309.721,0.104107,54.8798,54.8547,-1.66183,691.719,691.609,-12.3645
8.169,12.5,2.24,2279.0,4.86,1159.87,309.272,1.15053,649.863,649.769,-11.0916,309.772,0.106135,55.7464,55.7344,-1.15757,705.61,705.503,-12.2492
8.419,12.5,2.08,2281.0,4.76,1137.0,310.616,1.14311,640.581,640.463,-12.2781,311.075,0.106481,55.3406,55.3345,-0.822231,695.921,695.798,-13.1003
8.669,12.5,1.92,2277.0,4.91,1170.77,314.893,1.18279,651.282,651.11,-14.9301,315.293,0.108905,54.5192,54.5182,0.327673,705.78,705.629,-14.6025
8.872,12.5,1.76,2278.0,4.82,1149.82,313.935,1.18585,650.431,650.342,-10.766,314.369,0.10875,55.3532,55.3531,-0.107765,705.779,705.695,-10.8738
9.122,12.5,1.6,2278.0,4.91,1171.29,314.645,1.19674,658.829,658.658,-15.0162,315.091,0.109869,56.0719,56.0703,0.422259,714.877,714.728,-14.5939
9.372,12.5,1.44,2278.0,4.86,1159.36,313.872,1.1902,651.925,651.812,-12.1715,314.29,0.108177,55.3138,55.3132,0.258937,707.225,707.125,-11.9125
9.622,12.5,1.28,2278.0,4.92,1173.67,313.495,1.20443,663.774,663.584,-15.9069,313.927,0.109355,54.8857,54.8802,0.778427,718.623,718.464,-15.1285
9.872,12.5,1.12,2277.0,4.9,1168.39,313.07,1.1985,660.256,660.142,-12.2285,313.546,0.107452,55.6433,55.6415,0.448606,715.881,715.784,-11.7799
10.122,12.5,0.96,2278.0,4.92,1173.67,312.743,1.20448,665.59,665.467,-12.7649,313.19,0.110131,56.1734,56.1714,0.481748,721.743,721.639,-12.2832
10.372,12.5,0.8,2278.0,4.93,1176.06,312.752,1.1949,660.176,660.082,-11.1776,313.189,0.109522,56.173,56.1726,0.207628,716.338,716.254,-10.97
10.622,12.5,0.64,2278.0,4.94,1178.44,311.572,1.20333,669.735,669.588,-14.0493,312.035,0.108606,55.845,55.8441,0.307176,725.562,725.432,-13.7421
10.872,12.5,0.48,2278.0,4.93,1176.06,311.694,1.20199,668.116,667.967,-14.1002,312.139,0.109791,56.5633,56.5617,0.414711,724.658,724.529,-13.6855
11.122,12.5,0.32,2280.0,4.95,1181.87,312.456,1.20767,672.198,672.053,-13.998,312.895,0.109909,56.4235,56.4214,0.49441,728.599,728.474,-13.5036
11.372,12.5,0.32,2278.0,4.97,1185.6,313.299,1.20021,669.979,669.863,-12.4731,313.852,0.108552,56.5283,56.5279,0.21507,726.494,726.391,-12.258
11.622,12.5,0.16,2279.0,4.97,1186.12,314.674,1.22124,673.104,672.953,-14.2545,315.089,0.111969,57.4737,57.4737,0.0145263,730.566,730.427,-14.24
11.872,12.5,0.0,2279.0,4.97,1186.12,314.069,1.21682,673.657,673.487,-15.1398,314.506,0.111703,57.1573,57.156,0.393395,730.792,730.643,-14.7464
12.122,12.5,0.0,2278.0,4.97,1185.6,314.213,1.22205,674.357,674.182,-15.4004,314.647,0.111956,57.9051,57.9045,0.244773,732.243,732.086,-15.1556
12.372,12.5,0.0,2279.0,4.99,1190.9,313.147,1.21594,674.211,674.033,-15.5243,313.542,0.111168,56.8836,56.8789,0.73034,731.061,730.911,-14.7939
12.622,12.5,0.0,2280.0,4.95,1181.87,311.935,1.2159,673.976,673.813,-14.8031,312.386,0.112501,57.7729,57.771,0.465763,731.725,731.584,-14.3374
12.872,12.5,0.0,2279.0,4.98,1188.51,312.139,1.21294,674.124,673.945,-15.5244,312.597,0.111585,57.6457,57.6449,0.303783,731.749,731.59,-15.2206
13.122,12.5,0.0,2280.0,4.96,1184.25,310.978,1.21311,674.695,674.544,-14.2874,311.453,0.111299,57.6201,57.6191,0.34183,732.296,732.163,-13.9456
13.372,12.5,0.0,2280.0,4.97,1186.64,312.253,1.21999,677.337,677.188,-14.1937,312.674,0.112575,57.9439,57.941,0.579769,735.255,735.129,-13.6139
13.622,12.5,0.0,2280.0,4.98,1189.03,310.722,1.21726,675.596,675.441,-14.4631,311.239,0.111248,57.4326,57.4312,0.408679,733.007,732.873,-14.0544
13.872,12.5,0.0,2280.0,4.97,1186.64,311.447,1.21673,676.052,675.912,-13.7777,311.924,0.11133,57.4087,57.4079,0.304407,733.444,733.32,-13.4733
14.122,12.5,0.0,2280.0,4.95,1181.87,310.753,1.21461,676.121,675.981,-13.7627,311.187,0.111982,57.6674,57.666,0.397764,733.769,733.647,-13.365
14.372,12.5,0.0,2282.0,4.97,1187.68,314.268,1.20259,670.969,670.842,-13.0321,314.908,0.106837,56.9512,56.9407,-1.09185,727.92,727.783,-14.124
14.622,12.5,0.0,2282.0,5.0,1194.85,311.765,1.19458,673.714,673.565,-14.1399,312.342,0.107007,57.1168,57.1106,-0.843606,730.83,730.676,-14.9835
14.825,12.5,0.0,2281.0,4.93,1177.61,313.104,1.20535,677.211,677.012,-16.4556,313.585,0.112338,59.2522,59.2473,-0.764971,736.46,736.259,-17.2206
15.028,12.5,0.0,2281.0,4.93,1177.61,311.481,1.19381,674.461,674.308,-14.3757,311.931,0.112434,59.6731,59.6651,-0.97985,734.134,733.973,-15.3556
15.263,12.5,0.0,2281.0,4.98,1189.55,310.82,1.19259,675.591,675.439,-14.3661,311.302,0.111161,58.8578,58.8448,-1.23863,734.449,734.283,-15.6047
15.513,12.5,0.0,2281.0,4.97,1187.16,311.486,1.19482,675.162,675.016,-14.0692,311.914,0.112165,59.9849,59.976,-1.03188,735.147,734.992,-15.1011
15.763,12.5,0.0,2281.0,4.95,1182.39,311.696,1.19713,675.987,675.847,-13.7692,312.161,0.113287,59.9744,59.9596,-1.33053,735.962,735.807,-15.0997
16.013,12.5,0.0,2282.0,4.94,1180.51,312.998,1.19604,672.581,672.438,-13.8944,313.476,0.112768,59.8066,59.8044,-0.511615,732.384,732.242,-14.406
16.263,12.5,0.0,2282.0,4.96,1185.29,313.186,1.1954,674.53,674.398,-13.3316,313.606,0.112692,59.7112,59.7054,-0.82976,734.24,734.103,-14.1614
16.513,12.5,0.0,2280.0,4.97,1186.64,310.701,1.21003,674.057,673.845,-16.8719,311.046,0.113422,58.8313,58.8305,-0.30229,732.877,732.676,-17.1742
16.747,12.5,0.0,2281.0,5.05,1206.27,311.324,1.20026,676.897,676.737,-14.7235,311.86,0.110387,57.8413,57.8408,0.242656,734.72,734.578,-14.4809
17.013,12.5,0.0,2281.0,4.99,1191.94,310.133,1.19343,675.715,675.529,-15.8264,310.779,0.108224,57.8619,57.86,-0.469532,733.57,733.389,-16.2959
17.263,12.5,0.0,2281.0,5.02,1199.11,310.999,1.19224,674.977,674.825,-14.3399,311.61,0.1086,58.0116,58.0094,-0.511512,732.985,732.834,-14.8514
17.513,12.5,0.0,2281.0,5.02,1199.11,311.498,1.19718,676.404,676.255,-14.2067,312.18,0.106973,57.397,57.3939,-0.59506,733.798,733.649,-14.8017
17.763,12.5,0.0,2281.0,4.98,1189.55,310.749,1.19362,674.567,674.421,-14.0339,311.382,0.107617,57.5782,57.5767,-0.414843,732.14,731.998,-14.4488
18.013,12.5,0.0,2281.0,5.02,1199.11,311.211,1.19288,673.158,673.016,-13.8263,311.912,0.106712,57.1402,57.1374,-0.571251,730.295,730.153,-14.3976
18.263,12.5,0.0,2281.0,5.03,1201.49,312.146,1.1959,675.312,675.192,-12.731,312.796,0.107941,57.5211,57.5181,-0.585719,732.831,732.71,-13.3167
18.513,12.5,0.0,2281.0,4.99,1191.94,312.976,1.20034,674.471,674.331,-13.7498,313.591,0.108257,57.7229,57.7183,-0.729367,732.192,732.049,-14.4792
18.763,12.5,0.0,2281.0,5.02,1199.11,314.581,1.20431,674.782,674.636,-14.0264,315.251,0.106796,57.2283,57.2101,-1.44095,732.01,731.846,-15.4673
19.013,12.5,0.0,2281.0,5.01,1196.72,314.863,1.20503,673.859,673.725,-13.3965,315.503,0.10681,57.2742,57.2586,-1.33485,731.132,730.984,-14.7314
19.263,12.5,0.0,2281.0,5.0,1194.33,315.528,1.20443,671.955,671.831,-12.9153,316.132,0.107917,57.4938,57.4832,-1.10671,729.448,729.314,-14.022
19.513,12.5,0.0,2281.0,5.01,1196.72,315.778,1.2107,674.187,674.054,-13.4122,316.387,0.107147,57.1243,57.1133,-1.12094,731.311,731.167,-14.5331
19.763,12.5,0.0,2281.0,5.01,1196.72,315.825,1.2083,672.897,672.749,-14.1142,316.482,0.107572,57.7188,57.7049,-1.26739,730.616,730.454,-15.3816
20.013,12.5,0.0,2281.0,4.98,1189.55,315.923,1.21078,674.355,674.22,-13.5009,316.562,0.10856,57.8652,57.8507,-1.29725,732.22,732.071,-14.7981
20.263,12.5,0.0,2282.0,5.01,1197.24,316.133,1.20698,670.854,670.721,-13.3831,316.796,0.108299,57.6426,57.6258,-1.38906,728.496,728.346,-14.7721
20.513,12.5,0.0,2281.0,4.99,1191.94,316.299,1.20906,672.583,672.455,-13.1251,316.934,0.108296,57.3725,57.36,-1.19778,729.956,729.815,-14.3228
20.763,12.5,0.0,2282.0,4.99,1192.46,316.296,1.21125,671.944,671.82,-12.9535,316.946,0.109441,57.9099,57.8818,-1.80133,729.851,729.701,-14.7548
21.013,12.5,0.0,2281.0,5.0,1194.33,316.394,1.20821,671.133,670.992,-13.7706,317.014,0.108188,57.4399,57.4266,-1.23857,728.573,728.419,-15.0092
21.263,12.5,0.0,2281.0,5.02,1199.11,316.507,1.21128,672.145,672.03,-12.4158,317.116,0.109329,58.104,58.0871,-1.40178,730.248,730.117,-13.8176
21.513,12.5,0.0,2281.0,5.0,1194.33,316.342,1.21112,670.584,670.459,-12.9532,316.954,0.109592,57.8436,57.8168,-1.76016,728.424,728.275,-14.7134
21.763,12.5,0.0,2282.0,5.04,1204.41,316.766,1.21981,672.595,672.473,-12.8009,317.305,0.109157,58.0687,58.0427,-1.73924,730.66,730.516,-14.5402
22.013,12.5,0.0,2282.0,5.0,1194.85,316.166,1.2158,671.122,670.992,-13.1925,316.67,0.108633,57.8212,57.7914,-1.85722,728.939,728.783,-15.0497
22.263,12.5,0.0,2282.0,5.0,1194.85,316.369,1.224,672.754,672.636,-12.6165,316.91,0.110738,58.6935,58.6713,-1.61294,731.446,731.307,-14.2295
22.513,12.5,0.0,2282.0,5.03,1202.02,317.17,1.21604,668.386,668.269,-12.4861,317.722,0.109797,58.1454,58.1134,-1.92695,726.526,726.383,-14.4131
22.763,12.5,0.0,2282.0,4.99,1192.46,316.704,1.22843,673.858,673.74,-12.6014,317.255,0.110024,58.5829,58.5482,-2.01742,732.434,732.288,-14.6188
23.013,12.5,0.0,2282.0,5.02,1199.63,315.892,1.21992,670.883,670.774,-12.1417,316.374,0.109501,58.37,58.3439,-1.74245,729.25,729.118,-13.8842
23.263,12.5,0.0,2282.0,5.01,1197.24,316.194,1.2222,670.168,670.06,-12.0188,316.699,0.111611,59.0164,58.9883,-1.82156,729.18,729.048,-13.8403
23.513,12.5,0.0,2281.0,4.99,1191.94,315.612,1.22177,670.954,670.817,-13.5579,316.065,0.111279,58.2113,58.181,-1.87954,729.162,728.998,-15.4374
