t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2278.0,5.02,1197.53,311.931,1.18599,658.541,658.353,-15.7267,312.43,0.114294,59.9937,59.9929,-0.310101,718.525,718.346,-16.0368
0.262,12.5,0.0,2280.0,4.91,1172.32,312.133,1.19295,659.119,658.985,-13.2572,312.793,0.110141,58.9308,58.8914,-2.15394,718.042,717.877,-15.4112
0.466,12.5,0.0,2278.0,5.01,1195.14,311.002,1.18425,657.544,657.37,-15.149,311.513,0.111515,60.4188,60.4141,-0.756367,717.96,717.784,-15.9054
0.716,12.5,0.0,2280.0,5.01,1196.19,308.741,1.18973,662.103,661.884,-17.0216,309.412,0.111507,58.1171,58.116,0.36447,720.193,720.0,-16.6571
0.95,12.5,0.0,2278.0,4.99,1190.37,311.164,1.18765,661.557,661.408,-14.0378,311.694,0.112697,60.0911,60.0776,-1.27356,721.648,721.485,-15.3113
1.153,12.5,0.0,2279.0,4.97,1186.12,310.471,1.19138,661.931,661.76,-15.0465,311.078,0.113523,58.3948,58.394,0.306158,720.305,720.154,-14.7404
1.403,12.5,0.0,2277.0,5.0,1192.23,309.964,1.18209,658.486,658.34,-13.8712,310.454,0.113553,60.7709,60.7486,-1.64806,719.256,719.089,-15.5192
1.606,12.5,0.0,2280.0,4.94,1179.48,311.175,1.18269,656.905,656.751,-14.2114,311.775,0.115257,59.2903,59.2899,0.224718,716.177,716.041,-13.9867
1.856,12.5,0.0,2278.0,4.97,1185.6,311.067,1.19043,658.995,658.831,-14.6771,311.66,0.110564,59.3924,59.3509,-2.21828,718.381,718.182,-16.8954
2.091,12.5,0.0,2279.0,4.98,1188.51,310.845,1.18483,654.492,654.38,-12.1226,311.375,0.112434,58.9159,58.9152,0.279293,713.393,713.295,-11.8433
2.294,12.5,0.0,2277.0,5.02,1197.0,311.435,1.18497,655.865,655.7,-14.7152,312.045,0.112505,60.28,60.2326,-2.39045,716.137,715.932,-17.1056
2.544,12.5,0.0,2278.0,5.01,1195.14,313.821,1.2052,660.097,659.993,-11.7196,314.373,0.115374,59.7338,59.7338,0.0594561,719.822,719.727,-11.6601
2.794,12.5,0.0,2278.0,4.95,1180.83,312.03,1.18779,656.512,656.376,-13.3662,312.633,0.11066,59.3587,59.3273,-1.93074,715.867,715.703,-15.2969
3.044,12.5,0.0,2281.0,4.97,1187.16,309.864,1.17096,652.302,652.224,-10.136,310.307,0.117751,61.2934,61.2876,-0.839319,713.596,713.511,-10.9753
3.309,12.5,0.0,2279.0,4.97,1186.12,310.871,1.17616,655.213,655.079,-13.2779,311.564,0.111629,59.1513,59.1372,-1.29059,714.365,714.216,-14.5685
3.559,12.5,0.0,2279.0,4.98,1188.51,311.428,1.18606,657.996,657.818,-15.3285,312.026,0.110742,58.8852,58.873,-1.19824,716.881,716.691,-16.5267
3.809,12.5,0.0,2280.0,4.95,1181.87,308.669,1.1828,659.931,659.853,-10.1829,309.28,0.113545,59.6505,59.6503,0.117861,719.574,719.503,-10.065
4.059,12.5,0.0,2277.0,5.03,1199.39,311.143,1.17812,655.018,654.884,-13.2244,311.752,0.109955,59.4735,59.4409,-1.9682,714.487,714.325,-15.1926
4.309,12.5,0.0,2279.0,4.96,1183.74,310.259,1.18394,656.903,656.82,-10.5035,310.902,0.113013,59.3464,59.3459,-0.263515,716.246,716.165,-10.767
4.512,12.5,0.0,2279.0,5.0,1193.28,311.334,1.18174,655.364,655.226,-13.4735,311.896,0.111139,59.3877,59.3589,-1.85013,714.749,714.585,-15.3236
4.762,12.5,0.0,2280.0,4.87,1162.77,311.962,1.18817,659.849,659.675,-15.1475,312.457,0.114189,59.7843,59.7843,-0.051599,719.62,719.459,-15.1991
5.012,12.5,0.0,2262.0,5.72,1354.93,316.636,1.13688,649.399,649.301,-11.2573,317.285,0.107088,52.3359,52.3249,-1.07564,701.734,701.626,-12.3329
5.216,12.5,1.12,2321.0,3.65,887.149,75.289,3.03784,419.75,186.664,375.961,76.0295,0.621019,118.215,-64.1851,99.2721,490.762,122.479,475.233
5.466,12.5,2.88,2352.0,3.67,903.924,74.8704,3.09464,439.334,197.605,392.386,75.7872,0.599413,118.188,-65.4983,98.3786,508.234,132.107,490.765
5.669,12.5,4.32,2356.0,5.69,1403.84,318.248,1.31747,724.298,724.268,6.49142,318.863,0.219149,114.247,113.523,-12.839,837.816,837.791,-6.34755
5.872,12.5,5.12,2327.0,5.5,1340.26,314.409,1.38199,772.174,772.132,-8.10085,315.085,0.179404,96.3457,96.3445,-0.486068,868.519,868.476,-8.58692
