t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,5.02,1198.58,315.95,1.21867,682.281,682.161,-12.8007,316.652,0.110383,58.5817,58.5633,-1.4665,740.862,740.724,-14.2672,
0.231,12.5,0,2280,4.96,1184.25,316.173,1.20413,676.406,676.303,-11.7789,316.856,0.108285,57.7636,57.7498,-1.26328,734.169,734.053,-13.0421,
0.481,12.5,0,2281,4.99,1191.94,316.847,1.22054,681.841,681.715,-13.1182,317.552,0.109264,58.2897,58.2785,-1.14258,740.131,739.994,-14.2608,
0.731,12.5,0,2280,4.98,1189.03,316.771,1.20483,674.864,674.731,-13.414,317.467,0.108852,58.0501,58.0394,-1.11393,732.914,732.77,-14.528,
0.981,12.5,0,2280,5.0,1193.81,315.967,1.21888,681.351,681.219,-13.4078,316.625,0.111412,59.0232,59.0093,-1.28061,740.374,740.229,-14.6884,
1.231,12.5,0,2280,4.98,1189.03,316.765,1.20584,674.481,674.357,-12.9705,317.474,0.108525,57.9127,57.9037,-1.02488,732.394,732.26,-13.9954,
1.481,12.5,0,2280,4.98,1189.03,316.815,1.21657,678.634,678.516,-12.6619,317.52,0.111634,59.2005,59.188,-1.21785,737.835,737.704,-13.8798,
1.731,12.5,0,2279,5.01,1195.67,317.293,1.20825,673.864,673.762,-11.7328,317.919,0.110071,58.4473,58.4277,-1.51364,732.31,732.19,-13.2464,
1.981,12.5,0,2280,4.99,1191.42,317.43,1.22504,682.561,682.429,-13.4155,318.08,0.111023,59.1161,59.1057,-1.10834,741.677,741.535,-14.5239,
2.231,12.5,0,2280,5.0,1193.81,316.343,1.19862,672.57,672.427,-13.89,317.091,0.108107,58.1308,58.1215,-1.04063,730.701,730.548,-14.9307,
2.481,12.5,0,2280,4.99,1191.42,316.673,1.22675,683.928,683.792,-13.6292,317.325,0.112552,60.0074,59.9863,-1.5938,743.934,743.778,-15.223,
2.731,12.5,0,2280,4.98,1189.03,316.864,1.20552,672.664,672.544,-12.6742,317.503,0.109719,58.3865,58.3674,-1.49319,731.049,730.912,-14.1673,
2.981,12.5,0,2280,4.97,1186.64,316.783,1.22552,682.739,682.598,-13.842,317.445,0.111849,59.5192,59.5091,-1.09397,742.258,742.107,-14.936,
3.231,12.5,0,2281,4.99,1191.94,317.108,1.21523,677.578,677.423,-14.5216,317.803,0.110634,58.4921,58.4781,-1.28033,736.07,735.901,-15.8019,
3.481,12.5,0,2281,4.94,1180.0,310.894,1.21935,683.276,683.081,-16.341,311.353,0.115368,60.9102,60.883,-1.81915,744.186,743.964,-18.1602,
3.684,12.5,0,2280,4.97,1186.64,311.194,1.20386,675.474,675.255,-17.1706,311.694,0.11333,60.1903,60.159,-1.9422,735.663,735.414,-19.1128,
3.934,12.5,0,2281,4.93,1177.61,310.518,1.21824,685.391,685.105,-19.8108,311.06,0.114509,61.1111,61.0879,-1.68452,746.502,746.193,-21.4953,
4.184,12.5,0,2281,4.99,1191.94,310.54,1.19699,675.921,675.705,-17.1037,311.043,0.112809,60.1528,60.1327,-1.55456,736.074,735.838,-18.6582,
