t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2281,4.96,1184.77,314.981,1.21206,682.113,682.061,-8.41472,315.615,0.109919,58.0443,58.0294,-1.31722,740.154,740.09,-9.73193,
0.231,12.5,0,2281,5.05,1206.27,313.751,1.22581,690.527,690.428,-11.7138,314.375,0.108791,57.8995,57.8954,-0.685027,748.426,748.323,-12.3988,
0.481,12.5,0,2281,4.95,1182.39,316.405,1.21471,680.195,680.139,-8.67553,317.055,0.109526,57.9032,57.8853,-1.43887,738.094,738.025,-10.1144,
0.731,12.5,0,2282,5.01,1197.24,314.967,1.23518,691.91,691.798,-12.4745,315.606,0.109297,58.0596,58.0523,-0.92182,749.97,749.85,-13.3963,
0.981,12.5,0,2281,5.01,1196.72,314.876,1.2099,681.509,681.45,-8.9109,315.462,0.108647,57.8491,57.8308,-1.45441,739.354,739.281,-10.3653,
1.231,12.5,0,2282,5.02,1199.63,315.442,1.23241,692.359,692.276,-10.7544,316.111,0.108826,57.7551,57.7473,-0.953567,750.114,750.023,-11.708,
1.481,12.5,0,2281,5.05,1206.27,315.303,1.20708,680.041,680.002,-7.35562,315.945,0.110061,57.9773,57.9617,-1.34503,738.015,737.963,-8.70064,
1.731,12.5,0,2281,4.97,1187.16,315.776,1.23612,691.512,691.369,-14.0515,316.411,0.108066,57.4626,57.4528,-1.06048,748.974,748.822,-15.112,
1.981,12.5,0,2282,4.93,1178.12,316.571,1.21659,681.663,681.592,-9.80412,317.176,0.109915,58.4157,58.3975,-1.45918,740.075,739.99,-11.2633,
2.231,12.5,0,2281,4.95,1182.39,318.013,1.23715,688.685,688.56,-13.1338,318.552,0.109421,58.1384,58.119,-1.50046,746.822,746.679,-14.6342,
2.481,12.5,0,2282,4.95,1182.9,317.521,1.23956,688.681,688.553,-13.2746,318.115,0.108321,57.716,57.6917,-1.67243,746.395,746.245,-14.9471,
2.731,12.5,0,2281,4.91,1172.83,313.332,1.239,685.687,685.539,-14.2521,313.67,0.113208,59.9095,59.8858,-1.68429,745.595,745.424,-15.9364,
2.981,12.5,0,2281,4.94,1180.0,316.254,1.244,687.478,687.293,-15.9393,316.631,0.110409,58.3925,58.3606,-1.9299,745.868,745.653,-17.8692,
3.231,12.5,0,2281,4.95,1182.39,317.743,1.24377,687.92,687.779,-13.9259,318.264,0.109572,57.4872,57.4616,-1.71597,745.405,745.241,-15.6418,
3.481,12.5,0,2281,4.94,1180.0,319.898,1.24375,681.837,681.74,-11.4912,320.474,0.112637,59.521,59.5046,-1.39798,741.357,741.245,-12.8892,
3.731,12.5,0,2281,4.92,1175.22,309.822,1.22053,684.942,684.804,-13.7601,310.287,0.111936,60.1391,60.1216,-1.45149,745.08,744.925,-15.2116,
3.981,12.5,0,2281,4.95,1182.39,313.126,1.23461,685.471,685.259,-17.0494,313.513,0.110657,58.9067,58.8764,-1.88911,744.376,744.135,-18.9385,
4.231,12.5,0,2282,4.93,1178.12,315.216,1.23953,682.751,682.667,-10.7177,315.646,0.110712,58.9397,58.9093,-1.89432,741.684,741.576,-12.612,
4.481,12.5,0,2280,4.96,1184.25,312.208,1.21904,685.992,685.798,-16.3178,312.639,0.113863,60.5393,60.5268,-1.22912,746.531,746.325,-17.5469,
4.731,12.5,0,2281,4.95,1182.39,310.104,1.23757,690.887,690.685,-16.7189,310.533,0.109904,58.8579,58.8411,-1.40748,749.745,749.526,-18.1264,
4.981,12.5,0,2280,4.97,1186.64,311.537,1.23536,688.251,688.059,-16.2539,311.98,0.110609,58.5651,58.5439,-1.57438,746.816,746.603,-17.8283,
5.231,12.5,0,2281,4.93,1177.61,311.815,1.23135,684.64,684.496,-14.0412,312.237,0.113257,60.4867,60.4644,-1.64386,745.126,744.961,-15.6851,
5.481,12.5,0,2279,4.99,1190.9,304.795,1.20564,664.825,664.441,22.592,305.43,0.140271,62.6211,59.5173,19.47,725.179,723.958,42.062,
5.731,12.5,0,2281,4.94,1180.0,298.032,1.15931,654.198,653.907,19.4975,298.838,0.117649,55.7839,49.6848,25.3627,705.021,703.592,44.8602,
5.981,12.5,0,2281,4.94,1180.0,308.934,1.14574,671.955,671.855,-11.5579,309.549,0.109844,53.3213,53.2263,3.18144,725.13,725.082,-8.37644,
6.216,12.5,0,2280,4.97,1186.64,317.55,1.23857,687.114,686.839,-19.4362,318.111,0.109174,58.3613,58.3334,-1.80328,745.475,745.172,-21.2395,
6.466,12.5,0,2279,5.0,1193.28,317.614,1.24035,683.783,683.609,-15.4,318.186,0.111538,58.937,58.9116,-1.73019,742.719,742.521,-17.1302,
6.716,12.5,0,2280,5.0,1193.81,310.194,1.2096,681.97,681.78,-16.0911,310.615,0.113476,60.3264,60.3027,-1.69238,742.296,742.083,-17.7835,
6.966,12.5,0,2279,4.98,1188.51,311.594,1.23773,682.84,682.626,-17.1295,311.997,0.114915,60.5164,60.4895,-1.80408,743.356,743.115,-18.9336,
7.216,12.5,0,2281,4.98,1189.55,312.003,1.2427,689.563,689.352,-17.0594,312.436,0.112336,59.7041,59.6805,-1.679,749.267,749.033,-18.7384,
7.466,12.5,0,2282,4.99,1192.46,316.634,1.24717,687.1,686.869,-17.7887,317.112,0.112391,59.0232,58.9941,-1.85273,746.122,745.864,-19.6414,
7.716,12.5,0,2280,4.96,1184.25,317.051,1.24349,687.901,687.729,-15.4066,317.564,0.110262,58.5045,58.4726,-1.93274,746.403,746.201,-17.3393,
7.966,12.5,0,2279,4.97,1186.12,318.0,1.24218,680.447,680.344,-11.8808,318.493,0.111324,59.2402,59.2193,-1.57282,739.685,739.563,-13.4536,
8.216,12.5,0,2280,4.98,1189.03,310.909,1.2415,693.066,692.892,-15.5322,311.299,0.112359,59.6963,59.667,-1.8708,752.76,752.559,-17.403,
8.466,12.5,0,2282,5.0,1194.85,311.673,1.22328,680.886,680.754,-13.4157,312.085,0.113333,60.3402,60.3112,-1.8718,741.223,741.065,-15.2875,
8.716,12.5,0,2281,4.99,1191.94,313.529,1.24985,686.755,686.51,-18.3729,313.897,0.112785,59.2616,59.2452,-1.39512,746.017,745.755,-19.7681,
8.966,12.5,0,2280,5.01,1196.19,318.619,1.24298,682.054,681.93,-13.0016,319.134,0.112238,59.4928,59.4638,-1.85733,741.543,741.394,-14.8589,
9.216,12.5,0,2280,4.95,1181.87,318.643,1.24559,686.433,686.302,-13.4072,319.192,0.111126,58.6795,58.6556,-1.67379,745.11,744.957,-15.081,
9.466,12.5,0,2282,4.99,1192.46,317.936,1.24583,682.638,682.492,-14.1015,318.444,0.112956,59.5405,59.5133,-1.8024,742.176,742.005,-15.9039,
9.716,12.5,0,2279,5.01,1195.67,311.504,1.2179,685.595,685.445,-14.3164,311.939,0.113213,59.9465,59.9184,-1.8347,745.539,745.364,-16.1511,
9.966,12.5,0,2280,4.97,1186.64,311.59,1.22604,685.714,685.514,-16.5741,311.997,0.114211,60.4921,60.471,-1.59729,746.206,745.985,-18.1714,
