t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.845882,0.00308358,0.842798,-0.0753503,0.020811,0.0545393,0.598355,0.349911,-0.948266,-0.835871,0.377435,0.458437,-0.911222,0.398246,0.512976,1.00241,0.988037,0,-0.0651855,-0.00317383,0.875,-0.474121,-0.878296,0.0379639,-0.943481,0.03479,-0.0240479,-0.000610352,0.00476074,-0.00317383,-0.0148926,0.0494385,0.036499,-0.034668,0.0412598,-0.0378418,1.2666
0.002,-0.32235,-0.662969,0.985319,-0.0423397,-0.0287049,0.0710446,0.733163,0.16417,-0.897333,-0.556673,-0.277475,0.834148,-0.599013,-0.30618,0.905193,0.999245,0.994629,0,-0.0633545,-0.00170898,0.864746,-0.424927,-0.852539,-0.0256348,-0.915894,-0.0273438,-0.0167236,0.0256348,0.00463867,-0.00805664,-0.026001,0.00512695,0.0306396,0.0180664,0.0352783,0.0100098,1.2666
0.004,0.393983,-0.995225,0.601242,0.0150701,-0.0832442,0.0681741,0.817122,-0.0347514,-0.78237,-0.0103407,-0.746252,0.756593,0.00472939,-0.829496,0.824767,0.99885,0.971558,0,-0.0878906,-0.010498,0.84314,-0.373169,-0.846191,-0.06604,-0.934082,-0.0765381,-0.0283203,0.0196533,-0.00158691,0.0102539,0.0119629,0.0227051,-0.00964355,0.00305176,-0.0112305,0.0133057,1.26648
0.006,0.920563,-0.762415,-0.158149,0.0559745,-0.091138,0.0351635,0.934191,-0.275614,-0.658577,0.535992,-0.818637,0.282645,0.591966,-0.909775,0.317809,0.998454,1.02393,0,-0.0794678,-0.00354004,0.838501,-0.507568,-0.819458,0.0366211,-0.898926,0.0330811,0.0257568,0.0384521,-0.000488281,0.0133057,0.0314941,-0.0267334,0.00854492,0.0289307,0.00805664,0.0422363,1.26648
0.008,0.935042,-0.167284,-0.767758,0.0810913,-0.053104,-0.0279873,0.943651,-0.409827,-0.533825,0.851382,-0.45499,-0.396393,0.932474,-0.508094,-0.42438,0.997664,0.990601,0,-0.0759277,-0.00830078,0.86499,-0.431152,-0.863647,-0.0175781,-0.939575,-0.0258789,0.00756836,-0.00341797,0.00378418,0.0166016,-0.0101318,0.022583,0.00793457,-0.0303955,0.0117188,-0.0137939,1.26648
0.01,0.444278,0.557357,-1.00164,0.0667389,-0.00358811,-0.0631507,0.960207,-0.579989,-0.380218,0.668697,0.170621,-0.839318,0.735436,0.167033,-0.902469,1.00003,0.990112,0,-0.0825195,0.0145264,0.917358,-0.466309,-0.872559,-0.0292969,-0.955078,-0.0147705,0.00231934,0.015625,0.00292969,-0.00256348,-0.0767822,0.0123291,0.0198975,0.00292969,0.0228271,0.000366211,1.2666
0.012,-0.271292,0.965931,-0.694639,0.0165053,0.0437749,-0.0602803,0.903446,-0.727382,-0.176063,0.122365,0.701443,-0.823807,0.13887,0.745218,-0.884088,1.00201,0.990234,0,-0.0777588,0.0078125,0.811768,-0.431763,-0.854248,-0.0198975,-0.932007,-0.012085,-0.00854492,0.00390625,-0.0123291,-0.00195312,-0.0345459,0.0462646,0.0229492,-0.0236816,0.0106201,-0.0256348,1.26648
0.014,-0.835213,0.824086,0.0111268,-0.0330106,0.0688917,-0.0358811,0.811209,-0.81486,0.00365106,-0.491182,0.844489,-0.353306,-0.524193,0.91338,-0.389188,1.00241,0.991333,0,-0.0787354,0.0106201,0.86145,-0.435425,-0.873657,-0.0123291,-0.952393,-0.00170898,0.00427246,0.0357666,-0.0162354,-0.00830078,0.0197754,0.0078125,0.00622559,-0.0196533,-0.0100098,-0.0279541,1.26648
0.016,-0.967811,0.279835,0.687976,-0.0638684,0.038034,0.0258344,0.687044,-0.937089,0.250045,-0.818637,0.568737,0.2499,-0.882505,0.606771,0.275734,1.0028,0.97937,0,-0.057251,0.000976562,0.861328,-0.445435,-0.840942,0.0114746,-0.898193,0.0124512,0.00537109,0.000610352,-0.000732422,0.00402832,-0.0078125,0.0187988,0.0211182,0.000366211,0.0203857,0.00439453,1.26648
0.018,-0.547156,-0.44789,0.995046,-0.0523864,-0.020811,0.0731975,0.560515,-0.975435,0.414921,-0.718677,-0.0258517,0.744529,-0.771064,-0.0466627,0.817726,0.99964,0.974365,0,-0.0762939,-0.00463867,0.873901,-0.449341,-0.855713,0.00390625,-0.932007,-0.000732422,0.00561523,0.0310059,0.017334,-0.00390625,-0.0098877,-0.00244141,0.0290527,0.0172119,0.0463867,0.0133057,1.2666
0.02,0.201945,-0.946658,0.744714,-0.0121996,-0.0624331,0.0746327,0.376041,-0.967047,0.591006,-0.227495,-0.598036,0.825531,-0.239694,-0.660469,0.900163,0.998454,1.02039,0,-0.06604,-0.00256348,0.818237,-0.487427,-0.819824,0.041748,-0.885864,0.0391846,0.0065918,-0.0281982,0.0126953,-0.0090332,-0.0251465,0.0222168,0.0333252,-0.0125732,0.0460205,-0.0216064,1.26648
0.022,0.770438,-0.912739,0.142301,0.0545393,-0.0889851,0.0344459,0.216401,-0.908329,0.691928,0.429138,-0.839318,0.41018,0.483677,-0.928303,0.444626,0.99964,0.983521,0,-0.0899658,-0.017334,0.869629,-0.447021,-0.860596,-0.00769043,-0.950562,-0.0250244,-0.0153809,0.0126953,-0.00878906,-0.00427246,0.0212402,0.0136719,-0.0168457,0.000488281,-0.0256348,-0.00378418,1.2666
0.024,0.997531,-0.398552,-0.598978,0.0724798,-0.0688917,-0.00358811,0.0744988,-0.849611,0.775113,0.825531,-0.591142,-0.234389,0.898011,-0.660034,-0.237977,0.998454,0.995728,0,-0.0689697,-0.00610352,0.905762,-0.404053,-0.873291,-0.0435791,-0.942261,-0.0496826,0.0101318,0.00195312,0.00500488,0.0198975,-0.0169678,0.0566406,-0.000488281,-0.0393066,0.0045166,-0.0194092,1.2666
0.026,0.65994,0.323776,-0.983716,0.0674565,-0.0121996,-0.0552569,-0.209306,-0.713003,0.922309,0.761763,-0.103407,-0.658356,0.82922,-0.115606,-0.713613,1.00003,0.983643,0,-0.0761719,-0.00854492,0.807861,-0.454468,-0.782471,-0.0351562,-0.858643,-0.0437012,0.00708008,0.0233154,-0.00415039,0.0163574,0.0393066,0.0230713,-0.0430908,0.020752,-0.0472412,0.0371094,1.26648
0.028,-0.0693471,0.874194,-0.804847,0.0444926,0.0251168,-0.0696093,-0.389049,-0.58598,0.975029,0.365371,0.520481,-0.885851,0.409863,0.545598,-0.955461,1.00241,1.01233,0,-0.0683594,0.0175781,0.843628,-0.478882,-0.845459,0.0477295,-0.913818,0.0653076,0.0217285,-0.0197754,0.000488281,-0.0109863,-0.00378418,0.00219727,0.0335693,-0.0187988,0.0340576,-0.0297852,1.26648
0.03,-0.687374,0.954367,-0.266993,-0.011482,0.0559745,-0.0444926,-0.536864,-0.419413,0.956278,-0.270581,0.835871,-0.56529,-0.282063,0.891846,-0.609783,1.00241,0.992188,0,-0.0670166,0.00878906,0.86145,-0.445923,-0.861084,0.0200195,-0.928101,0.0288086,0.00341797,0.00732422,-0.00317383,-0.0113525,0.0115967,0.0117188,0.00866699,-0.00952148,0.00549316,-0.020874,1.2666
0.032,-0.98229,0.511874,0.470416,-0.0653036,0.0480807,0.0172229,-0.658664,-0.273218,0.931882,-0.741082,0.679038,0.0620441,-0.806386,0.727118,0.079267,1.0032,0.967285,0,-0.0780029,0.00231934,0.876953,-0.425659,-0.864136,0.0020752,-0.942139,0.00439453,0.00390625,-0.010376,-0.00915527,-0.0175781,0.00170898,0.0269775,0.0212402,-0.0283203,0.012085,-0.0458984,1.2666
0.034,-0.706426,-0.250541,0.956966,-0.0602803,0.00717622,0.053104,-0.768638,-0.103056,0.871694,-0.773827,0.158557,0.61527,-0.834108,0.165733,0.668374,1.00438,1.01123,0,-0.0599365,0.00219727,0.853394,-0.433594,-0.830933,-0.000244141,-0.890869,0.00195312,-0.0411377,0.0234375,-0.00317383,-0.00439453,-0.0106201,0.0197754,0.0203857,-0.00268555,0.0172119,-0.00708008,1.26648
