t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,5.03,1201.49,309.56,1.1869,673.234,673.089,-13.9298,310.111,0.111481,59.0713,59.0531,-1.46575,732.304,732.143,-15.3956
0.246,12.5,0.0,2281.0,4.99,1191.94,311.674,1.19294,673.823,673.691,-13.3254,312.224,0.110017,58.7946,58.7658,-1.83969,732.614,732.457,-15.1651
0.496,12.5,0.0,2282.0,5.05,1206.8,311.546,1.19806,676.008,675.882,-13.0215,312.098,0.110794,59.4078,59.3795,-1.83273,735.412,735.262,-14.8542
0.746,12.5,0.0,2281.0,4.99,1191.94,319.492,1.2067,675.798,675.699,-11.5663,320.125,0.113075,59.0058,59.003,-0.577271,734.802,734.702,-12.1436
0.996,12.5,0.0,2282.0,5.01,1197.24,314.743,1.1899,675.071,674.918,-14.3753,315.374,0.11191,59.543,59.5421,-0.31582,734.607,734.46,-14.6912
1.246,12.5,0.0,2281.0,5.05,1206.27,314.608,1.18456,674.469,674.352,-12.5832,315.197,0.111267,59.613,59.608,-0.77421,734.081,733.96,-13.3574
1.496,12.5,0.0,2281.0,5.0,1194.33,314.256,1.18711,676.388,676.244,-13.9727,314.818,0.1123,60.1375,60.1278,-1.08188,736.525,736.372,-15.0546
1.746,12.5,0.0,2281.0,5.01,1196.72,315.499,1.18791,673.822,673.682,-13.7417,316.053,0.112736,59.6575,59.6505,-0.913569,733.479,733.332,-14.6553
1.996,12.5,0.0,2281.0,4.97,1187.16,312.379,1.17544,671.902,671.714,-15.9207,312.996,0.112797,60.0022,59.9901,-1.20638,731.904,731.704,-17.1271
2.246,12.5,0.0,2282.0,4.99,1192.46,313.295,1.18693,675.773,675.565,-16.7509,313.828,0.111644,59.3257,59.318,-0.957795,735.096,734.883,-17.7087
2.496,12.5,0.0,2281.0,4.94,1180.0,319.096,1.21082,676.511,676.354,-14.5553,319.658,0.114127,58.4581,58.4569,0.362858,734.948,734.811,-14.1924
2.746,12.5,0.0,2281.0,5.02,1199.11,318.319,1.21157,679.634,679.469,-14.9591,318.924,0.115231,59.7351,59.7333,-0.467012,739.363,739.202,-15.4261
2.996,12.5,0.0,2280.0,4.96,1184.25,319.471,1.19916,672.673,672.504,-15.0554,320.075,0.113624,58.6915,58.6901,-0.410007,731.358,731.195,-15.4654
3.246,12.5,0.0,2280.0,4.94,1179.48,314.797,1.18999,676.183,676.009,-15.3475,315.422,0.112725,59.8154,59.8082,-0.927256,735.997,735.817,-16.2747
3.496,12.5,0.0,2280.0,4.97,1186.64,315.365,1.19021,675.742,675.539,-16.5723,315.937,0.11333,59.9813,59.9761,-0.78743,735.72,735.515,-17.3597
3.746,12.5,0.0,2281.0,4.97,1187.16,312.134,1.17994,672.708,672.582,-13.0392,312.725,0.109629,59.1364,59.1314,-0.768986,731.843,731.713,-13.8082
