t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2282,5.04,1204.41,315.709,1.21965,684.576,684.335,-18.1543,316.149,0.115136,60.558,60.5456,-1.22274,745.133,744.881,-19.377,
0.216,12.5,0,2281,4.97,1187.16,313.708,1.20068,685.837,685.705,-13.4513,314.367,0.109277,58.1769,58.1769,0.00261552,744.003,743.882,-13.4487,
0.45,12.5,0,2280,5.01,1196.19,315.499,1.21414,684.361,684.189,-15.3368,315.964,0.116436,61.1519,61.1334,-1.50512,745.513,745.323,-16.8419,
0.653,12.5,0,2281,4.95,1182.39,314.112,1.2169,690.181,689.973,-16.9383,314.612,0.112787,58.3126,58.3109,0.445194,748.466,748.284,-16.4931,
0.903,12.5,0,2280,4.98,1189.03,316.626,1.2281,686.091,685.878,-17.0859,317.093,0.113856,59.7723,59.7561,-1.39172,745.864,745.635,-18.4776,
1.106,12.5,0,2280,4.98,1189.03,314.121,1.21396,688.829,688.655,-15.4543,314.767,0.112113,58.8956,58.8956,-0.0762318,747.712,747.551,-15.5305,
1.356,12.5,0,2281,4.98,1189.55,313.308,1.21575,684.995,684.772,-17.4728,313.762,0.112209,59.5624,59.5377,-1.71348,744.557,744.31,-19.1863,
1.606,12.5,0,2281,4.96,1184.77,315.607,1.22009,689.142,688.958,-15.9214,316.1,0.114524,59.7447,59.7438,0.311596,748.865,748.702,-15.6098,
1.856,12.5,0,2280,4.97,1186.64,315.158,1.21875,684.799,684.649,-14.3409,315.716,0.115214,60.2414,60.2407,0.292926,745.022,744.889,-14.048,
2.091,12.5,0,2279,4.97,1186.12,316.955,1.2222,684.596,684.491,-11.9666,317.579,0.111607,57.8862,57.8857,-0.240218,742.477,742.377,-12.2068,
2.341,12.5,0,2280,4.98,1189.03,316.426,1.23214,684.2,684.044,-14.6156,316.987,0.111594,58.7743,58.7737,-0.268194,742.967,742.818,-14.8838,
2.591,12.5,0,2280,4.99,1191.42,316.443,1.22866,682.635,682.514,-12.8882,317.003,0.111497,58.4684,58.4663,-0.500251,741.101,740.98,-13.3884,
2.841,12.5,0,2281,4.97,1187.16,318.348,1.20838,683.512,683.411,-11.7048,318.903,0.113807,59.7431,59.7431,-0.0145364,743.247,743.154,-11.7193,
3.091,12.5,0,2279,5.0,1193.28,316.561,1.22204,681.255,681.105,-14.2953,317.11,0.111185,58.3913,58.3906,-0.286594,739.64,739.496,-14.5819,
3.294,12.5,0,2280,4.97,1186.64,316.137,1.21776,683.4,683.202,-16.4458,316.548,0.116685,60.6269,60.6174,-1.07142,744.026,743.819,-17.5172,
3.544,12.5,0,2281,5.0,1194.33,314.675,1.20884,682.771,682.543,-17.6445,315.241,0.111062,58.1295,58.1271,0.533435,740.868,740.67,-17.1111,
3.794,12.5,0,2280,4.99,1191.42,317.039,1.228,678.515,678.418,-11.4559,317.526,0.113143,59.9521,59.9244,-1.81992,738.462,738.343,-13.2758,
4.044,12.5,0,2281,5.06,1208.66,315.488,1.21816,684.445,684.26,-15.9054,315.956,0.115539,60.7201,60.7024,-1.46813,745.165,744.963,-17.3735,
4.294,12.5,0,2280,4.95,1181.87,315.711,1.20378,681.067,680.897,-15.2267,316.209,0.115653,60.5423,60.5337,-1.02092,741.608,741.43,-16.2476,
4.544,12.5,0,2280,5.01,1196.19,313.972,1.21373,683.384,683.207,-15.5229,314.534,0.111704,58.9639,58.9627,0.370958,742.325,742.17,-15.152,
