t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.973907,0.300649,0.673258,-0.0681741,0.0416221,0.026552,0.931826,-0.318754,-0.613072,-0.801403,0.589419,0.211984,-0.869577,0.631041,0.238536,1.00359,0.983276,0,-0.0556641,-0.000976562,0.853027,-0.465332,-0.850586,0.0253906,-0.90625,0.0244141,0.00708008,0.00415039,-0.00170898,0.010498,0.000610352,0.0117188,0.0311279,-0.0012207,0.0294189,0.00927734,1.26587
0.002,-0.576876,-0.415512,0.992388,-0.0552569,-0.0222463,0.0775032,0.953111,-0.438586,-0.514525,-0.70489,-0.0327455,0.737635,-0.760146,-0.0549918,0.815138,1.00083,0.961548,0,-0.0800781,-0.0078125,0.880249,-0.424927,-0.869385,-0.0129395,-0.949463,-0.020752,0.0194092,0.0291748,0.0189209,0.000732422,-0.0280762,-0.00744629,0.0517578,0.026123,0.0706787,0.0268555,1.26587
0.004,0.185942,-0.935095,0.749153,-0.0251168,-0.0595626,0.0846794,0.942469,-0.617137,-0.325332,-0.232665,-0.589419,0.822084,-0.257782,-0.648981,0.906763,0.998454,1.02502,0,-0.0698242,0.0057373,0.762573,-0.442139,-0.819336,0.0186768,-0.88916,0.0244141,0.0133057,-0.0372314,0.0205078,-0.00866699,0.00244141,0.0688477,0.0240479,-0.00170898,0.0445557,-0.010376,1.26575
0.006,0.757483,-0.916594,0.15911,0.0523864,-0.0904204,0.038034,0.865605,-0.715399,-0.150206,0.406733,-0.828978,0.422244,0.45912,-0.919398,0.460278,0.99964,0.989868,0,-0.0949707,-0.0180664,0.841187,-0.44165,-0.844849,-0.0227051,-0.939819,-0.0407715,-0.00598145,0.0135498,-0.0111084,-0.00817871,0.0135498,0.00146484,-0.00830078,-0.00524902,-0.0194092,-0.0134277,1.26587
0.008,0.997531,-0.420138,-0.577393,0.0782208,-0.0688917,-0.00932909,0.767456,-0.812463,0.0450077,0.763487,-0.606653,-0.156834,0.841708,-0.675545,-0.166163,0.998059,0.989624,0,-0.0760498,-0.00476074,0.823242,-0.41748,-0.824219,-0.0489502,-0.900269,-0.0537109,0.00524902,-0.00305176,-0.00280762,0.012085,-0.0107422,-0.00769043,0.0128174,0.00793457,0.0100098,0.0200195,1.26587
0.01,0.683564,0.296023,-0.979587,0.0688917,-0.0136348,-0.0552569,0.665759,-0.919114,0.253355,0.76004,-0.110301,-0.649739,0.828932,-0.123935,-0.704996,0.999245,0.982666,0,-0.0794678,-0.00427246,0.764526,-0.458984,-0.8125,-0.0169678,-0.891968,-0.0212402,0.00854492,0.024292,-0.00183105,0.0102539,0.0749512,0.00610352,-0.0180664,0.00805664,-0.0198975,0.0183105,1.26587
0.012,-0.0441992,0.854151,-0.809952,0.0473631,0.0236815,-0.0710446,0.488381,-0.957461,0.46908,0.358477,0.513587,-0.872064,0.40584,0.537268,-0.943108,1.00241,1.00476,0,-0.0720215,0.0233154,0.84436,-0.475586,-0.865234,0.0294189,-0.937256,0.0527344,0.027832,-0.0184326,0.00549316,-0.00634766,-0.0147705,-0.0124512,0.0330811,0.00146484,0.0385742,-0.00488281,1.26575
0.014,-0.677467,0.958222,-0.280754,-0.011482,0.0559745,-0.0444926,0.344113,-0.981427,0.637314,-0.26024,0.827254,-0.567014,-0.271722,0.883229,-0.611506,1.00399,0.997192,0,-0.0661621,0.00646973,0.80835,-0.457153,-0.863647,-0.00842285,-0.92981,-0.00195312,0.0111084,0.00256348,-0.00427246,-0.0112305,-0.0303955,0.0109863,0.00476074,-0.0240479,0.000488281,-0.0352783,1.26575
0.016,-0.980004,0.532688,0.447315,-0.0624331,0.053104,0.00932909,0.197481,-0.891553,0.694072,-0.737635,0.694549,0.0430862,-0.800068,0.747653,0.0524153,1.0032,0.964478,0,-0.0734863,0.00561523,0.885132,-0.415039,-0.871704,-0.0155029,-0.94519,-0.0098877,0.0065918,-0.0145264,-0.0101318,-0.0108643,-0.017334,0.0501709,0.024292,-0.0379639,0.0141602,-0.0488281,1.26575
0.018,-0.720143,-0.230497,0.95064,-0.0624331,0.0100467,0.0523864,0.0354756,-0.818455,0.782979,-0.761763,0.162004,0.599759,-0.824196,0.172051,0.652146,1.00241,1.01221,0,-0.0593262,0.00415039,0.823486,-0.454224,-0.837036,0.0130615,-0.896362,0.0172119,-0.0450439,0.0205078,-0.00439453,-0.00756836,-0.0129395,0.0386963,0.0432129,-0.0253906,0.0388184,-0.032959,1.26575
