t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.95,1181.87,309.545,1.25415,683.003,682.915,-10.9999,309.96,0.114747,60.5798,60.5491,-1.92759,743.576,743.464,-12.9275,
0.262,12.5,0,2281,4.96,1184.77,309.448,1.25793,683.741,683.672,-9.68778,309.866,0.11428,60.2711,60.2299,-2.22939,743.997,743.902,-11.9172,
0.512,12.5,0,2280,4.97,1186.64,309.729,1.26358,689.088,688.962,-13.1984,310.185,0.115503,59.9218,59.8827,-2.1657,749.002,748.845,-15.3641,
0.762,12.5,0,2279,4.99,1190.9,314.309,1.25761,688.286,688.05,-18.0221,314.798,0.117001,59.9399,59.9375,-0.529953,748.217,747.987,-18.552,
1.012,12.5,0,2281,4.93,1177.61,314.648,1.25615,684.348,684.164,-15.8514,315.101,0.118102,61.0031,60.9929,-1.11702,745.35,745.157,-16.9684,
1.262,12.5,0,2281,4.97,1187.16,310.731,1.24359,686.743,686.55,-16.2675,311.162,0.115775,60.469,60.4639,-0.782065,747.209,747.014,-17.0496,
1.512,12.5,0,2281,4.95,1182.39,309.388,1.26331,689.868,689.668,-16.5957,309.781,0.111512,59.2638,59.2377,-1.759,749.131,748.906,-18.3547,
1.762,12.5,0,2281,4.99,1191.94,315.635,1.26138,688.208,687.989,-17.3665,316.104,0.116696,59.9115,59.9103,-0.381045,748.11,747.899,-17.7475,
2.012,12.5,0,2280,4.97,1186.64,313.966,1.26215,691.284,691.131,-14.5308,314.439,0.114833,59.8791,59.8704,-1.02097,751.162,751.001,-15.5517,
2.262,12.5,0,2281,5.0,1194.33,310.534,1.26186,692.209,692.004,-16.8705,310.99,0.112406,59.3166,59.3045,-1.19838,751.525,751.308,-18.0689,
2.512,12.5,0,2280,4.98,1189.03,310.843,1.24582,684.273,684.101,-15.3572,311.258,0.114676,60.0455,60.0281,-1.44588,744.319,744.129,-16.8031,
2.762,12.5,0,2281,4.99,1191.94,310.242,1.24239,682.698,682.578,-12.7927,310.739,0.116747,61.2044,61.1857,-1.51366,743.901,743.763,-14.3063,
3.012,12.5,0,2281,4.94,1180.0,308.802,1.24212,688.998,688.843,-14.629,309.239,0.112634,59.4536,59.424,-1.87422,748.449,748.267,-16.5032,
3.262,12.5,0,2281,4.99,1191.94,318.461,1.28587,690.762,690.614,-14.304,318.855,0.116139,59.4582,59.4575,-0.291158,750.214,750.072,-14.5952,
3.512,12.5,0,2280,4.99,1191.42,313.223,1.25951,689.74,689.564,-15.5808,313.68,0.113132,59.3238,59.3161,-0.951996,749.063,748.88,-16.5328,
3.762,12.5,0,2281,4.96,1184.77,311.706,1.26496,694.716,694.462,-18.7796,312.129,0.113508,59.5168,59.5088,-0.973438,754.23,753.971,-19.7531,
4.012,12.5,0,2280,4.97,1186.64,312.665,1.2437,685.872,685.724,-14.2631,313.1,0.117108,60.5167,60.5095,-0.93417,746.388,746.234,-15.1973,
