t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2282.0,4.93,1178.12,312.764,1.23578,672.086,671.988,-11.4945,313.271,0.108215,58.4987,58.4681,-1.89182,730.579,730.456,-13.3864
0.247,12.5,0.0,2280.0,4.95,1181.87,313.028,1.23291,674.771,674.605,-14.9445,313.459,0.112981,59.6429,59.6391,-0.672183,734.41,734.244,-15.6167
0.497,12.5,0.0,2281.0,4.96,1184.77,311.314,1.24046,677.213,677.077,-13.5682,311.856,0.110882,58.55,58.5491,0.320682,735.746,735.627,-13.2475
0.747,12.5,0.0,2279.0,5.01,1195.67,312.341,1.23325,672.424,672.288,-13.504,312.813,0.110836,59.6782,59.6519,-1.77199,732.1,731.94,-15.2759
0.95,12.5,0.0,2281.0,4.95,1182.39,312.211,1.23613,675.969,675.776,-16.17,312.657,0.111553,58.5672,58.5666,0.269114,734.514,734.342,-15.9009
1.2,12.5,0.0,2281.0,4.97,1187.16,312.426,1.23329,670.227,670.095,-13.2713,312.921,0.110767,59.2603,59.2236,-2.0855,729.481,729.319,-15.3568
1.435,12.5,0.0,2281.0,5.06,1208.66,312.304,1.23234,675.665,675.483,-15.6821,312.854,0.111342,58.2975,58.297,0.238029,733.943,733.78,-15.4441
1.638,12.5,0.0,2280.0,4.95,1181.87,312.705,1.23179,670.971,670.851,-12.6847,313.31,0.106729,57.6857,57.6554,-1.8714,728.652,728.507,-14.5561
1.888,12.5,0.0,2279.0,5.0,1193.28,312.974,1.24204,674.591,674.443,-14.1299,313.415,0.111606,59.1334,59.13,-0.631558,733.721,733.573,-14.7614
2.122,12.5,0.0,2282.0,4.94,1180.51,311.577,1.21764,670.553,670.421,-13.3021,312.236,0.106754,57.6681,57.6646,-0.639179,728.219,728.085,-13.9413
2.325,12.5,0.0,2279.0,5.02,1198.05,311.445,1.23413,672.643,672.493,-14.2022,311.926,0.108957,58.7219,58.6911,-1.90337,731.362,731.184,-16.1056
2.575,12.5,0.0,2280.0,4.98,1189.03,311.086,1.22979,673.423,673.264,-14.636,311.651,0.109353,57.9022,57.9018,0.202144,731.308,731.166,-14.4339
2.81,12.5,0.0,2279.0,5.02,1198.05,312.199,1.23039,673.571,673.415,-14.5189,312.632,0.111053,59.7725,59.7634,-1.04183,733.343,733.178,-15.5608
3.013,12.5,0.0,2282.0,4.94,1180.51,309.67,1.23636,676.957,676.799,-14.6324,310.277,0.109306,57.9034,57.9034,-0.0352411,734.849,734.702,-14.6676
3.263,12.5,0.0,2281.0,4.94,1180.0,311.814,1.23148,669.251,669.12,-13.216,312.314,0.110158,59.4075,59.3813,-1.76459,728.656,728.502,-14.9806
3.497,12.5,0.0,2278.0,5.01,1195.14,312.654,1.24002,676.675,676.503,-15.2451,313.173,0.111258,58.2059,58.2044,0.408068,734.857,734.707,-14.837
3.747,12.5,0.0,2281.0,4.93,1177.61,313.498,1.23224,670.633,670.486,-14.0564,314.16,0.108801,58.1374,58.1244,-1.22858,728.771,728.61,-15.285
3.997,12.5,0.0,2281.0,5.02,1199.11,313.202,1.23421,672.62,672.47,-14.1771,313.685,0.112951,59.4048,59.4035,-0.400126,732.019,731.874,-14.5773
4.2,12.5,0.0,2279.0,4.97,1186.12,312.166,1.23101,669.96,669.835,-12.958,312.706,0.107431,58.3364,58.3203,-1.37182,728.296,728.155,-14.3298
4.45,12.5,0.0,2281.0,5.0,1194.33,313.664,1.24703,674.325,674.152,-15.2869,314.089,0.112198,58.5597,58.5592,-0.237297,732.875,732.711,-15.5242
4.654,12.5,0.0,2280.0,4.98,1189.03,313.799,1.2309,673.05,672.93,-12.704,314.481,0.106995,57.3386,57.3226,-1.35683,730.388,730.253,-14.0608
4.888,12.5,0.0,2280.0,5.01,1196.19,312.604,1.23503,672.807,672.662,-13.9241,313.054,0.112731,59.8629,59.8506,-1.21653,732.669,732.513,-15.1406
5.138,12.5,0.0,2280.0,4.9,1169.93,311.305,1.21782,671.502,671.356,-13.9608,311.964,0.108164,58.4027,58.3916,-1.13659,729.904,729.748,-15.0974
5.341,12.5,0.0,2281.0,5.05,1206.27,311.908,1.23883,671.811,671.673,-13.6295,312.443,0.109701,59.3772,59.3459,-1.92733,731.185,731.019,-15.5568
5.591,12.5,0.0,2270.0,5.3,1259.88,315.136,1.22459,673.295,673.182,-12.3496,315.629,0.113853,59.217,59.217,-0.0519832,732.504,732.399,-12.4015
5.841,12.5,0.16,2293.0,4.57,1097.36,183.258,1.82692,536.996,526.732,104.487,183.543,0.517693,185.951,-2.51878,185.934,599.287,524.214,290.421
6.044,12.5,0.64,2304.0,4.58,1105.04,185.048,1.89159,566.026,556.028,105.921,185.274,0.500102,181.636,6.65767,181.514,631.849,562.685,287.434
6.294,12.5,0.96,2291.0,5.41,1297.93,317.392,1.41217,800.652,800.648,2.66254,318.122,0.164741,88.3483,87.7621,-10.1599,888.442,888.41,-7.49733
6.56,12.5,0.48,2276.0,5.37,1279.9,317.716,1.37708,770.288,770.258,-6.70262,318.216,0.133077,71.9119,71.8965,-1.48971,842.195,842.155,-8.19232
6.794,12.5,0.32,2277.0,4.61,1099.24,318.155,1.08548,604.731,604.729,-1.70046,318.681,0.0938947,47.7601,47.7601,-0.0721394,652.491,652.489,-1.77259
7.044,12.5,0.16,2281.0,5.04,1203.88,311.767,1.21345,689.194,689.169,-5.805,312.423,0.11208,59.708,59.7035,-0.733219,748.901,748.873,-6.53822
7.294,12.5,0.0,2280.0,4.91,1172.32,314.943,1.22191,685.959,685.909,-8.31525,315.387,0.113969,60.015,60.0101,-0.762166,745.974,745.919,-9.07741
7.497,12.5,0.0,2279.0,4.99,1190.9,310.979,1.17664,663.965,663.931,-6.767,311.587,0.108318,56.8177,56.8174,-0.181829,720.782,720.748,-6.94883
7.747,12.5,0.0,2280.0,4.94,1179.48,313.834,1.21102,681.608,681.53,-10.3156,314.339,0.112159,59.6637,59.6555,-0.992532,741.272,741.185,-11.3081
7.95,12.5,0.0,2279.0,4.99,1190.9,314.008,1.19044,667.091,667.026,-9.36404,314.528,0.110497,57.368,57.3644,0.642026,724.443,724.39,-8.72201
8.2,12.5,0.0,2277.0,4.96,1182.7,313.941,1.19863,673.78,673.731,-8.13771,314.589,0.10713,56.9627,56.9524,-1.08374,730.742,730.684,-9.22145
8.45,12.5,0.0,2281.0,4.97,1187.16,314.915,1.19227,673.307,673.216,-11.1014,315.424,0.110436,57.9946,57.9923,-0.51544,731.3,731.208,-11.6168
8.716,12.5,0.0,2279.0,5.0,1193.28,312.131,1.19539,674.039,673.939,-11.6124,312.717,0.109528,57.3883,57.3882,0.121271,731.418,731.327,-11.4911
8.966,12.5,0.0,2280.0,4.97,1186.64,313.54,1.19173,669.845,669.769,-10.0694,314.046,0.109921,58.8618,58.8375,-1.69173,728.701,728.606,-11.7611
9.2,12.5,0.0,2278.0,4.99,1190.37,312.547,1.19754,676.74,676.664,-10.132,313.093,0.109348,57.7613,57.7612,0.0602461,734.495,734.426,-10.0717
9.404,12.5,0.0,2280.0,4.96,1184.25,314.799,1.19337,666.201,666.086,-12.3825,315.316,0.106232,57.2458,57.2242,-1.57099,723.444,723.31,-13.9535
9.654,12.5,0.0,2278.0,4.97,1185.6,314.827,1.19616,673.963,673.826,-13.5873,315.277,0.111944,58.7253,58.7253,-0.0635706,732.678,732.551,-13.6509
9.888,12.5,0.0,2279.0,5.0,1193.28,313.659,1.19227,667.63,667.546,-10.634,314.252,0.108843,58.3862,58.3575,-1.83308,726.01,725.903,-12.4671
10.091,12.5,0.0,2281.0,4.91,1172.83,314.791,1.20253,675.783,675.62,-14.8289,315.267,0.112141,59.2486,59.2451,-0.640918,735.028,734.865,-15.4699
10.341,12.5,0.0,2277.0,5.01,1194.62,313.352,1.19864,674.181,674.027,-14.3907,313.955,0.107733,56.7109,56.7103,-0.272399,730.884,730.737,-14.6631
10.591,12.5,0.0,2280.0,4.97,1186.64,315.154,1.19862,672.186,672.083,-11.7397,315.65,0.110617,59.0388,59.017,-1.60683,731.222,731.1,-13.3465
10.841,12.5,0.0,2278.0,4.96,1183.22,312.289,1.19298,674.854,674.708,-14.0157,312.905,0.108411,57.375,57.3745,-0.231225,732.221,732.083,-14.2469
11.075,12.5,0.0,2280.0,4.94,1179.48,314.753,1.19686,670.682,670.506,-15.351,315.237,0.110049,59.0755,59.0533,-1.61778,729.757,729.559,-16.9687
11.325,12.5,0.0,2279.0,4.95,1181.35,311.24,1.1902,674.621,674.486,-13.531,311.762,0.110077,58.1656,58.1649,0.283919,732.77,732.651,-13.2471
11.575,12.5,0.0,2278.0,5.0,1192.76,313.85,1.18922,669.284,669.157,-13.0075,314.434,0.108376,58.2265,58.2067,-1.5197,727.509,727.364,-14.5272
11.825,12.5,0.0,2280.0,4.95,1181.87,314.816,1.19857,672.259,672.093,-14.9438,315.286,0.11241,59.1006,59.0945,-0.853457,731.358,731.188,-15.7972
12.075,12.5,0.0,2279.0,4.94,1178.96,314.094,1.19678,671.558,671.386,-15.1963,314.733,0.106958,57.3747,57.3659,-1.00346,728.932,728.752,-16.1997
12.325,12.5,0.0,2280.0,4.98,1189.03,313.783,1.19573,673.042,672.891,-14.2481,314.26,0.110959,59.3284,59.3189,-1.06156,732.37,732.21,-15.3096
12.575,12.5,0.0,2281.0,4.92,1175.22,316.098,1.21078,673.223,673.062,-14.7348,316.602,0.112858,58.5736,58.5734,0.142439,731.781,731.635,-14.5923
12.825,12.5,0.0,2281.0,4.95,1182.39,311.734,1.19884,673.324,673.159,-14.9025,312.232,0.110933,58.3752,58.3748,0.214906,731.681,731.534,-14.6876
13.075,12.5,0.0,2282.0,5.01,1197.24,315.03,1.20991,673.203,673.049,-14.3971,315.522,0.11,59.0821,59.0576,-1.70023,732.283,732.106,-16.0973
13.279,12.5,0.0,2281.0,4.99,1191.94,314.557,1.19532,673.232,673.086,-14.0186,315.06,0.111821,59.3641,59.355,-1.03796,732.596,732.441,-15.0566
13.529,12.5,0.0,2280.0,4.96,1184.25,312.988,1.20924,674.887,674.713,-15.3042,313.508,0.111599,58.1259,58.1225,0.630274,732.983,732.836,-14.6739
13.779,12.5,0.0,2281.0,4.99,1191.94,315.04,1.20785,672.836,672.667,-15.0813,315.541,0.110157,59.0854,59.0601,-1.72875,731.92,731.727,-16.8101
14.029,12.5,0.0,2280.0,4.98,1189.03,315.86,1.20053,674.888,674.707,-15.651,316.328,0.113639,59.5791,59.5791,-0.0379971,734.453,734.286,-15.689
14.279,12.5,0.0,2281.0,5.04,1203.88,312.383,1.17588,672.822,672.681,-13.7352,313.076,0.107333,58.1331,58.1283,-0.751143,730.953,730.81,-14.4864
14.529,12.5,0.0,2281.0,4.93,1177.61,314.071,1.17625,672.406,672.218,-15.8745,314.686,0.111807,59.6125,59.6091,-0.639591,732.014,731.827,-16.5141
14.732,12.5,0.0,2280.0,5.01,1196.19,315.968,1.21354,676.786,676.592,-16.2363,316.412,0.113399,59.0635,59.0628,0.279609,735.828,735.654,-15.9567
14.982,12.5,0.0,2281.0,4.94,1180.0,314.59,1.18365,670.187,670.064,-12.8764,315.311,0.107545,57.7832,57.7768,-0.861027,727.97,727.841,-13.7375
15.232,12.5,0.0,2282.0,4.95,1182.9,313.775,1.19494,673.363,673.206,-14.5241,314.237,0.113354,59.639,59.6389,0.0561732,732.988,732.845,-14.4679
15.435,12.5,0.0,2280.0,4.95,1181.87,315.661,1.19341,673.261,673.133,-13.1435,316.304,0.10894,58.2023,58.1882,-1.28054,731.463,731.321,-14.4241
15.685,12.5,0.0,2281.0,5.01,1196.72,314.575,1.19563,672.246,672.064,-15.6274,314.978,0.113194,60.1895,60.1779,-1.17962,732.435,732.242,-16.807
15.935,12.5,0.0,2281.0,4.94,1180.0,313.662,1.1982,674.176,674.026,-14.1882,314.195,0.111121,58.348,58.3454,0.548553,732.499,732.372,-13.6396
16.185,12.5,0.0,2279.0,4.99,1190.9,316.537,1.2047,670.663,670.545,-12.5683,317.085,0.110147,58.9063,58.8806,-1.7408,729.566,729.425,-14.3091
16.435,12.5,0.0,2281.0,4.93,1177.61,308.763,1.18299,675.323,675.188,-13.531,309.39,0.10928,58.9594,58.9344,-1.71837,734.281,734.122,-15.2494
16.669,12.5,0.0,2279.0,5.0,1193.28,312.457,1.2038,673.116,672.963,-14.3297,312.944,0.111549,58.5265,58.5265,0.0408182,731.629,731.49,-14.2889
16.888,12.5,0.0,2281.0,5.01,1196.72,314.12,1.21105,676.985,676.804,-15.6638,314.585,0.113274,59.2297,59.2297,-0.00284697,736.2,736.034,-15.6666
17.107,12.5,0.0,2280.0,4.96,1184.25,319.231,1.18711,670.246,670.126,-12.7064,319.912,0.1093,58.6344,58.6125,-1.60331,728.879,728.738,-14.3098
17.325,12.5,0.0,2280.0,5.01,1196.19,313.933,1.19347,674.242,674.086,-14.4862,314.516,0.110776,59.0704,59.0701,-0.163388,733.303,733.156,-14.6496
17.56,12.5,0.0,2279.0,4.98,1188.51,314.805,1.2071,672.35,672.194,-14.4797,315.266,0.10998,58.4549,58.446,-1.01863,730.804,730.64,-15.4983
17.763,12.5,0.0,2280.0,4.97,1186.64,315.402,1.22025,675.823,675.653,-15.1355,315.909,0.11092,58.2865,58.2845,-0.4783,734.104,733.938,-15.6138
