t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.98,1189.03,317.955,1.23166,683.813,683.696,-12.6404,318.479,0.116759,60.739,60.7371,-0.484113,744.548,744.433,-13.1245,
0.247,12.5,0,2281,4.94,1180.0,318.025,1.22365,681.605,681.479,-13.1133,318.613,0.118313,61.0613,61.0606,-0.289678,742.66,742.539,-13.403,
0.497,12.5,0,2280,5.0,1193.81,318.428,1.23588,684.791,684.663,-13.27,318.953,0.116011,60.073,60.0707,-0.528363,744.861,744.733,-13.7984,
0.747,12.5,0,2281,4.93,1177.61,317.91,1.23389,684.71,684.565,-14.0789,318.412,0.114933,59.2243,59.223,-0.396712,743.929,743.788,-14.4756,
0.997,12.5,0,2280,5.0,1193.81,310.746,1.22586,685.414,685.271,-13.9803,311.252,0.114138,59.6317,59.6308,0.335056,745.027,744.902,-13.6453,
1.247,12.5,0,2281,4.94,1180.0,309.985,1.21842,685.967,685.82,-14.1719,310.544,0.112929,59.2355,59.2353,0.176917,745.187,745.056,-13.995,
1.497,12.5,0,2281,4.98,1189.55,309.428,1.21213,683.102,682.999,-11.8744,310.031,0.113632,60.1552,60.1516,-0.659224,743.256,743.15,-12.5336,
1.747,12.5,0,2281,4.97,1187.16,312.289,1.22512,680.75,680.614,-13.6146,312.807,0.11338,59.3837,59.3829,0.318508,740.117,739.997,-13.2961,
1.997,12.5,0,2281,4.99,1191.94,313.105,1.2365,686.972,686.843,-13.2796,313.595,0.113738,59.417,59.4169,0.0981247,746.377,746.26,-13.1815,
2.247,12.5,0,2281,4.95,1182.39,312.805,1.23538,685.449,685.245,-16.7281,313.314,0.113416,59.2975,59.2961,0.40234,744.72,744.541,-16.3257,
2.497,12.5,0,2280,4.95,1181.87,317.588,1.24416,685.723,685.622,-11.7828,318.117,0.115891,60.3388,60.3387,0.110906,746.052,745.96,-11.6719,
2.747,12.5,0,2281,4.96,1184.77,309.8,1.21705,687.314,687.133,-15.731,310.445,0.11171,58.912,58.912,-0.0753568,746.213,746.045,-15.8064,
2.997,12.5,0,2281,4.97,1187.16,310.705,1.22837,686.397,686.267,-13.3792,311.286,0.113891,59.4278,59.4275,0.172877,745.811,745.695,-13.2063,
3.247,12.5,0,2281,4.95,1182.39,318.029,1.24288,683.641,683.509,-13.4594,318.519,0.1162,59.8244,59.8244,-0.0789647,743.456,743.333,-13.5384,
3.497,12.5,0,2281,4.96,1184.77,308.538,1.21817,690.951,690.825,-13.2171,309.147,0.110278,59.5192,59.5178,-0.401077,750.466,750.343,-13.6182,
3.747,12.5,0,2281,4.94,1180.0,312.246,1.22248,679.735,679.612,-12.9299,312.725,0.11265,59.1441,59.1437,0.192522,738.866,738.756,-12.7373,
3.997,12.5,0,2281,4.95,1182.39,310.861,1.22237,686.181,686.05,-13.4164,311.378,0.113701,59.566,59.5659,-0.0735991,745.738,745.616,-13.4899,
4.247,12.5,0,2281,4.94,1180.0,313.796,1.23617,688.6,688.401,-16.5484,314.273,0.113431,59.191,59.1906,0.231411,747.769,747.591,-16.317,
4.497,12.5,0,2281,4.99,1191.94,310.448,1.2039,682.544,682.434,-12.2668,311.043,0.110368,58.8784,58.877,-0.409698,741.419,741.311,-12.6765,
4.747,12.5,0,2281,4.93,1177.61,309.226,1.21257,688.097,687.892,-16.7964,309.842,0.110745,58.6196,58.619,-0.265752,746.706,746.511,-17.0621,
4.997,12.5,0,2281,4.97,1187.16,309.934,1.20516,683.617,683.466,-14.3922,310.578,0.110922,58.9551,58.955,-0.0473632,742.561,742.421,-14.4396,
5.247,12.5,0,2281,4.92,1175.22,308.555,1.21185,682.877,682.738,-13.774,309.139,0.113393,59.6366,59.6359,-0.271331,742.507,742.374,-14.0453,
5.497,12.5,0,2281,5.0,1194.33,305.953,1.22414,668.694,668.622,-9.85325,306.34,0.117372,58.5541,58.5518,0.514996,727.233,727.173,-9.33825,
5.747,12.5,0,2281,4.92,1175.22,309.19,1.22966,672.911,672.884,-6.02446,309.503,0.113145,54.8393,54.8378,0.410044,727.743,727.722,-5.61442,
5.997,12.5,0,2281,4.98,1189.55,316.611,1.2571,685.7,685.562,-13.7228,317.087,0.115542,59.5807,59.5807,-0.0349181,745.27,745.143,-13.7577,
6.247,12.5,0,2281,4.95,1182.39,315.759,1.23907,686.36,686.189,-15.3346,316.219,0.114477,59.2291,59.2289,0.155502,745.572,745.418,-15.1791,
6.497,12.5,0,2280,4.97,1186.64,309.708,1.19909,682.286,682.156,-13.3272,310.338,0.112066,59.6142,59.6138,-0.216752,741.894,741.77,-13.5439,
6.747,12.5,0,2281,4.92,1175.22,310.194,1.21626,680.655,680.485,-15.1997,310.695,0.114494,60.0866,60.0865,0.132719,740.725,740.572,-15.067,
6.997,12.5,0,2280,4.98,1189.03,312.832,1.23311,682.764,682.596,-15.1474,313.337,0.113742,59.747,59.7459,0.353688,742.489,742.342,-14.7937,
7.247,12.5,0,2281,4.95,1182.39,313.127,1.23227,685.425,685.27,-14.5798,313.616,0.114015,59.3906,59.3903,0.209315,744.799,744.66,-14.3705,
7.497,12.5,0,2280,4.98,1189.03,315.393,1.24499,689.006,688.852,-14.5464,315.874,0.11454,59.1835,59.1824,0.348918,748.169,748.034,-14.1975,
7.747,12.5,0,2281,4.96,1184.77,316.72,1.24348,687.809,687.65,-14.7855,317.198,0.113984,59.1445,59.1439,0.260627,746.935,746.794,-14.5249,
7.997,12.5,0,2281,4.92,1175.22,314.897,1.24015,684.449,684.339,-12.3056,315.412,0.115457,60.0247,60.0236,0.37128,744.458,744.362,-11.9344,
8.247,12.5,0,2281,5.0,1194.33,309.681,1.20466,683.89,683.765,-13.0886,310.317,0.108925,58.6295,58.6295,-0.0775757,742.511,742.394,-13.1662,
8.497,12.5,0,2280,4.96,1184.25,311.429,1.20219,679.967,679.885,-10.5594,312.087,0.112483,60.011,60.0058,-0.789354,739.978,739.891,-11.3488,
8.747,12.5,0,2281,4.98,1189.55,309.304,1.2041,682.194,682.094,-11.7063,309.925,0.111012,59.5659,59.5642,-0.453744,741.758,741.658,-12.16,
8.997,12.5,0,2281,4.96,1184.77,309.661,1.21175,685.93,685.779,-14.3982,310.314,0.112169,59.4989,59.498,-0.323593,745.422,745.277,-14.7218,
9.247,12.5,0,2281,4.97,1187.16,310.108,1.23516,689.398,689.261,-13.7112,310.652,0.115076,60.1354,60.1349,-0.231256,749.526,749.396,-13.9424,
9.497,12.5,0,2280,4.98,1189.03,313.432,1.20798,683.092,682.97,-12.9083,314.122,0.108354,58.8564,58.8491,-0.924451,741.948,741.819,-13.8328,
9.747,12.5,0,2281,4.96,1184.77,308.756,1.2021,682.155,682.031,-13.0159,309.341,0.108987,58.8424,58.841,-0.395701,740.993,740.872,-13.4116,
9.997,12.5,0,2281,4.94,1180.0,309.689,1.21579,691.08,690.949,-13.4754,310.361,0.111511,59.4668,59.4656,-0.384075,750.543,750.415,-13.8595,
10.247,12.5,0,2281,4.97,1187.16,309.249,1.20943,683.075,682.917,-14.7205,309.829,0.113588,59.7687,59.7682,-0.24196,742.836,742.685,-14.9625,
10.497,12.5,0,2281,4.96,1184.77,315.673,1.21824,682.14,682.021,-12.7359,316.382,0.110466,59.1976,59.1795,-1.46436,741.336,741.2,-14.2003,
10.747,12.5,0,2280,4.98,1189.03,313.393,1.21427,683.379,683.248,-13.3596,314.109,0.110266,59.3018,59.2977,-0.698694,742.679,742.546,-14.0583,
10.997,12.5,0,2281,4.97,1187.16,312.154,1.19555,680.47,680.344,-13.0889,312.86,0.110276,59.5728,59.5668,-0.843708,740.042,739.911,-13.9326,
11.247,12.5,0,2281,4.94,1180.0,309.848,1.22175,692.101,691.895,-16.9138,310.503,0.110517,58.6028,58.602,-0.302224,750.694,750.497,-17.2161,
11.497,12.5,0,2280,4.99,1191.42,309.709,1.2064,683.113,683.007,-12.0361,310.34,0.113059,59.9204,59.918,-0.535789,743.031,742.925,-12.5719,
11.747,12.5,0,2280,4.96,1184.25,316.132,1.22579,684.031,683.887,-14.0433,316.828,0.110152,59.1921,59.178,-1.29572,743.223,743.065,-15.339,
11.997,12.5,0,2280,5.02,1198.58,316.548,1.2189,679.07,678.953,-12.6423,317.21,0.112851,59.9507,59.9338,-1.42252,739.02,738.886,-14.0648,
12.247,12.5,0,2281,4.99,1191.94,313.227,1.21213,688.749,688.582,-15.1732,313.954,0.109277,58.7639,58.7554,-0.99559,747.512,747.337,-16.1688,
