t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,4.99,1191.42,318.082,1.21745,671.415,671.319,-11.3301,318.666,0.107925,57.3668,57.3326,-1.97887,728.773,728.652,-13.309
0.231,12.5,0.0,2281.0,4.97,1187.16,315.99,1.20923,677.531,677.423,-12.0778,316.655,0.106994,57.3211,57.3146,-0.859362,734.852,734.738,-12.9371
0.481,12.5,0.0,2280.0,4.96,1184.25,313.195,1.20042,677.032,676.961,-9.78289,313.87,0.108424,57.68,57.6743,-0.811738,734.712,734.636,-10.5946
0.731,12.5,0.0,2281.0,4.98,1189.55,310.717,1.20289,679.56,679.421,-13.7266,311.345,0.10583,56.8892,56.8875,-0.436989,736.445,736.309,-14.1636
0.981,12.5,0.0,2282.0,4.93,1178.12,309.755,1.19906,678.771,678.67,-11.7355,310.435,0.108797,57.1939,57.1937,-0.156494,735.959,735.863,-11.892
1.231,12.5,0.0,2281.0,4.98,1189.55,316.586,1.22355,677.272,677.167,-11.9068,317.161,0.107328,57.4263,57.4017,-1.68119,734.695,734.569,-13.5879
1.481,12.5,0.0,2281.0,4.96,1184.77,316.795,1.22405,676.873,676.765,-12.0761,317.387,0.10772,57.3186,57.302,-1.37916,734.191,734.067,-13.4553
1.731,12.5,0.0,2281.0,4.95,1182.39,315.028,1.21599,680.902,680.8,-11.7873,315.714,0.108241,57.3553,57.345,-1.08891,738.257,738.145,-12.8762
1.981,12.5,0.0,2280.0,4.98,1189.03,311.713,1.19935,678.65,678.537,-12.377,312.365,0.108299,57.9439,57.9424,-0.415011,736.59,736.479,-12.792
2.231,12.5,0.0,2281.0,4.94,1180.0,314.623,1.22893,679.599,679.39,-16.8399,315.127,0.109714,58.6489,58.622,-1.77668,738.247,738.012,-18.6166
2.481,12.5,0.0,2281.0,4.95,1182.39,314.956,1.23252,676.496,676.349,-14.1014,315.423,0.111329,58.4404,58.4161,-1.68542,734.934,734.765,-15.7868
2.731,12.5,0.0,2281.0,4.96,1184.77,313.36,1.2237,678.776,678.651,-13.0354,313.83,0.110557,58.8366,58.8095,-1.78787,737.609,737.46,-14.8233
2.981,12.5,0.0,2280.0,4.97,1186.64,313.712,1.2248,672.233,672.139,-11.2845,314.137,0.108224,57.6546,57.6263,-1.80511,729.882,729.765,-13.0896
3.231,12.5,0.0,2281.0,4.95,1182.39,312.663,1.23281,675.984,675.883,-11.6803,313.038,0.111044,59.0018,58.966,-2.05514,734.977,734.849,-13.7355
3.481,12.5,0.0,2281.0,4.96,1184.77,318.075,1.23752,678.956,678.766,-16.0782,318.604,0.110263,58.3485,58.3308,-1.43953,737.305,737.097,-17.5177
3.731,12.5,0.0,2281.0,4.97,1187.16,308.635,1.20099,674.883,674.716,-15.0077,309.112,0.110738,59.0875,59.0737,-1.27639,733.97,733.789,-16.2841
3.981,12.5,0.0,2280.0,5.0,1193.81,311.175,1.22089,676.666,676.508,-14.6284,311.664,0.111146,59.0237,58.9986,-1.71999,735.688,735.507,-16.3484
4.231,12.5,0.0,2279.0,5.0,1193.28,314.696,1.23163,683.136,682.956,-15.7193,315.122,0.112464,59.1273,59.1123,-1.33272,742.264,742.068,-17.052
4.481,12.5,0.0,2279.0,5.06,1207.6,314.21,1.20792,677.43,677.302,-13.1589,314.67,0.112794,59.2794,59.274,-0.796442,736.708,736.576,-13.9553
4.731,12.5,0.0,2279.0,4.93,1176.58,312.731,1.2021,676.907,676.736,-15.1986,313.208,0.112118,59.4519,59.4414,-1.11741,736.359,736.178,-16.316
4.981,12.5,0.0,2279.0,5.0,1193.28,310.733,1.20911,681.436,681.283,-14.4438,311.228,0.112901,59.9116,59.892,-1.53195,741.347,741.175,-15.9758
5.231,12.5,0.0,2280.0,4.97,1186.64,312.012,1.21914,678.953,678.797,-14.5605,312.438,0.110244,58.7134,58.6877,-1.73737,737.664,737.484,-16.2979
5.481,12.5,0.0,2280.0,5.09,1215.29,324.086,1.17245,681.604,681.45,-14.5203,324.605,0.115224,59.0489,59.048,0.328151,740.634,740.498,-14.1921
