t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
8.981,12.5,0,2282,4.96,1185.29,318.976,1.228,681.851,681.729,-12.9334,319.613,0.108138,56.9284,56.9101,-1.4425,738.779,738.639,-14.3759,
9.231,12.5,0,2281,5.0,1194.33,317.825,1.22176,679.939,679.851,-10.921,318.448,0.110254,58.0876,58.0621,-1.71968,738.022,737.913,-12.6407,
9.481,12.5,0,2282,5.0,1194.85,318.563,1.22576,681.166,681.026,-13.8225,319.223,0.108873,57.7352,57.704,-1.89926,738.897,738.73,-15.7217,
9.731,12.5,0,2282,4.98,1190.07,319.724,1.23007,679.558,679.422,-13.5486,320.347,0.109217,57.6384,57.6107,-1.78547,737.193,737.033,-15.3341,
9.981,12.5,0,2282,4.98,1190.07,317.179,1.21336,679.103,678.975,-13.193,317.848,0.109153,58.0335,58.019,-1.29727,737.136,736.994,-14.4903,
10.231,12.5,0,2282,4.96,1185.29,311.188,1.22519,681.231,681.06,-15.2811,311.549,0.113199,59.8393,59.8155,-1.68773,741.069,740.875,-16.9688,
10.481,12.5,0,2282,4.98,1190.07,312.884,1.22419,677.712,677.52,-16.1118,313.301,0.111974,58.8158,58.7899,-1.74677,736.527,736.31,-17.8585,
10.731,12.5,0,2281,4.93,1177.61,319.169,1.23125,685.455,685.269,-15.9788,319.641,0.116461,59.9332,59.9332,-0.010154,745.374,745.202,-15.9889,
10.981,12.5,0,2281,5.01,1196.72,316.217,1.22261,685.199,684.987,-17.04,316.741,0.113815,59.2642,59.2593,-0.762163,744.459,744.246,-17.8022,
11.231,12.5,0,2281,4.94,1180.0,316.302,1.21082,680.696,680.569,-13.1609,316.78,0.115801,60.8976,60.8957,-0.485114,741.59,741.465,-13.646,
11.481,12.5,0,2281,5.0,1194.33,316.452,1.22035,683.617,683.427,-16.1314,316.956,0.11606,60.1901,60.1874,-0.572167,743.802,743.614,-16.7036,
11.731,12.5,0,2280,4.97,1186.64,313.616,1.20655,681.198,681.018,-15.6655,314.11,0.114523,60.3265,60.3117,-1.33627,741.524,741.329,-17.0017,
11.95,12.5,0,2281,4.94,1180.0,310.947,1.23044,679.822,679.604,-17.2321,311.364,0.115181,59.9771,59.9743,0.571903,739.766,739.578,-16.6602,
12.184,12.5,0,2279,4.98,1188.51,316.116,1.23794,684.935,684.801,-13.5514,316.578,0.11407,58.6518,58.6497,0.496225,743.565,743.451,-13.0552,
12.434,12.5,0,2280,4.98,1189.03,315.87,1.23775,684.733,684.589,-14.0535,316.314,0.11748,59.9916,59.9898,0.468194,744.702,744.578,-13.5853,
12.684,12.5,0,2279,5.04,1202.83,318.049,1.22639,679.815,679.704,-12.268,318.651,0.112782,58.1908,58.1908,-0.0545709,737.998,737.895,-12.3226,
12.918,12.5,0,2279,5.0,1193.28,313.791,1.21309,685.685,685.495,-16.1303,314.369,0.114116,59.9155,59.9075,-0.979201,745.599,745.403,-17.1095,
13.153,12.5,0,2281,5.0,1194.33,318.966,1.25466,681.467,681.35,-12.6021,319.372,0.114362,58.5022,58.5017,-0.247749,739.963,739.852,-12.8499,
13.371,12.5,0,2280,5.03,1200.97,315.438,1.22555,685.279,685.156,-13.0119,316.022,0.110537,57.4139,57.4135,0.214968,742.679,742.569,-12.797,
13.606,12.5,0,2281,4.97,1187.16,316.17,1.21322,688.851,688.623,-17.7561,316.75,0.112138,57.9514,57.9467,0.737517,746.763,746.569,-17.0186,
13.84,12.5,0,2281,4.94,1180.0,315.75,1.2317,688.591,688.404,-16.0528,316.293,0.115158,59.5062,59.5053,0.318939,748.074,747.909,-15.7338,
14.059,12.5,0,2280,4.98,1189.03,320.25,1.23093,679.695,679.554,-13.8024,320.79,0.109776,58.122,58.1022,-1.51688,737.816,737.657,-15.3193,
14.278,12.5,0,2279,5.03,1200.44,313.518,1.21866,685.403,685.303,-11.709,314.167,0.109672,58.5111,58.5065,-0.732408,743.913,743.809,-12.4414,
14.512,12.5,0,2279,4.98,1188.51,313.66,1.21446,679.77,679.588,-15.7606,314.177,0.111753,58.8268,58.8248,-0.485534,738.591,738.412,-16.2462,
14.762,12.5,0,2280,5.03,1200.97,313.428,1.22619,680.018,679.886,-13.3877,313.933,0.113288,59.5077,59.4925,-1.34237,739.525,739.378,-14.7301,
14.981,12.5,0,2281,4.99,1191.94,311.9,1.2243,687.697,687.534,-15.005,312.523,0.111563,58.0808,58.0805,0.185006,745.762,745.614,-14.82,
15.215,12.5,0,2281,4.98,1189.55,316.804,1.23657,683.709,683.564,-14.0854,317.408,0.110848,57.6887,57.6881,-0.249519,741.391,741.252,-14.3349,
15.434,12.5,0,2279,5.0,1193.28,313.581,1.22501,686.358,686.177,-15.7286,314.155,0.111527,57.8445,57.8442,0.161179,744.185,744.022,-15.5674,
15.653,12.5,0,2281,4.99,1191.94,319.275,1.23402,682.889,682.776,-12.3974,319.826,0.112168,58.0319,58.0318,0.12256,740.91,740.808,-12.2748,
15.887,12.5,0,2281,4.98,1189.55,315.764,1.2375,685.224,685.06,-15.0155,316.313,0.108763,57.189,57.1889,0.140262,742.398,742.249,-14.8752,
16.121,12.5,0,2279,5.03,1200.44,307.048,1.17846,679.886,679.731,-14.4917,307.674,0.107361,58.3737,58.373,-0.276733,738.252,738.104,-14.7684,
16.34,12.5,0,2281,4.94,1180.0,316.086,1.21315,681.538,681.427,-12.302,316.778,0.109236,58.3137,58.3047,-1.02668,739.852,739.732,-13.3286,
16.559,12.5,0,2279,4.99,1190.9,321.365,1.24025,680.466,680.343,-12.9474,321.932,0.11331,58.1991,58.1972,-0.475618,738.662,738.54,-13.423,
16.778,12.5,0,2279,4.97,1186.12,316.42,1.22475,688.156,687.98,-15.5585,316.96,0.110899,57.8179,57.8173,0.257344,745.954,745.797,-15.3012,
17.028,12.5,0,2279,4.98,1188.51,311.357,1.20933,684.415,684.259,-14.6253,311.958,0.107138,58.399,58.3989,0.0964556,742.8,742.658,-14.5288,
17.278,12.5,0,2281,5.0,1194.33,315.708,1.21967,686.275,686.122,-14.483,316.362,0.111029,57.3992,57.3992,-0.0214013,743.663,743.521,-14.5044,
17.512,12.5,0,2279,5.0,1193.28,311.898,1.22807,682.291,682.088,-16.6424,312.328,0.110546,58.8944,58.8683,-1.75263,741.184,740.956,-18.395,
17.762,12.5,0,2280,4.96,1184.25,315.319,1.2311,678.957,678.815,-13.9031,315.774,0.11027,58.8358,58.8017,-2.0028,737.788,737.616,-15.9059,
18.012,12.5,0,2280,4.99,1191.42,315.163,1.22431,683.331,683.162,-15.1781,315.638,0.115773,60.0643,60.0538,-1.12512,743.395,743.216,-16.3032,
18.262,12.5,0,2279,5.0,1193.28,313.309,1.2033,684.454,684.274,-15.7306,313.825,0.112329,59.5037,59.4961,-0.954161,743.957,743.77,-16.6847,
