t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,5.01,1196.19,310.723,1.19381,680.325,680.21,-12.5272,311.361,0.107612,58.0119,58.0113,-0.269838,738.332,738.221,-12.7971
0.231,12.5,0.0,2280.0,4.96,1184.25,310.283,1.20076,685.022,684.903,-12.7699,310.955,0.109436,58.523,58.5218,-0.372725,743.541,743.425,-13.1426
0.481,12.5,0.0,2280.0,4.99,1191.42,310.797,1.19432,681.962,681.847,-12.4827,311.423,0.107501,58.0215,58.0205,-0.338554,739.979,739.868,-12.8213
0.731,12.5,0.0,2279.0,4.95,1181.35,311.325,1.18807,677.06,676.969,-11.0765,311.94,0.108243,58.2766,58.2753,-0.389118,735.334,735.244,-11.4656
0.981,12.5,0.0,2280.0,4.98,1189.03,309.039,1.2106,683.571,683.454,-12.6637,309.613,0.111275,58.7876,58.7872,-0.234052,742.353,742.241,-12.8978
1.231,12.5,0.0,2279.0,4.95,1181.35,314.282,1.22404,681.739,681.561,-15.569,314.766,0.113529,58.6195,58.6183,0.381697,740.335,740.18,-15.1873
1.481,12.5,0.0,2280.0,4.96,1184.25,311.831,1.19219,680.308,680.185,-12.9701,312.455,0.111415,59.2522,59.2518,-0.215312,739.554,739.436,-13.1854
1.731,12.5,0.0,2279.0,4.96,1183.74,310.252,1.19495,678.699,678.512,-15.9603,310.829,0.10876,57.9448,57.9437,-0.361531,736.636,736.455,-16.3218
1.981,12.5,0.0,2280.0,4.97,1186.64,311.176,1.21869,681.163,681.019,-14.0282,311.73,0.112764,59.3352,59.3352,0.048437,740.486,740.354,-13.9797
2.231,12.5,0.0,2280.0,4.96,1184.25,311.436,1.22097,682.812,682.709,-11.8803,311.978,0.11447,59.5241,59.524,0.0479941,742.327,742.233,-11.8323
2.481,12.5,0.0,2280.0,4.96,1184.25,314.839,1.22547,678.641,678.509,-13.3833,315.298,0.11528,59.4582,59.4577,0.231352,738.084,737.967,-13.1519
2.731,12.5,0.0,2280.0,4.95,1181.87,314.243,1.22854,683.062,682.941,-12.8232,314.675,0.115801,59.6343,59.6316,0.56842,742.674,742.573,-12.2547
2.981,12.5,0.0,2281.0,4.98,1189.55,311.075,1.19156,680.519,680.375,-14.0261,311.725,0.108558,58.6283,58.6264,-0.473068,739.143,739.001,-14.4992
3.231,12.5,0.0,2280.0,4.95,1181.87,310.052,1.20397,683.017,682.842,-15.4623,310.673,0.1103,58.5977,58.5976,-0.0613523,741.602,741.439,-15.5237
3.481,12.5,0.0,2280.0,5.0,1193.81,311.695,1.21487,682.767,682.613,-14.4905,312.175,0.113279,59.121,59.1209,0.101299,741.874,741.734,-14.3892
3.731,12.5,0.0,2280.0,4.95,1181.87,312.604,1.18477,675.425,675.347,-10.2777,313.321,0.109106,58.6657,58.6636,-0.505024,734.09,734.01,-10.7827
3.981,12.5,0.0,2280.0,4.99,1191.42,310.58,1.18945,677.034,676.896,-13.639,311.179,0.1112,59.5132,59.5118,-0.407406,736.542,736.408,-14.0464
4.231,12.5,0.0,2280.0,5.0,1193.81,308.642,1.18984,679.221,679.075,-14.0632,309.279,0.10788,58.246,58.2456,-0.237614,737.459,737.321,-14.3008
4.481,12.5,0.0,2279.0,5.0,1193.28,310.486,1.20329,684.086,683.943,-13.9435,311.1,0.111783,58.8938,58.8938,-0.0333265,742.969,742.837,-13.9768
4.731,12.5,0.0,2279.0,4.99,1190.9,310.005,1.20067,679.582,679.465,-12.6063,310.58,0.111178,57.9427,57.9426,0.0910938,737.514,737.408,-12.5152
4.981,12.5,0.0,2280.0,4.96,1184.25,310.209,1.20983,683.13,683.003,-13.1826,310.707,0.112936,58.9691,58.9662,0.583855,742.076,741.969,-12.5988
5.231,12.5,0.0,2280.0,4.99,1191.42,310.455,1.20115,680.909,680.757,-14.3535,310.978,0.111393,58.7461,58.7455,0.254606,739.637,739.503,-14.0989
