t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.99,1191.42,313.776,1.24574,690.274,690.089,-16.0149,314.148,0.113682,57.9086,57.9045,0.68671,748.15,747.993,-15.3282,
0.263,12.5,0,2280,4.98,1189.03,313.819,1.25036,689.867,689.696,-15.3248,314.179,0.114273,58.1253,58.1217,0.651507,747.962,747.818,-14.6733,
0.513,12.5,0,2280,4.97,1186.64,309.517,1.21979,690.709,690.596,-12.448,310.124,0.108072,56.7707,56.7698,-0.312262,747.475,747.366,-12.7603,
0.763,12.5,0,2281,4.96,1184.77,309.389,1.21273,689.642,689.556,-10.8884,310.003,0.109806,57.5534,57.5526,-0.293962,747.193,747.109,-11.1824,
1.013,12.5,0,2282,4.95,1182.9,308.626,1.20035,685.684,685.588,-11.5095,309.19,0.11085,58.4213,58.4206,-0.281358,744.102,744.008,-11.7909,
1.263,12.5,0,2281,4.92,1175.22,310.555,1.21742,688.609,688.516,-11.3483,311.122,0.113098,58.1554,58.1552,-0.167195,746.76,746.671,-11.5155,
1.513,12.5,0,2280,4.99,1191.42,309.12,1.20929,685.546,685.459,-10.9108,309.693,0.108434,57.374,57.374,0.0250154,742.913,742.833,-10.8858,
1.763,12.5,0,2279,5.0,1193.28,309.624,1.21947,689.277,689.116,-14.899,310.185,0.108371,57.3083,57.308,-0.167216,746.576,746.424,-15.0662,
2.013,12.5,0,2281,4.94,1180.0,311.08,1.20998,683.21,683.106,-11.9191,311.654,0.109731,57.6328,57.6326,-0.146175,740.837,740.738,-12.0652,
2.263,12.5,0,2280,4.96,1184.25,310.678,1.20569,683.906,683.79,-12.6007,311.284,0.111095,58.464,58.4614,-0.552831,742.368,742.251,-13.1536,
2.513,12.5,0,2280,4.97,1186.64,307.553,1.2159,690.062,689.906,-14.6804,308.098,0.111408,58.0811,58.0811,-0.0206488,748.131,747.987,-14.7011,
2.763,12.5,0,2281,4.95,1182.39,312.258,1.24498,689.06,688.911,-14.3417,312.663,0.114363,58.279,58.2772,0.460997,747.317,747.188,-13.8807,
3.013,12.5,0,2280,4.96,1184.25,314.077,1.24904,690.712,690.534,-15.7043,314.468,0.115476,58.7582,58.7546,0.650917,749.439,749.288,-15.0534,
3.263,12.5,0,2280,4.94,1179.48,312.697,1.24574,689.068,688.879,-16.1711,313.121,0.114178,58.2232,58.2212,0.484245,747.264,747.1,-15.6868,
3.513,12.5,0,2279,5.01,1195.67,311.999,1.23672,686.725,686.557,-15.2307,312.457,0.115417,59.2792,59.2771,0.501048,745.979,745.834,-14.7296,
3.763,12.5,0,2279,5.02,1198.05,311.746,1.2257,691.351,691.216,-13.6967,312.332,0.108151,56.9881,56.9878,-0.170243,748.332,748.203,-13.8669,
4.013,12.5,0,2279,5.01,1195.67,309.667,1.21035,687.185,687.015,-15.2737,310.254,0.110962,58.1172,58.1168,0.209923,745.284,745.132,-15.0637,
4.263,12.5,0,2279,5.0,1193.28,309.439,1.2309,690.936,690.784,-14.4961,309.915,0.113486,58.3297,58.3293,0.222149,749.249,749.113,-14.274,
4.513,12.5,0,2278,5.04,1202.3,313.254,1.21938,692.336,692.146,-16.2232,313.872,0.107367,57.3916,57.3883,-0.615059,749.723,749.534,-16.8382,
4.763,12.5,0,2279,5.0,1193.28,309.035,1.20936,686.734,686.584,-14.335,309.577,0.111132,58.3878,58.3877,-0.126333,745.112,744.972,-14.4613,
5.013,12.5,0,2279,5.01,1195.67,309.707,1.2353,693.879,693.718,-14.9486,310.169,0.111017,56.941,56.9395,0.405562,750.798,750.657,-14.5431,
