t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.973145,0.555815,0.41733,-0.0609979,0.0552569,0.00574098,0.43162,-0.946676,0.515056,-0.76521,0.708336,0.0568738,-0.826208,0.763593,0.0626148,1.00241,0.953979,0,-0.0737305,0.0115967,0.901978,-0.437866,-0.893188,0.00463867,-0.966919,0.0162354,0.0032959,-0.0251465,-0.013916,-0.00915527,0.0115967,0.0456543,0.0177002,-0.041626,0.00378418,-0.0507812,1.2666
0.002,-0.728525,-0.209683,0.938209,-0.058845,0.0100467,0.0487983,0.270797,-0.933494,0.662697,-0.792785,0.211984,0.580801,-0.85163,0.222031,0.6296,1.00359,1.01257,0,-0.0543213,0.00390625,0.790771,-0.481323,-0.840088,0.0228271,-0.894409,0.0267334,-0.0500488,0.0168457,-0.00305176,-0.00012207,0.0512695,0.0250244,0.0273438,-0.00585938,0.024292,-0.00598145,1.2666
0.004,-0.126501,-0.782458,0.908959,-0.0193758,-0.058845,0.0782208,0.1218,-0.880768,0.758968,-0.379158,-0.475671,0.854829,-0.398534,-0.534516,0.93305,1.00003,0.975708,0,-0.081665,-0.00708008,0.876953,-0.395752,-0.858154,-0.055542,-0.939819,-0.0626221,0.00488281,0.0228271,0.0148926,0.0125732,-0.0090332,-0.015625,0.0274658,0.0350342,0.0423584,0.0476074,1.2666
0.006,0.592879,-0.998308,0.405429,0.0193758,-0.0832442,0.0638684,-0.127712,-0.769324,0.897036,0.187856,-0.803126,0.61527,0.207231,-0.88637,0.679139,1.00043,1.00854,0,-0.0710449,-0.010498,0.856201,-0.366455,-0.825073,-0.0664062,-0.896118,-0.0769043,0.00708008,-0.00634766,0.0101318,0.000610352,-0.0159912,0.0499268,0.0380859,-0.0307617,0.0482178,-0.0301514,1.2666
0.008,0.976193,-0.676074,-0.300119,0.0782208,-0.0767856,-0.00143524,-0.404422,-0.67226,1.07668,0.718677,-0.816913,0.0982364,0.796898,-0.893699,0.0968011,0.998454,0.966797,0,-0.0854492,-0.0181885,0.877075,-0.519409,-0.883057,-0.0146484,-0.968506,-0.0328369,0.00927734,-0.036377,0.000732422,0.00341797,0.0559082,-0.0788574,-0.000488281,0.00720215,0.000244141,0.0106201,1.2666
0.01,0.810065,0.0809439,-0.891009,0.0868323,-0.0452102,-0.0416221,-0.504936,-0.522469,1.02741,0.858276,-0.342966,-0.51531,0.945109,-0.388176,-0.556933,0.997269,1.0116,0,-0.0761719,0.00354004,0.886597,-0.48999,-0.890137,0.03125,-0.966309,0.03479,-0.0393066,-0.00354004,-0.00878906,0.0065918,0.00927734,0.029541,-0.00964355,-0.0333252,-0.0184326,-0.0267334,1.2666
0.012,0.271292,0.695347,-0.966639,0.0509512,0.0150701,-0.0660212,-0.630283,-0.365489,0.995772,0.522204,0.367094,-0.889298,0.573155,0.382164,-0.955319,1.00241,0.991455,0,-0.0754395,0.00622559,0.913208,-0.383667,-0.907471,-0.0656738,-0.98291,-0.0594482,-0.0020752,0.0256348,-0.00634766,-0.0032959,0.00732422,-0.0203857,0.0078125,0.0090332,0.00146484,0.0057373,1.2666
0.014,-0.461044,0.992141,-0.531098,0.0150701,0.0538217,-0.0688917,-0.786376,-0.131816,0.918192,-0.0637675,0.82036,-0.756593,-0.0486974,0.874182,-0.825485,1.00241,0.980957,0,-0.0811768,0.00598145,0.915405,-0.414917,-0.916016,-0.0305176,-0.997192,-0.0245361,-0.00292969,0.0158691,-0.00952148,-0.00695801,0.0123291,0.0012207,0.0078125,-0.0180664,-0.00170898,-0.0250244,1.2666
0.016,-0.931232,0.726183,0.205049,-0.0480807,0.0681741,-0.0200934,-0.920001,0.147394,0.772607,-0.558397,0.846212,-0.287815,-0.606477,0.914386,-0.307909,1.00517,0.99585,0,-0.0715332,0.0168457,0.821777,-0.458862,-0.822388,0.0401611,-0.893921,0.0570068,0.0262451,0.0197754,-0.00439453,0.00463867,-0.0388184,-0.0313721,0.0714111,0.0361328,0.0670166,0.0407715,1.2666
0.018,-0.877126,0.0701514,0.806975,-0.0796561,0.0215287,0.0581274,-0.947199,0.310366,0.636833,-0.813467,0.45499,0.358477,-0.893123,0.476518,0.416604,1.00478,0.974487,0,-0.0806885,-0.00500488,0.864258,-0.463745,-0.857788,0.0341797,-0.938477,0.0291748,-0.00878906,-0.00549316,0.0113525,-0.00915527,-0.0220947,0.00634766,0.0505371,0.00195312,0.0618896,-0.00720215,1.2666
