t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.987624,0.43941,0.548214,-0.0574098,0.0487983,0.00861147,-0.4127,-0.512883,0.925582,-0.735912,0.651463,0.0844489,-0.793321,0.700261,0.0930604,1.00478,0.983887,0,-0.0604248,0.00769043,0.852661,-0.422852,-0.844971,0.0198975,-0.905396,0.0275879,0.00817871,0.00732422,-0.00476074,-0.00219727,-0.024292,0.0303955,0.0201416,-0.0273438,0.0153809,-0.029541,1.26575
0.002,-0.685088,-0.292169,0.977257,-0.053104,-0.00861147,0.0617155,-0.56761,-0.365489,0.933099,-0.744529,0.125812,0.618717,-0.797633,0.1172,0.680433,1.0028,0.988403,0,-0.0654297,-0.00549316,0.83252,-0.460083,-0.812866,0.0219727,-0.878296,0.0164795,-0.0090332,0.0325928,0.00830078,0.000244141,-0.0119629,0.0317383,0.0274658,-0.00512695,0.0357666,-0.00488281,1.26575
0.004,0.0220996,-0.863402,0.841302,-0.0243992,-0.0617155,0.0861147,-0.718972,-0.201318,0.920291,-0.320561,-0.518757,0.839318,-0.34496,-0.580473,0.925433,1.00083,1.00049,0,-0.0759277,-0.0045166,0.819458,-0.450073,-0.817505,0.0137939,-0.893433,0.00927734,0.019043,-0.0118408,0.0130615,0.00610352,-0.0219727,-0.0168457,0.0313721,0.0247803,0.0444336,0.0308838,1.26587
0.006,0.680516,-0.98212,0.301604,0.0251168,-0.0760679,0.0509512,-0.767456,-0.040743,0.808199,0.298156,-0.801402,0.503246,0.323273,-0.87747,0.554197,1.00003,1.01721,0,-0.0627441,-0.0267334,0.842773,-0.379028,-0.839111,-0.0557861,-0.901855,-0.0825195,0.0167236,-0.00512695,0.00854492,-0.0164795,0.00720215,0.0169678,-0.0164795,-0.00195312,-0.00793457,-0.0184326,1.26587
0.008,0.984576,-0.572775,-0.411801,0.0782208,-0.0739151,-0.00430573,-0.909358,0.188137,0.721221,0.739358,-0.746252,0.00689374,0.817579,-0.820167,0.002588,0.997664,0.960205,0,-0.0810547,-0.00524902,0.853271,-0.42627,-0.825317,-0.0184326,-0.906372,-0.0236816,-0.00402832,-0.0345459,-0.00634766,0.00610352,0.00549316,-0.0117188,-0.00708008,0.0172119,-0.0134277,0.0233154,1.26587
0.01,0.746815,0.192724,-0.939538,0.0739151,-0.0387516,-0.0351635,-0.969667,0.382265,0.587402,0.837595,-0.237836,-0.599759,0.91151,-0.276587,-0.634923,0.99964,1.02698,0,-0.0665283,0.00720215,0.85791,-0.468628,-0.841309,0.019165,-0.907837,0.0263672,-0.041748,0.013916,-0.0142822,0.00915527,-0.00610352,0.0126953,-0.0147705,-0.00817871,-0.0290527,0.000976562,1.26575
0.012,0.158508,0.761644,-0.920151,0.0387516,0.0229639,-0.0617155,-0.920001,0.518874,0.401127,0.423968,0.430862,-0.854829,0.462719,0.453825,-0.916545,1.0028,0.976318,0,-0.0783691,0.00769043,0.852295,-0.375366,-0.867065,-0.0560303,-0.945435,-0.0483398,0.019043,0.0303955,-0.00305176,0.00585938,0.0423584,-0.0241699,-0.00134277,0.0250244,-0.00439453,0.0308838,1.26575
0.014,-0.582211,0.986745,-0.404534,0.0143524,0.0423397,-0.0566921,-0.890438,0.683044,0.207393,-0.129258,0.797956,-0.668697,-0.114906,0.840295,-0.725389,1.00478,1.01379,0,-0.055542,0.0111084,0.832397,-0.435303,-0.849243,-0.00183105,-0.904785,0.00927734,0.0189209,-0.00683594,0.00244141,-0.0108643,-0.00170898,0.0153809,0.0233154,-0.0131836,0.0257568,-0.0240479,1.26575
0.016,-0.961714,0.654489,0.307225,-0.0495159,0.0502335,-0.000717622,-0.832494,0.849611,-0.0171171,-0.682485,0.784168,-0.101683,-0.732001,0.834402,-0.102401,1.00596,0.984131,0,-0.0651855,0.00390625,0.862183,-0.435059,-0.865601,0.00415039,-0.930786,0.00805664,0.017334,-0.000366211,-0.00244141,-0.012207,0.0159912,0.0217285,0.00646973,-0.013916,0.00402832,-0.026123,1.26575
0.018,-0.797872,-0.0786312,0.876504,-0.0731975,0.0200934,0.053104,-0.7036,0.905933,-0.202333,-0.796232,0.372264,0.423968,-0.86943,0.392358,0.477072,1.00359,0.995972,0,-0.0627441,0.0112305,0.763794,-0.493896,-0.782104,0.0611572,-0.844849,0.0723877,-0.0393066,0.0,0.00012207,-0.0123291,0.0251465,-0.00439453,-0.000854492,0.0246582,-0.000732422,0.0123291,1.26575
