t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2279.0,4.94,1178.96,318.816,1.21487,673.922,673.772,-14.2287,319.37,0.109233,58.619,58.5902,-1.83855,732.538,732.362,-16.0672
0.215,12.5,0.0,2280.0,5.02,1198.58,319.265,1.22062,677.199,677.046,-14.3879,319.884,0.112178,59.3074,59.2747,-1.9708,736.503,736.321,-16.3587
0.465,12.5,0.0,2279.0,5.01,1195.67,312.085,1.1866,673.061,672.928,-13.3399,312.61,0.1115,59.9228,59.9052,-1.45587,732.983,732.834,-14.7957
0.668,12.5,0.0,2279.0,5.0,1193.28,310.842,1.19096,673.153,672.948,-16.6234,311.384,0.111976,60.1906,60.1662,-1.71547,733.344,733.114,-18.3389
0.918,12.5,0.0,2279.0,4.98,1188.51,310.925,1.20014,674.001,673.802,-16.399,311.492,0.112308,59.8938,59.8696,-1.70365,733.894,733.671,-18.1026
1.168,12.5,0.0,2279.0,5.03,1200.44,312.033,1.21499,676.752,676.65,-11.7458,312.572,0.112589,59.8923,59.8577,-2.03633,736.637,736.508,-13.7821
1.418,12.5,0.0,2279.0,4.95,1181.35,313.829,1.20438,681.161,680.984,-15.5125,314.406,0.112804,59.95,59.9464,-0.660281,741.107,740.931,-16.1728
1.668,12.5,0.0,2282.0,5.02,1199.63,316.434,1.19754,678.091,677.941,-14.2634,316.979,0.112749,59.4432,59.4397,-0.646892,737.532,737.381,-14.9103
1.918,12.5,0.0,2281.0,4.98,1189.55,315.749,1.18317,674.5,674.331,-15.0797,316.378,0.110632,58.9929,58.99,-0.577649,733.489,733.321,-15.6573
2.168,12.5,0.0,2282.0,4.96,1185.29,312.517,1.19219,677.715,677.569,-14.0742,313.044,0.111891,60.1521,60.1405,-1.18048,737.867,737.709,-15.2547
2.418,12.5,0.0,2281.0,4.96,1184.77,312.102,1.18631,676.037,675.892,-14.0147,312.653,0.110888,60.1591,60.1485,-1.12887,736.196,736.04,-15.1435
2.668,12.5,0.0,2282.0,4.95,1182.9,311.924,1.19559,679.768,679.606,-14.8278,312.471,0.111634,59.894,59.8859,-0.984062,739.661,739.492,-15.8118
2.918,12.5,0.0,2282.0,4.96,1185.29,319.331,1.21194,675.767,675.638,-13.2362,319.886,0.113994,59.0422,59.0413,-0.313983,734.804,734.679,-13.5501
3.168,12.5,0.0,2281.0,4.94,1180.0,316.904,1.19906,678.135,677.993,-13.8731,317.455,0.112342,59.7462,59.7443,-0.470649,737.877,737.737,-14.3438
3.418,12.5,0.0,2282.0,4.98,1190.07,314.011,1.18974,678.39,678.214,-15.4411,314.568,0.11164,59.7656,59.7624,-0.618217,738.151,737.977,-16.0594
3.668,12.5,0.0,2282.0,4.98,1190.07,313.702,1.19075,677.402,677.21,-16.1513,314.294,0.112666,60.2905,60.2876,-0.587249,737.687,737.497,-16.7385
3.918,12.5,0.0,2282.0,4.95,1182.9,312.465,1.18869,677.364,677.214,-14.2844,313.017,0.111325,59.9215,59.9135,-0.975037,737.285,737.127,-15.2594
4.168,12.5,0.0,2282.0,4.95,1182.9,311.978,1.18767,676.922,676.774,-14.1185,312.496,0.110115,59.6559,59.6472,-1.01359,736.577,736.422,-15.1321
4.418,12.5,0.0,2282.0,4.95,1182.9,320.462,1.22447,678.971,678.845,-13.0757,320.993,0.114503,59.3049,59.3049,0.000613022,738.266,738.15,-13.075
4.668,12.5,0.0,2282.0,5.0,1194.85,318.97,1.21431,677.779,677.653,-13.0627,319.501,0.11465,59.5558,59.5548,-0.337628,737.33,737.208,-13.4004
4.918,12.5,0.0,2282.0,4.97,1187.68,317.379,1.19752,676.458,676.337,-12.8105,317.94,0.113098,59.7984,59.7942,-0.702816,736.255,736.131,-13.5133
5.168,12.5,0.0,2282.0,5.0,1194.85,317.424,1.19797,676.255,676.079,-15.4025,317.983,0.112713,59.8518,59.8507,-0.36472,736.099,735.93,-15.7672
5.418,12.5,0.32,2287.0,3.45,826.255,250.922,1.27192,532.153,522.371,101.563,251.339,0.43595,99.8126,38.5416,92.0712,593.395,560.912,193.634
5.668,12.5,0.8,2310.0,4.18,1011.15,189.231,1.45692,495.513,458.368,188.234,189.433,0.51173,154.483,-36.5927,150.087,540.699,421.776,338.321
5.872,12.5,2.24,2316.0,5.04,1222.36,234.826,1.35596,537.326,520.765,132.376,235.13,0.453256,113.538,-7.76033,113.273,568.786,513.005,245.649
