t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.98,1189.03,309.651,1.21321,683.483,683.343,-13.8194,310.108,0.11393,59.7415,59.7283,-1.25487,743.224,743.071,-15.0743,
0.263,12.5,0,2279,5.0,1193.28,309.247,1.21134,684.272,684.136,-13.6165,309.695,0.112554,58.9548,58.933,-1.60477,743.225,743.069,-15.2213,
0.513,12.5,0,2280,4.97,1186.64,310.213,1.23481,688.999,688.845,-14.579,310.611,0.11043,57.9093,57.8807,-1.81918,746.905,746.725,-16.3982,
0.763,12.5,0,2278,5.05,1204.69,313.06,1.20516,683.606,683.441,-15.0078,313.597,0.113892,59.5786,59.5732,-0.797361,743.182,743.014,-15.8052,
1.013,12.5,0,2278,5.02,1197.53,311.517,1.21285,684.576,684.444,-13.4257,311.992,0.114087,59.8404,59.8292,-1.16047,744.416,744.273,-14.5861,
1.263,12.5,0,2280,5.0,1193.81,311.493,1.22137,688.129,687.966,-14.9835,311.949,0.112151,58.6331,58.6191,-1.2804,746.762,746.585,-16.2639,
1.513,12.5,0,2280,4.97,1186.64,310.546,1.21613,683.61,683.419,-16.1342,310.974,0.113137,59.6465,59.6243,-1.62753,743.256,743.044,-17.7618,
1.763,12.5,0,2279,4.98,1188.51,310.979,1.22612,684.552,684.427,-13.0881,311.398,0.113203,59.1078,59.0785,-1.85979,743.655,743.505,-14.9479,
2.013,12.5,0,2279,4.97,1186.12,311.163,1.23063,681.999,681.816,-15.7871,311.569,0.11359,59.5656,59.5442,-1.59704,741.564,741.36,-17.3842,
2.263,12.5,0,2277,5.04,1201.77,311.748,1.2352,681.856,681.677,-15.6308,312.142,0.11136,58.7433,58.718,-1.72404,740.598,740.395,-17.3549,
2.513,12.5,0,2279,5.0,1193.28,312.19,1.24127,687.831,687.636,-16.3913,312.53,0.111495,58.6772,58.6489,-1.82112,746.507,746.285,-18.2125,
2.763,12.5,0,2277,5.04,1201.77,312.342,1.24298,687.988,687.831,-14.7115,312.718,0.11198,58.7529,58.7138,-2.14123,746.735,746.544,-16.8527,
3.013,12.5,0,2280,4.94,1179.48,312.347,1.23524,685.381,685.237,-14.0228,312.751,0.112837,59.3474,59.3164,-1.91887,744.724,744.553,-15.9417,
3.263,12.5,0,2279,4.99,1190.9,312.459,1.23413,682.183,682.014,-15.1871,312.865,0.112344,58.6998,58.669,-1.90266,740.88,740.683,-17.0897,
3.513,12.5,0,2279,4.97,1186.12,312.696,1.23438,681.506,681.296,-16.9174,313.122,0.114425,59.5386,59.5117,-1.78934,741.044,740.808,-18.7068,
3.763,12.5,0,2278,5.06,1207.07,312.688,1.24427,689.517,689.337,-15.7455,313.038,0.111642,58.2369,58.2125,-1.68427,747.753,747.55,-17.4297,
4.013,12.5,0,2279,4.99,1190.9,312.864,1.24186,688.634,688.41,-17.5626,313.248,0.109833,57.6239,57.5975,-1.743,746.257,746.007,-19.3056,
4.263,12.5,0,2278,5.07,1209.46,312.893,1.24429,689.162,688.987,-15.5138,313.278,0.111686,58.9314,58.9019,-1.86716,748.091,747.889,-17.3809,
4.513,12.5,0,2280,4.96,1184.25,313.065,1.23752,685.51,685.289,-17.3826,313.479,0.110109,57.9766,57.9459,-1.88524,743.485,743.235,-19.2678,
4.763,12.5,0,2280,4.99,1191.42,312.155,1.23706,686.759,686.588,-15.327,312.512,0.11413,59.8206,59.7889,-1.94743,746.577,746.377,-17.2745,
5.013,12.5,0,2280,4.97,1186.64,313.108,1.21532,686.192,686.055,-13.7093,313.558,0.113597,59.8962,59.8903,-0.837216,746.088,745.946,-14.5465,
5.263,12.5,0,2280,4.98,1189.03,308.764,1.22601,690.038,689.859,-15.7267,309.207,0.112185,58.9113,58.8857,-1.73795,748.948,748.744,-17.4647,
5.513,12.5,0,2280,4.98,1189.03,266.891,1.64943,665.735,665.232,25.8639,267.217,0.129414,60.0392,56.6827,19.7934,723.358,721.915,45.6573,
5.763,12.5,0,2279,5.05,1205.21,243.952,1.82823,663.552,662.702,33.5905,244.139,0.117842,55.1725,49.7192,23.9167,714.738,712.421,57.5072,
6.013,12.5,0,2280,4.87,1162.77,292.271,1.44557,676.354,676.321,-6.76568,292.701,0.118336,57.3605,57.3508,-1.05215,733.713,733.671,-7.81784,
6.263,12.5,0,2278,5.12,1221.38,312.488,1.24951,690.909,690.524,-23.0784,312.838,0.113594,59.4538,59.4226,-1.92396,750.363,749.947,-25.0024,
6.513,12.5,0,2280,4.89,1167.54,315.386,1.22552,673.625,673.462,-14.8228,315.829,0.111936,58.4228,58.3794,-2.25214,732.041,731.841,-17.0749,
6.763,12.5,0,2281,5.06,1208.66,310.135,1.22846,688.926,688.678,-18.5144,310.53,0.112701,59.3469,59.3134,-1.99421,748.272,747.991,-20.5086,
7.013,12.5,0,2280,4.94,1179.48,310.066,1.22101,685.271,685.068,-16.6836,310.496,0.113824,59.4447,59.4083,-2.08178,744.712,744.476,-18.7654,
7.263,12.5,0,2281,5.01,1196.72,311.604,1.25118,688.455,688.22,-17.9968,311.973,0.115351,60.23,60.2116,-1.4873,748.685,748.432,-19.4841,
7.513,12.5,0,2280,4.94,1179.48,317.54,1.23437,679.486,679.301,-15.8304,318.029,0.111525,57.9496,57.924,-1.72402,737.434,737.225,-17.5545,
7.763,12.5,0,2280,4.99,1191.42,316.396,1.25308,690.158,690.007,-14.4335,316.834,0.11296,59.0699,59.0328,-2.09451,749.222,749.04,-16.528,
8.013,12.5,0,2279,4.99,1190.9,316.223,1.23131,677.729,677.601,-13.1934,316.656,0.110923,58.6568,58.6253,-1.91974,736.381,736.226,-15.1132,
8.263,12.5,0,2280,4.97,1186.64,316.766,1.24991,688.32,688.154,-15.1103,317.212,0.110413,57.9755,57.9388,-2.06363,746.291,746.093,-17.1739,
8.513,12.5,0,2280,5.01,1196.19,310.198,1.22714,688.968,688.789,-15.6883,310.552,0.112851,59.5453,59.5078,-2.11247,748.509,748.297,-17.8008,
8.763,12.5,0,2280,5.0,1193.81,312.058,1.23267,683.742,683.58,-14.8882,312.442,0.11414,59.3973,59.3579,-2.16195,743.134,742.938,-17.0502,
9.013,12.5,0,2281,4.97,1187.16,317.856,1.25436,684.442,684.338,-11.9237,318.288,0.113211,58.6804,58.648,-1.95083,743.116,742.986,-13.8745,
9.263,12.5,0,2279,5.02,1198.05,308.953,1.21498,685.995,685.862,-13.5277,309.391,0.113342,59.8599,59.8291,-1.91947,745.851,745.691,-15.4472,
9.513,12.5,0,2280,5.03,1200.97,311.946,1.23308,684.467,684.343,-13.0028,312.237,0.113703,59.7157,59.6648,-2.46696,744.169,744.008,-15.4698,
9.763,12.5,0,2279,5.02,1198.05,315.243,1.24563,686.006,685.872,-13.5636,315.63,0.109585,57.9747,57.9328,-2.20625,743.971,743.804,-15.7698,
