t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.481619,-0.513416,0.995035,-0.0502335,-0.0165053,0.0667389,0.715425,-0.874776,0.159351,-0.641122,-0.0827254,0.723847,-0.691356,-0.0992307,0.790586,1.00241,0.976929,0,-0.0783691,0.000976562,0.831177,-0.41687,-0.80127,-0.00891113,-0.879639,-0.00793457,-0.00219727,0.0256348,0.0192871,-0.00476074,0.00463867,0.00195312,0.00439453,0.00817871,0.0236816,0.00341797,1.2666
0.002,0.250716,-0.964389,0.713673,-0.00717622,-0.0696093,0.0767856,0.604268,-0.980229,0.375961,-0.20509,-0.61527,0.82036,-0.212266,-0.68488,0.897146,0.99885,1.00635,0,-0.0775146,0.00610352,0.836548,-0.494141,-0.802124,0.0545654,-0.879639,0.0606689,-0.0090332,-0.020874,0.0224609,0.00268555,-0.0372314,-0.00354004,0.0411377,-0.0098877,0.0635986,-0.00720215,1.26648
0.004,0.808541,-0.868798,0.0602571,0.0574098,-0.0904204,0.0330106,0.456453,-0.958659,0.502206,0.461884,-0.839318,0.377435,0.519293,-0.929739,0.410445,0.999245,0.982666,0,-0.0942383,-0.0145264,0.860962,-0.469727,-0.856934,0.0107422,-0.951172,-0.00378418,-0.0102539,0.0170898,-0.0108643,-0.00317383,0.0216064,0.0155029,-0.0252686,-0.00976562,-0.0361328,-0.0129395,1.26648
0.006,0.9861,-0.33611,-0.64999,0.0746327,-0.0638684,-0.0107643,0.2909,-0.910726,0.619826,0.81002,-0.542886,-0.267134,0.884652,-0.606754,-0.277899,0.998059,0.993286,0,-0.067627,-0.00891113,0.875,-0.424438,-0.86438,-0.0354004,-0.932007,-0.0443115,0.00476074,0.00146484,0.00354004,0.0195312,-0.0186768,0.0371094,0.0145264,-0.0339355,0.0180664,-0.0144043,1.2666
0.008,0.615741,0.376197,-0.991937,0.0739151,-0.00861147,-0.0653036,0.133625,-0.834033,0.700408,0.720401,0.0620441,-0.782445,0.794316,0.0534326,-0.847748,0.99885,0.9646,0,-0.0844727,-0.00146484,0.890137,-0.387573,-0.859619,-0.0626221,-0.944092,-0.0640869,0.0290527,0.0236816,-0.000366211,0.0078125,-0.0299072,-0.0057373,0.0131836,-0.0169678,0.0128174,-0.00915527,1.2666
0.01,-0.135646,0.906572,-0.770926,0.0473631,0.026552,-0.0739151,-0.14072,-0.768125,0.908845,0.313667,0.563567,-0.877234,0.36103,0.590119,-0.951149,1.0028,1.01489,0,-0.0710449,0.020752,0.789062,-0.444214,-0.797852,0.00366211,-0.868896,0.0244141,0.0233154,-0.026123,0.00244141,-0.0145264,-0.0206299,0.0435791,0.0405273,-0.0704346,0.0429688,-0.0849609,1.2666
0.012,-0.725477,0.932011,-0.206534,-0.0236815,0.058845,-0.0351635,-0.31455,-0.637508,0.952059,-0.341242,0.86517,-0.523928,-0.364924,0.924015,-0.559091,1.00162,0.977295,0,-0.0759277,0.00537109,0.870239,-0.428711,-0.868408,-0.00366211,-0.944336,0.00170898,-0.00976562,0.00476074,-0.0118408,-0.013916,-0.00195312,0.022583,0.0297852,-0.0264893,0.0179443,-0.0404053,1.2666
0.014,-0.985338,0.444806,0.540532,-0.058845,0.0459278,0.0129172,-0.468278,-0.502098,0.970376,-0.763487,0.687655,0.0758317,-0.822332,0.733583,0.0887489,0.999245,0.97876,0,-0.0700684,0.0020752,0.889282,-0.43396,-0.887207,0.0179443,-0.957275,0.0200195,0.00769043,0.0012207,0.000244141,-0.0124512,-0.00769043,0.0109863,0.0321045,-0.0158691,0.0323486,-0.0283203,1.2666
0.016,-0.68204,-0.288315,0.970354,-0.0452102,-0.00717622,0.0523864,-0.622006,-0.363092,0.985098,-0.792785,0.127535,0.66525,-0.837995,0.120359,0.717637,1.00083,0.990601,0,-0.0633545,-0.00646973,0.906006,-0.455566,-0.865967,0.0146484,-0.929321,0.00817871,-0.017334,0.0300293,0.0113525,0.0045166,-0.012207,0.0373535,0.0218506,0.00183105,0.0332031,0.00634766,1.2666
0.018,0.0129549,-0.847213,0.834258,-0.0157877,-0.058845,0.0746327,-0.756813,-0.18574,0.942553,-0.344689,-0.529098,0.873787,-0.360477,-0.587943,0.94842,0.99885,0.987793,0,-0.0725098,-0.00134277,0.899048,-0.426392,-0.871216,-0.0112305,-0.943726,-0.0125732,0.015625,-0.00317383,0.0180664,0.00720215,-0.00512695,-0.0124512,0.0164795,0.0239258,0.0345459,0.0311279,1.2666
