t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2279.0,4.99,1190.9,313.891,1.21743,671.205,671.019,-15.8169,314.343,0.11047,59.9488,59.9314,-1.4452,731.154,730.95,-17.2621
0.232,12.5,0.0,2278.0,5.01,1195.14,314.208,1.2133,669.672,669.476,-16.1817,314.665,0.109598,59.1813,59.1583,-1.64853,728.853,728.635,-17.8302
0.482,12.5,0.0,2279.0,5.01,1195.67,315.47,1.2277,672.837,672.688,-14.191,315.904,0.112272,60.0444,60.0238,-1.57113,732.881,732.711,-15.7621
0.732,12.5,0.0,2278.0,4.99,1190.37,317.2,1.22269,670.799,670.674,-12.9175,317.699,0.111638,59.6692,59.6422,-1.79597,730.465,730.317,-14.7135
0.982,12.5,0.0,2278.0,5.0,1192.76,316.446,1.22068,668.827,668.705,-12.7471,316.948,0.111459,59.7352,59.7007,-2.02757,728.556,728.406,-14.7746
1.232,12.5,0.0,2279.0,5.04,1202.83,316.539,1.22429,670.56,670.402,-14.5434,317.047,0.112484,60.2824,60.2439,-2.15539,730.837,730.646,-16.6988
1.482,12.5,0.0,2279.0,5.01,1195.67,316.734,1.21919,668.59,668.455,-13.4209,317.208,0.111071,59.6553,59.625,-1.89943,728.241,728.08,-15.3203
1.732,12.5,0.0,2278.0,4.99,1190.37,316.359,1.22293,669.795,669.661,-13.4035,316.853,0.111297,59.9086,59.8663,-2.25036,729.695,729.527,-15.6539
1.982,12.5,0.0,2279.0,5.01,1195.67,316.206,1.2225,670.312,670.169,-13.8415,316.677,0.111364,59.9366,59.8961,-2.20225,730.241,730.065,-16.0437
2.232,12.5,0.0,2279.0,5.0,1193.28,316.339,1.22188,670.203,670.067,-13.4838,316.84,0.110448,59.8202,59.7868,-1.99699,730.018,729.854,-15.4808
2.482,12.5,0.0,2279.0,4.98,1188.51,317.558,1.21687,669.015,668.882,-13.386,318.068,0.109795,58.7576,58.7271,-1.89242,727.769,727.609,-15.2784
2.732,12.5,0.0,2279.0,5.02,1198.05,317.93,1.21804,670.26,670.119,-13.7309,318.531,0.110454,59.3627,59.3352,-1.80725,729.62,729.455,-15.5381
2.982,12.5,0.0,2279.0,5.01,1195.67,317.204,1.21802,670.024,669.886,-13.5803,317.768,0.109742,59.1821,59.1546,-1.80372,729.203,729.04,-15.3841
3.232,12.5,0.0,2279.0,5.0,1193.28,317.178,1.2121,670.234,670.097,-13.5378,317.808,0.108893,58.7563,58.7268,-1.86066,728.987,728.824,-15.3985
3.482,12.5,0.0,2279.0,4.99,1190.9,318.322,1.21821,668.887,668.76,-13.0357,318.848,0.109658,58.8092,58.779,-1.88236,727.692,727.539,-14.918
3.732,12.5,0.0,2279.0,5.0,1193.28,317.83,1.21493,670.929,670.793,-13.4949,318.451,0.110737,59.3563,59.3264,-1.88283,730.281,730.119,-15.3777
3.982,12.5,0.0,2279.0,4.98,1188.51,318.113,1.21237,668.889,668.78,-12.0501,318.697,0.110276,59.1771,59.1533,-1.67638,728.063,727.933,-13.7265
