t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.026,-0.24081,0.958222,-0.717412,0.0251168,0.0423397,-0.0674565,-0.987405,0.671061,0.316343,0.201643,0.685932,-0.887575,0.22676,0.728271,-0.955031,1.00241,1.00854,0,-0.0738525,0.00830078,0.878662,-0.463989,-0.880859,0.0136719,-0.954712,0.0219727,0.00244141,-0.015625,-0.00842285,-0.0109863,-0.0174561,0.010376,0.0352783,-0.0393066,0.0268555,-0.050293,1.2666
0.028,-0.803969,0.851068,-0.0470988,-0.0344459,0.0739151,-0.0394692,-0.873883,0.758539,0.115344,-0.444649,0.86,-0.41535,-0.479095,0.933915,-0.45482,1.00399,0.983643,0,-0.0837402,0.0100098,0.864868,-0.42041,-0.886841,-0.0128174,-0.970581,-0.00280762,-0.0032959,0.0296631,-0.0172119,-0.00830078,-0.00402832,0.0411377,0.0141602,-0.0526123,-0.00305176,-0.0609131,1.26648
0.03,-0.965525,0.325317,0.640207,-0.0753503,0.0444926,0.0308578,-0.730798,0.844818,-0.114021,-0.735912,0.573908,0.162004,-0.811262,0.6184,0.192862,1.00557,0.967529,0,-0.0718994,0.00292969,0.817993,-0.405762,-0.815552,-0.0224609,-0.887451,-0.0195312,-0.00146484,-0.00646973,-0.000366211,-0.00646973,-0.0333252,-0.0236816,0.0648193,0.026001,0.0644531,0.0195312,1.2666
0.032,-0.592879,-0.390844,0.983723,-0.0523864,-0.0229639,0.0753503,-0.598355,0.931097,-0.332742,-0.732465,0.0137876,0.718677,-0.784851,-0.00917634,0.794027,1.0032,0.96106,0,-0.0786133,-0.00842285,0.859009,-0.458618,-0.834839,0.0356445,-0.913452,0.0272217,0.0141602,0.0284424,0.017334,0.000732422,-0.0111084,0.00939941,0.0203857,0.00549316,0.0377197,0.00622559,1.2666
0.034,0.16689,-0.924303,0.757412,-0.020811,-0.0717622,0.0925733,-0.489563,0.983824,-0.49426,-0.291262,-0.55495,0.846212,-0.312073,-0.626712,0.938785,0.998454,1.02307,0,-0.0706787,0.00109863,0.818481,-0.511108,-0.825806,0.0705566,-0.896484,0.0716553,0.0108643,-0.0384521,0.0179443,-0.00634766,-0.0240479,0.0147705,0.036499,0.00488281,0.0544434,-0.00146484,1.2666
0.036,0.746052,-0.93895,0.192897,0.058845,-0.101185,0.0423397,-0.260154,0.892751,-0.632597,0.348136,-0.839318,0.491182,0.406981,-0.940503,0.533522,0.998454,0.985229,0,-0.0976562,-0.0231934,0.826782,-0.432495,-0.824463,-0.0123291,-0.922119,-0.0355225,-0.012207,-0.00012207,-0.0134277,-0.00439453,0.000732422,0.0239258,-0.00817871,-0.0264893,-0.0216064,-0.0308838,1.26648
0.038,0.993721,-0.447119,-0.546602,0.0789384,-0.0753503,-0.00358811,-0.180926,0.943081,-0.762155,0.785892,-0.623888,-0.162004,0.86483,-0.699238,-0.165592,0.997664,0.982666,0,-0.0778809,-0.00646973,0.906372,-0.410522,-0.863403,-0.00927734,-0.941284,-0.0157471,0.00634766,-0.00817871,0.000854492,0.0170898,-0.0130615,0.074707,-0.00634766,-0.0400391,-0.00549316,-0.0229492,1.2666
0.04,0.690422,0.285231,-0.975653,0.0746327,-0.0165053,-0.0581274,-0.00827764,0.805273,-0.796996,0.761763,-0.0672144,-0.694549,0.836396,-0.0837197,-0.752676,0.996084,0.991943,0,-0.0858154,0.00219727,0.839966,-0.414185,-0.846191,-0.0336914,-0.932007,-0.0314941,-0.00354004,0.0184326,0.00378418,0.0112305,-0.00805664,0.0384521,0.0129395,-0.0281982,0.0167236,-0.0169678,1.2666
0.042,-0.00914467,0.843359,-0.834214,0.0495159,0.0243992,-0.0739151,0.245964,0.714201,-0.960165,0.411904,0.503246,-0.91515,0.46142,0.527645,-0.989065,1.00162,0.999023,0,-0.0761719,0.020752,0.817627,-0.465576,-0.840698,0.0367432,-0.91687,0.0574951,0.0229492,-0.00744629,0.00244141,-0.00415039,-0.0321045,0.0339355,0.0476074,-0.0324707,0.0500488,-0.0366211,1.2666
0.044,-0.662226,0.972869,-0.310643,0.0,0.0502335,-0.0502335,0.432802,0.554824,-0.987626,-0.239559,0.861723,-0.622164,-0.239559,0.911957,-0.672398,1.00003,1.00146,0,-0.0621338,0.010376,0.876831,-0.470215,-0.885254,0.00012207,-0.947388,0.010498,0.0117188,0.000366211,0.00012207,-0.0141602,-0.0057373,-0.0241699,0.015625,-0.0246582,0.0157471,-0.0388184,1.2666
