t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.710236,-0.238977,0.949213,-0.0609979,0.00574098,0.0552569,-0.45054,0.963452,-0.512912,-0.789338,0.218878,0.570461,-0.850336,0.224619,0.625718,1.00162,1.00513,0,-0.0600586,0.000366211,0.875732,-0.477661,-0.848267,0.0822754,-0.908325,0.0826416,-0.041748,0.020874,-0.0020752,-0.00341797,-0.045166,-0.000976562,0.0289307,-0.00280762,0.0268555,-0.00622559,1.2666
0.002,-0.0731573,-0.80173,0.874888,-0.0215287,-0.0624331,0.0839618,-0.294448,0.927503,-0.633055,-0.398116,-0.427415,0.825531,-0.419645,-0.489848,0.909493,1.00359,0.976196,0,-0.0849609,-0.00622559,0.844727,-0.466309,-0.837769,0.0357666,-0.922729,0.029541,0.0123291,0.00939941,0.0144043,0.00805664,-0.0198975,-0.0220947,0.0301514,0.0396729,0.0445557,0.0477295,1.26648
0.004,0.622599,-0.99137,0.368771,0.0172229,-0.0882675,0.0710446,-0.109974,0.856801,-0.746827,0.206814,-0.785891,0.579078,0.224036,-0.874159,0.650122,1.00201,1.00806,0,-0.0769043,-0.00549316,0.829102,-0.438721,-0.82312,0.00012207,-0.900024,-0.00537109,0.0107422,-0.00512695,0.012085,0.00378418,0.00976562,-0.00354004,-0.0117188,0.00866699,0.000366211,0.0124512,1.26648
0.006,0.98229,-0.624425,-0.357865,0.0825265,-0.0789384,-0.00358811,0.0579435,0.752547,-0.810491,0.697996,-0.699719,0.0017234,0.780522,-0.778658,-0.00186471,1.00003,0.977539,0,-0.0905762,-0.0102539,0.844849,-0.368652,-0.814331,-0.0585938,-0.904907,-0.0688477,0.0114746,-0.0181885,0.000488281,0.00341797,-0.0227051,0.0231934,0.0107422,-0.00366211,0.0112305,-0.000244141,1.2666
0.008,0.779583,0.130281,-0.909864,0.0925733,-0.0487983,-0.0437749,0.282622,0.649491,-0.932114,0.830701,-0.284369,-0.546332,0.923274,-0.333167,-0.590107,0.99885,1.01575,0,-0.0773926,0.00878906,0.799683,-0.491211,-0.819214,0.046875,-0.896606,0.0556641,-0.0455322,-0.000366211,-0.0111084,0.00732422,0.0330811,0.0288086,-0.0247803,-0.0449219,-0.0358887,-0.0375977,1.2666
0.01,0.228617,0.719245,-0.947861,0.0459278,0.0172229,-0.0631507,0.42689,0.538047,-0.964937,0.50497,0.401563,-0.906533,0.550898,0.418786,-0.969683,1.00162,0.983276,0,-0.0787354,0.00158691,0.876953,-0.426514,-0.880981,-0.0253906,-0.959717,-0.0238037,0.00634766,0.0241699,-0.0119629,0.0065918,-0.0292969,-0.00170898,0.0419922,-0.00744629,0.0300293,-0.000854492,1.2666
0.012,-0.501433,0.998308,-0.496876,0.0121996,0.0509512,-0.0631507,0.612546,0.353505,-0.966051,-0.0913427,0.827254,-0.735912,-0.0791431,0.878205,-0.799062,1.00122,0.988525,0,-0.0736084,0.00769043,0.860718,-0.413452,-0.873535,-0.0227051,-0.947144,-0.0150146,-0.00598145,0.00366211,-0.00817871,-0.00585938,-0.0078125,-0.00183105,0.0351562,-0.0114746,0.0269775,-0.017334,1.2666
0.014,-0.948759,0.69843,0.250329,-0.0437749,0.0552569,-0.011482,0.753266,0.118634,-0.8719,-0.680761,0.856553,-0.175791,-0.724536,0.91181,-0.187273,1.00517,1.00232,0,-0.0665283,0.0045166,0.885498,-0.428101,-0.901245,0.0118408,-0.967773,0.0163574,0.0296631,0.0180664,-0.00415039,-0.00842285,0.00170898,-0.0102539,0.0108643,0.0126953,0.00671387,0.00427246,1.2666
0.016,-0.842071,0.00925073,0.832821,-0.0696093,0.0193758,0.0502335,0.837224,0.00718994,-0.844414,-0.849659,0.365371,0.484288,-0.919268,0.384746,0.534522,1.00241,0.982178,0,-0.0671387,-0.00170898,0.888062,-0.408936,-0.889526,-0.0152588,-0.956665,-0.0169678,-0.0262451,-0.0065918,0.0090332,-0.00817871,-0.00476074,0.00158691,0.0323486,0.00695801,0.0413818,-0.0012207,1.2666
0.018,-0.32616,-0.656031,0.982191,-0.0373164,-0.0301401,0.0674565,0.975579,-0.25045,-0.72513,-0.6101,-0.243006,0.853106,-0.647416,-0.273146,0.920562,1.00003,0.993164,0,-0.0615234,-0.00402832,0.872437,-0.433105,-0.860352,-0.00402832,-0.921875,-0.00805664,-0.0157471,0.0189209,0.0065918,-0.00793457,0.0158691,0.0281982,0.0032959,-0.00183105,0.0098877,-0.00976562,1.2666
