t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2282.0,4.94,1180.51,318.689,1.22493,675.258,675.181,-10.167,319.278,0.10637,56.3522,56.3309,-1.55008,731.606,731.512,-11.7171
0.216,12.5,0.0,2281.0,4.95,1182.39,309.317,1.22025,687.689,687.542,-14.2115,309.787,0.112294,59.5562,59.5362,-1.54378,747.245,747.078,-15.7553
0.466,12.5,0.0,2281.0,4.95,1182.39,310.745,1.21265,678.155,678.041,-12.4541,311.211,0.109816,58.1622,58.1353,-1.76934,736.313,736.176,-14.2235
0.716,12.5,0.0,2280.0,4.93,1177.09,312.893,1.23841,684.318,684.162,-14.5939,313.276,0.109388,58.351,58.3303,-1.55298,742.668,742.492,-16.1469
0.966,12.5,0.0,2281.0,4.95,1182.39,315.005,1.23472,676.554,676.49,-9.28215,315.434,0.110226,58.252,58.2219,-1.87215,734.796,734.712,-11.1543
1.216,12.5,0.0,2281.0,4.98,1189.55,311.561,1.23558,682.503,682.426,-10.3093,311.961,0.110474,58.5838,58.5425,-2.20036,741.074,740.968,-12.5097
1.466,12.5,0.0,2281.0,4.94,1180.0,313.517,1.20612,677.995,677.891,-11.8993,313.97,0.111737,59.1252,59.1224,-0.572077,737.119,737.013,-12.4714
1.716,12.5,0.0,2280.0,4.97,1186.64,312.035,1.20539,682.074,681.947,-13.1756,312.522,0.110818,59.0939,59.083,-1.13996,741.168,741.03,-14.3156
1.966,12.5,0.0,2282.0,4.95,1182.9,309.996,1.20931,678.658,678.585,-9.92936,310.417,0.111031,58.9419,58.9149,-1.78239,737.593,737.5,-11.7117
2.216,12.5,0.0,2281.0,4.95,1182.39,310.557,1.22039,682.991,682.866,-13.0426,310.966,0.109761,58.5595,58.5271,-1.9473,741.545,741.394,-14.9899
2.466,12.5,0.0,2279.0,4.99,1190.9,313.529,1.23484,682.153,682.032,-12.8699,313.944,0.110773,57.0921,57.0884,0.647889,739.221,739.12,-12.222
2.669,12.5,0.0,2279.0,5.0,1193.28,309.595,1.2208,686.907,686.757,-14.3466,310.263,0.107047,56.5134,56.5134,0.0230152,743.409,743.271,-14.3236
2.919,12.5,0.0,2280.0,4.99,1191.42,311.392,1.23937,685.775,685.617,-14.7429,311.907,0.110283,57.3278,57.3252,0.544469,743.078,742.942,-14.1984
3.169,12.5,0.0,2279.0,5.0,1193.28,315.412,1.21916,682.937,682.805,-13.3999,316.087,0.106862,56.8061,56.7952,-1.11521,739.743,739.6,-14.5151
3.419,12.5,0.0,2279.0,4.98,1188.51,310.288,1.20529,684.823,684.729,-11.3173,310.968,0.108309,57.8145,57.8125,-0.480644,742.636,742.542,-11.7979
3.669,12.5,0.0,2278.0,5.02,1197.53,309.179,1.21473,684.638,684.526,-12.3727,309.688,0.107977,57.2837,57.2834,-0.183843,741.915,741.809,-12.5565
3.919,12.5,0.0,2280.0,4.94,1179.48,309.148,1.22214,687.552,687.419,-13.5261,309.765,0.107775,57.1396,57.1395,0.0706986,744.68,744.558,-13.4554
4.169,12.5,0.0,2278.0,5.04,1202.3,316.901,1.21577,675.566,675.462,-11.8712,317.567,0.10648,56.5836,56.5699,-1.24596,732.149,732.032,-13.1171
4.419,12.5,0.0,2280.0,4.96,1184.25,311.835,1.19523,683.035,682.905,-13.3447,312.505,0.108421,57.9462,57.941,-0.770401,740.98,740.846,-14.1151
4.669,12.5,0.0,2279.0,5.0,1193.28,309.7,1.21129,686.413,686.292,-12.9025,310.288,0.109757,58.1428,58.1418,-0.337682,744.551,744.434,-13.2401
