t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.693471,-0.273668,0.967138,-0.0681741,-0.00574098,0.0739151,-0.903446,0.662673,0.240773,-0.758316,0.156834,0.601483,-0.82649,0.151093,0.675398,1.00359,0.994385,0,-0.0843506,0.000854492,0.827759,-0.460938,-0.837402,0.0380859,-0.921753,0.0389404,-0.019043,0.0280762,0.0131836,-0.00720215,-0.000976562,0.00366211,0.0296631,0.00744629,0.0428467,0.000244141,1.2666
0.002,-0.00228617,-0.841817,0.844103,-0.0301401,-0.0638684,0.0940085,-0.84905,0.76453,0.0845192,-0.346413,-0.486012,0.832425,-0.376553,-0.54988,0.926433,1.00083,0.994629,0,-0.0893555,-0.000854492,0.823853,-0.452393,-0.830933,0.0194092,-0.920288,0.0185547,0.0148926,-0.00756836,0.0174561,0.00598145,-0.0195312,-0.017334,0.0307617,0.0356445,0.0482178,0.041626,1.26648
0.004,0.656892,-0.978265,0.321373,0.0287049,-0.0918556,0.0631507,-0.691774,0.848413,-0.156639,0.203367,-0.749699,0.546332,0.232072,-0.841555,0.609483,1.00122,1.00916,0,-0.0795898,-0.0114746,0.758179,-0.408325,-0.761963,-0.0214844,-0.841553,-0.032959,0.0168457,0.00170898,0.0112305,-0.00244141,-0.0443115,0.0296631,0.038208,-0.0323486,0.0494385,-0.03479,1.26648
0.006,0.98229,-0.587422,-0.394868,0.0861147,-0.0832442,-0.00287049,-0.58653,0.909528,-0.322998,0.684208,-0.701443,0.0172344,0.770323,-0.784687,0.0143639,0.997269,0.965332,0,-0.0926514,-0.0118408,0.807251,-0.42981,-0.825439,-0.00476074,-0.918091,-0.0166016,0.00170898,-0.0263672,0.00109863,0.00390625,-0.0098877,-0.0118408,0.012085,-0.020752,0.0131836,-0.0168457,1.26648
0.008,0.755959,0.178848,-0.934807,0.0803737,-0.0430573,-0.0373164,-0.478921,1.04014,-0.561224,0.82036,-0.241282,-0.579078,0.900734,-0.28434,-0.616394,0.996084,1.02209,0,-0.0718994,0.00463867,0.808838,-0.505493,-0.840698,0.0527344,-0.912598,0.057373,-0.0477295,0.00732422,-0.0108643,0.0145264,0.0267334,0.0452881,-0.000244141,-0.0509033,-0.0111084,-0.036377,1.26648
0.01,0.174511,0.748539,-0.923049,0.0437749,0.020811,-0.064586,-0.340566,0.943081,-0.602515,0.439479,0.458437,-0.897915,0.483254,0.479248,-0.962501,0.999245,0.97937,0,-0.0769043,0.00646973,0.880493,-0.396973,-0.878906,-0.0452881,-0.955811,-0.0388184,0.00695801,0.0253906,-0.00634766,0.0057373,-0.0241699,-0.0196533,0.0423584,0.00732422,0.0360107,0.0130615,1.2666
0.012,-0.557063,0.988287,-0.431224,0.0193758,0.0459278,-0.0653036,-0.13599,0.908329,-0.772339,-0.15511,0.86,-0.704889,-0.135734,0.905927,-0.770193,0.998454,1.00452,0,-0.059082,0.0117188,0.856812,-0.42334,-0.887207,-0.0174561,-0.946289,-0.0057373,0.0145264,-0.0032959,0.000854492,-0.010376,-0.0273438,-0.0177002,0.0316162,0.00646973,0.0324707,-0.00390625,1.2666
0.014,-0.957142,0.669136,0.288005,-0.0495159,0.0437749,0.00574098,0.0898716,0.788497,-0.878369,-0.663527,0.799679,-0.136152,-0.713043,0.843454,-0.130411,1.00241,0.985596,0,-0.0699463,0.00292969,0.866333,-0.383179,-0.852905,-0.0272217,-0.922852,-0.024292,0.0219727,0.000366211,-0.00610352,-0.0167236,-0.0338135,-0.00561523,0.0534668,0.026001,0.0473633,0.00927734,1.2666
0.016,-0.813113,-0.0547335,0.867847,-0.0688917,0.0172229,0.0516688,0.250694,0.690234,-0.940929,-0.861723,0.384328,0.477395,-0.930615,0.401551,0.529063,1.0028,0.993774,0,-0.0583496,0.0020752,0.852905,-0.485962,-0.862671,0.0668945,-0.921021,0.0689697,-0.0356445,-0.000732422,0.00195312,-0.00549316,0.0203857,0.012085,0.000732422,-0.010498,0.00268555,-0.0159912,1.2666
0.018,-0.288057,-0.68918,0.977237,-0.0272696,-0.0351635,0.0624331,0.44581,0.520072,-0.965883,-0.570461,-0.29988,0.87034,-0.59773,-0.335043,0.932773,0.99964,0.989502,0,-0.0644531,-0.00378418,0.891235,-0.434326,-0.88208,-0.0128174,-0.946533,-0.0166016,-0.00952148,0.0253906,0.0078125,-0.00537109,-0.00500488,-0.00793457,0.0162354,0.0325928,0.0240479,0.0272217,1.2666
