t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,4.98,1189.03,314.199,1.22659,679.381,679.28,-11.7048,314.694,0.113092,58.3192,58.3169,0.517561,737.682,737.597,-11.1872
0.216,12.5,0.0,2278.0,5.01,1195.14,313.993,1.23627,686.454,686.334,-12.8313,314.454,0.114707,59.2073,59.2063,0.336507,745.645,745.541,-12.4948
0.466,12.5,0.0,2280.0,5.0,1193.81,314.621,1.22643,681.671,681.546,-13.0699,315.074,0.113544,58.3956,58.3948,0.304496,740.051,739.941,-12.7654
0.716,12.5,0.0,2279.0,4.99,1190.9,314.476,1.23702,688.702,688.547,-14.6339,314.962,0.115536,58.7626,58.7612,0.399961,747.444,747.308,-14.234
0.966,12.5,0.0,2279.0,5.01,1195.67,313.228,1.22627,682.852,682.72,-13.4003,313.688,0.113909,58.9285,58.9264,0.493209,741.759,741.647,-12.9071
1.216,12.5,0.0,2279.0,5.01,1195.67,314.27,1.23209,683.816,683.671,-14.0973,314.75,0.114957,59.0209,59.0185,0.532576,742.813,742.689,-13.5648
1.466,12.5,0.0,2279.0,4.97,1186.12,314.232,1.23081,683.383,683.249,-13.5454,314.697,0.115856,59.7093,59.7076,0.457816,743.071,742.956,-13.0876
1.732,12.5,0.0,2279.0,5.03,1200.44,313.958,1.2317,682.578,682.452,-13.1599,314.466,0.115593,59.3898,59.3866,0.624075,741.944,741.838,-12.5358
1.982,12.5,0.0,2278.0,5.02,1197.53,313.39,1.23041,684.399,684.256,-13.9917,313.883,0.115473,59.1202,59.1177,0.543311,743.495,743.374,-13.4484
2.232,12.5,0.0,2280.0,4.97,1186.64,313.117,1.22468,679.836,679.71,-13.0956,313.589,0.115857,59.677,59.6768,0.146317,739.5,739.386,-12.9492
2.482,12.5,0.0,2279.0,5.0,1193.28,313.956,1.22922,686.235,686.075,-14.8338,314.43,0.11495,59.1976,59.1964,0.369223,745.412,745.271,-14.4646
2.732,12.5,0.0,2279.0,4.99,1190.9,314.007,1.22674,681.303,681.168,-13.5617,314.482,0.11649,59.7404,59.7362,0.70448,741.015,740.904,-12.8572
2.982,12.5,0.0,2280.0,5.01,1196.19,313.039,1.22062,681.727,681.566,-14.8453,313.492,0.115437,59.6105,59.609,0.423969,741.315,741.175,-14.4214
3.232,12.5,0.0,2280.0,4.98,1189.03,312.724,1.23128,683.461,683.312,-14.3014,313.208,0.115815,59.7925,59.7904,0.505233,743.23,743.102,-13.7961
3.482,12.5,0.0,2279.0,5.0,1193.28,312.43,1.21969,681.555,681.371,-15.8196,312.868,0.115688,59.4847,59.4822,0.545242,741.011,740.853,-15.2744
3.732,12.5,0.0,2280.0,4.97,1186.64,316.398,1.23508,684.141,684.013,-13.2082,316.835,0.115663,59.6203,59.6202,0.0522906,743.75,743.633,-13.1559
3.982,12.5,0.0,2279.0,5.02,1198.05,318.417,1.24711,686.876,686.694,-15.7947,318.884,0.117327,59.595,59.595,0.0866186,746.454,746.289,-15.7081
4.232,12.5,0.0,2279.0,5.0,1193.28,318.439,1.22936,681.738,681.601,-13.6873,318.885,0.116741,59.9762,59.9762,0.0804689,741.702,741.577,-13.6068
4.482,12.5,0.0,2279.0,5.03,1200.44,317.821,1.22454,678.637,678.506,-13.3412,318.289,0.117054,59.8117,59.8116,0.106024,738.437,738.318,-13.2352
4.732,12.5,0.0,2280.0,5.0,1193.81,318.306,1.23153,683.103,682.962,-13.8807,318.815,0.116575,60.2351,60.2348,-0.18034,743.33,743.197,-14.061
