t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.855026,0.0269813,0.828045,-0.070327,0.0294225,0.0409045,-0.484833,-0.515279,1.00011,-0.81519,0.380882,0.434308,-0.885517,0.410304,0.475213,1.00162,0.980591,0,-0.0639648,0.00256348,0.866455,-0.449707,-0.855957,0.0184326,-0.919922,0.0209961,-0.019165,-0.00390625,0.00500488,-0.0020752,-0.0218506,0.029541,0.0405273,-0.0220947,0.0455322,-0.0241699,1.2666
0.002,-0.336067,-0.651406,0.987472,-0.0409045,-0.0229639,0.0638684,-0.656299,-0.376274,1.03257,-0.553226,-0.291262,0.844489,-0.594131,-0.314226,0.908357,0.998454,0.995361,0,-0.0626221,0.000244141,0.899536,-0.440186,-0.872559,-0.0170898,-0.935181,-0.0168457,-0.0211182,0.0230713,0.00646973,-0.00488281,-0.0415039,0.0268555,0.0524902,0.00817871,0.05896,0.0032959,1.2666
0.004,0.377218,-0.99137,0.614153,0.0165053,-0.0767856,0.0602803,-0.760361,-0.196525,0.956886,0.0189579,-0.787615,0.768657,0.0354632,-0.8644,0.828937,1.00162,0.965698,0,-0.085083,-0.0111084,0.9104,-0.422363,-0.874512,-0.0305176,-0.959595,-0.041626,-0.0313721,0.0236816,-0.00292969,0.0133057,-0.0128174,-0.0219727,0.0213623,0.0177002,0.0184326,0.0310059,1.2666
0.006,0.921325,-0.76704,-0.154285,0.0487983,-0.0825265,0.0337282,-0.87743,0.0,0.87743,0.639399,-0.90998,0.270581,0.688197,-0.992506,0.304309,0.995689,1.02917,0,-0.0650635,-0.000854492,0.876099,-0.442017,-0.892334,-0.00769043,-0.957397,-0.00854492,0.0275879,0.0438232,0.00512695,0.0157471,-0.00195312,-0.0198975,-0.010376,0.0202637,-0.00524902,0.0360107,1.2666
0.008,0.944949,-0.183473,-0.761476,0.0803737,-0.0480807,-0.032293,-0.960207,0.234871,0.725335,0.889298,-0.499799,-0.389499,0.969672,-0.54788,-0.421792,0.997269,0.991455,0,-0.0700684,-0.00695801,0.872803,-0.397095,-0.883545,-0.0330811,-0.953613,-0.0400391,0.0107422,-0.00341797,-0.000366211,0.0126953,-0.00524902,-0.0406494,-0.00292969,0.00683594,-0.0032959,0.0195312,1.2666
0.01,0.457233,0.546564,-1.0038,0.0660212,-0.00430573,-0.0617155,-1.00396,0.430198,0.573762,0.71523,0.148216,-0.863447,0.781251,0.143911,-0.925162,1.00083,0.993774,0,-0.0786133,0.00891113,0.886841,-0.428955,-0.928223,-0.0107422,-1.00684,-0.00183105,-0.000610352,0.012207,0.000976562,-0.00378418,0.0361328,0.013916,0.0118408,-0.00695801,0.0128174,-0.0107422,1.2666
0.012,-0.254527,0.962076,-0.70755,0.0179406,0.0466454,-0.064586,-0.980309,0.627922,0.352388,0.177515,0.692825,-0.87034,0.195456,0.739471,-0.934926,1.0028,0.990967,0,-0.0755615,0.00756836,0.894287,-0.432983,-0.886353,0.00463867,-0.961914,0.012207,-0.00817871,0.00512695,-0.00842285,-0.0065918,0.0202637,0.0133057,0.0151367,-0.0356445,0.00671387,-0.0422363,1.2666
0.014,-0.825306,0.837962,-0.0126561,-0.0351635,0.064586,-0.0294225,-0.915271,0.76453,0.15074,-0.470501,0.866893,-0.396393,-0.505664,0.931479,-0.425815,1.00241,0.987305,0,-0.0822754,0.00415039,0.888916,-0.452881,-0.903198,0.0197754,-0.985474,0.0239258,-0.00134277,0.0319824,-0.0202637,-0.0135498,0.0211182,0.0311279,0.00622559,-0.0327148,-0.0140381,-0.0462646,1.2666
0.016,-0.967811,0.290627,0.677183,-0.064586,0.0416221,0.0229639,-0.780463,0.783704,-0.00324017,-0.808296,0.534268,0.274028,-0.872882,0.57589,0.296992,1.00557,0.985229,0,-0.0512695,0.0012207,0.853271,-0.389771,-0.877686,-0.0441895,-0.928955,-0.0429688,0.00292969,0.00793457,-0.00317383,0.00927734,-0.0356445,-0.00732422,0.0731201,-0.00842285,0.0699463,0.000854492,1.2666
0.018,-0.560111,-0.427846,0.987957,-0.0552569,-0.0200934,0.0753503,-0.689409,0.939486,-0.250076,-0.725571,0.015511,0.71006,-0.780828,-0.0045824,0.78541,1.00201,0.964233,0,-0.0794678,-0.00830078,0.830566,-0.477905,-0.825562,0.0510254,-0.905029,0.0427246,0.0114746,0.0247803,0.0178223,-0.00146484,0.0107422,0.0209961,0.0145264,-0.00341797,0.0323486,-0.00488281,1.26648
