t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2279.0,4.98,1188.51,314.944,1.22773,676.786,676.64,-14.0665,315.327,0.115254,58.8344,58.8342,0.166679,735.605,735.474,-13.8998
0.263,12.5,0.0,2280.0,4.98,1189.03,313.305,1.22788,677.841,677.707,-13.4675,313.75,0.112718,58.3086,58.308,0.257168,736.134,736.015,-13.2103
0.513,12.5,0.0,2280.0,4.97,1186.64,308.716,1.19283,674.668,674.522,-14.0164,309.312,0.109554,58.1258,58.1237,-0.490141,732.79,732.646,-14.5065
0.763,12.5,0.0,2279.0,4.98,1188.51,307.799,1.20563,677.9,677.754,-14.0762,308.315,0.110245,58.2005,58.2003,-0.160813,736.092,735.954,-14.237
1.013,12.5,0.0,2280.0,4.99,1191.42,313.168,1.21994,674.183,674.042,-13.8003,313.59,0.113144,58.356,58.3542,0.461599,732.518,732.396,-13.3387
1.263,12.5,0.0,2280.0,4.97,1186.64,315.444,1.22383,676.232,676.072,-14.7048,315.896,0.113781,58.9002,58.8994,0.30625,735.113,734.972,-14.3985
1.513,12.5,0.0,2279.0,4.99,1190.9,308.059,1.19188,673.609,673.469,-13.7103,308.665,0.108493,57.2772,57.2752,-0.47782,730.882,730.744,-14.1881
1.763,12.5,0.0,2280.0,4.98,1189.03,309.557,1.21799,677.003,676.871,-13.3372,310.008,0.111723,58.3833,58.3827,0.272852,735.37,735.254,-13.0644
2.013,12.5,0.0,2280.0,4.98,1189.03,311.506,1.2142,674.071,673.937,-13.4638,311.977,0.112266,58.2057,58.2046,0.356415,732.259,732.142,-13.1073
2.263,12.5,0.0,2279.0,5.0,1193.28,314.781,1.22672,678.042,677.871,-15.2148,315.159,0.114889,59.016,59.0152,0.313379,737.037,736.886,-14.9014
2.513,12.5,0.0,2280.0,4.98,1189.03,308.494,1.18575,672.399,672.277,-12.8163,309.085,0.109459,57.817,57.8167,-0.197856,730.21,730.094,-13.0141
2.763,12.5,0.0,2280.0,4.98,1189.03,308.36,1.20578,677.104,676.972,-13.3684,308.907,0.110155,58.0444,58.0442,0.152679,735.135,735.016,-13.2157
3.013,12.5,0.0,2279.0,4.98,1188.51,311.753,1.21873,674.786,674.628,-14.6177,312.181,0.111949,58.3368,58.3336,0.61341,733.095,732.962,-14.0043
3.263,12.5,0.0,2279.0,4.99,1190.9,311.72,1.22663,679.64,679.46,-15.6295,312.122,0.113083,58.3703,58.3688,0.423627,737.986,737.829,-15.2059
3.513,12.5,0.0,2279.0,4.97,1186.12,309.352,1.18397,673.649,673.516,-13.4012,309.954,0.107569,57.65,57.6472,-0.565289,731.296,731.163,-13.9665
3.763,12.5,0.0,2279.0,5.0,1193.28,308.431,1.20018,675.871,675.723,-14.1753,308.969,0.109168,57.8001,57.8001,-0.0306458,733.66,733.523,-14.206
4.013,12.5,0.0,2279.0,4.98,1188.51,308.811,1.20407,678.835,678.702,-13.4518,309.345,0.11034,57.9719,57.9718,0.12368,736.794,736.674,-13.3281
4.263,12.5,0.0,2279.0,4.95,1181.35,308.22,1.19925,677.969,677.814,-14.4714,308.771,0.10959,57.9668,57.9661,-0.277794,735.928,735.78,-14.7492
4.513,12.5,0.0,2279.0,4.99,1190.9,308.926,1.20937,678.108,677.945,-14.8636,309.407,0.110909,58.2028,58.2016,0.373094,736.289,736.147,-14.4905
4.763,12.5,0.0,2279.0,4.98,1188.51,311.377,1.19809,673.476,673.375,-11.6518,312.035,0.107168,57.3077,57.3042,-0.637406,730.782,730.679,-12.2892
5.013,12.5,0.0,2279.0,4.97,1186.12,307.053,1.19777,677.21,677.073,-13.6563,307.634,0.107828,57.6413,57.64,-0.374493,734.847,734.713,-14.0308
5.263,12.5,0.0,2260.0,5.37,1270.9,309.067,1.22449,666.523,666.446,-10.1033,309.614,0.107545,52.9724,52.9609,1.1037,719.464,719.407,-8.99958
5.513,12.5,0.96,2323.0,3.69,897.644,137.432,1.95799,457.75,178.847,421.366,136.129,0.581968,123.69,-60.0426,108.139,542.669,118.805,529.505
5.763,12.5,3.2,2365.0,3.55,879.201,133.948,1.93754,434.431,174.64,397.782,132.801,0.597449,117.817,-59.3063,101.802,512.724,115.334,499.584
6.013,12.5,4.96,2349.0,5.29,1301.27,303.339,1.59154,790.508,790.501,-3.39211,303.793,0.20511,109.336,109.264,-3.96606,899.795,899.765,-7.35817
6.263,12.5,5.6,2325.0,5.36,1305.02,318.277,1.39133,768.073,768.06,-4.38025,318.793,0.175151,95.2141,95.1918,-2.05929,863.276,863.252,-6.43954
6.513,12.5,5.92,2302.0,5.35,1289.7,312.134,1.32294,749.693,749.653,-7.67943,312.72,0.147545,80.5686,80.5662,-0.617798,830.261,830.22,-8.29723
6.763,12.5,5.6,2282.0,5.34,1276.1,312.685,1.31384,744.491,744.461,-6.69506,313.358,0.130163,70.683,70.6805,-0.589473,815.174,815.142,-7.28453
7.013,12.5,5.28,2275.0,4.05,964.862,310.485,1.16359,654.553,654.551,-1.52544,311.152,0.102115,54.1564,54.1529,-0.614528,708.707,708.704,-2.13997
7.263,12.5,5.12,2277.0,4.79,1142.16,309.296,1.0161,568.703,568.703,0.374194,310.003,0.0773357,40.3226,40.322,-0.215283,609.025,609.025,0.158911
7.513,12.5,4.96,2275.0,4.74,1129.25,310.961,1.12901,636.343,636.324,-4.83964,311.596,0.0973332,51.6801,51.6771,-0.560525,688.022,688.001,-5.40017
7.763,12.5,4.8,2277.0,4.5,1073.01,311.2,1.05497,591.097,591.096,-0.736843,311.876,0.09156,47.2237,47.215,-0.907405,638.313,638.311,-1.64425
7.966,12.5,4.64,2278.0,4.65,1109.26,311.405,1.11472,626.789,626.746,-7.37257,312.094,0.0959969,50.5904,50.5839,-0.814678,677.379,677.33,-8.18725
8.216,12.5,4.32,2277.0,4.63,1104.01,311.674,1.09835,614.489,614.417,-9.42809,312.334,0.0921238,48.5449,48.5415,-0.578568,663.034,662.958,-10.0067
8.466,12.5,4.16,2278.0,4.68,1116.42,312.585,1.11576,625.845,625.782,-8.90064,313.264,0.0954715,50.7248,50.7173,-0.870917,676.569,676.499,-9.77156
8.716,12.5,4.0,2278.0,4.65,1109.26,313.003,1.11143,622.479,622.425,-8.19796,313.643,0.0947454,49.6744,49.6646,-0.986805,672.152,672.089,-9.18477
8.966,12.5,3.84,2279.0,4.65,1109.75,311.468,1.11227,624.733,624.686,-7.66462,312.104,0.0939393,49.7345,49.7327,-0.428676,674.468,674.419,-8.09329
9.216,12.5,3.68,2280.0,4.66,1112.63,313.337,1.11925,623.253,623.186,-9.12142,313.956,0.0939307,49.8347,49.8245,-1.00653,673.087,673.011,-10.128
9.466,12.5,3.52,2281.0,4.74,1132.22,313.404,1.13537,633.899,633.821,-9.91015,314.03,0.0980518,51.445,51.4359,-0.968701,685.343,685.257,-10.8788
9.716,12.5,3.36,2280.0,4.7,1122.18,313.544,1.12798,626.685,626.608,-9.81349,314.199,0.0973293,51.4941,51.4815,-1.14086,678.178,678.09,-10.9543
9.966,12.5,3.2,2280.0,4.76,1136.5,312.461,1.13328,632.266,632.185,-10.1222,313.126,0.100254,52.5008,52.4938,-0.857559,684.766,684.678,-10.9798
10.216,12.5,3.04,2281.0,4.75,1134.61,313.302,1.13216,630.618,630.545,-9.54914,313.937,0.0992463,52.3343,52.3222,-1.12452,682.951,682.868,-10.6737
10.466,12.5,2.88,2280.0,4.8,1146.05,314.587,1.14617,636.313,636.235,-9.94655,315.236,0.103502,54.0943,54.0798,-1.2521,690.406,690.315,-11.1986
10.716,12.5,2.72,2280.0,4.76,1136.5,314.647,1.13663,630.984,630.912,-9.5532,315.302,0.101767,53.2049,53.1911,-1.20969,684.188,684.103,-10.7629
10.966,12.5,2.56,2280.0,4.77,1138.89,314.34,1.14766,636.968,636.882,-10.4561,315.016,0.103734,54.1901,54.179,-1.09628,691.157,691.061,-11.5524
11.216,12.5,2.4,2281.0,4.84,1156.11,315.058,1.15316,641.9,641.789,-11.9815,315.605,0.0998827,52.5726,52.5599,-1.15913,694.473,694.348,-13.1407
