t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.93047,0.170368,0.760102,-0.0602803,0.020811,0.0394692,-0.502571,0.916718,-0.414146,-0.823807,0.498076,0.325731,-0.884088,0.518887,0.365201,1.00359,0.988892,0,-0.055542,0.000366211,0.873169,-0.454468,-0.872925,0.0235596,-0.928467,0.0239258,0.0020752,0.0101318,0.00732422,-0.000854492,-0.0146484,0.0218506,0.0407715,-0.0140381,0.0480957,-0.0148926,1.26587
0.002,-0.448089,-0.564295,1.01238,-0.053104,-0.0200934,0.0731975,-0.333471,0.935891,-0.60242,-0.634228,-0.132705,0.766934,-0.687332,-0.152799,0.840131,1.00241,0.994141,0,-0.0675049,0.00744629,0.870361,-0.401001,-0.862427,0.0045166,-0.929932,0.0119629,-0.0112305,0.0170898,0.0163574,-0.0134277,-0.019165,-0.0458984,0.0408936,0.0269775,0.057251,0.0135498,1.26587
0.004,0.263671,-0.975952,0.712281,0.00502335,-0.0674565,0.0624331,-0.143085,0.880768,-0.737683,-0.10513,-0.653186,0.758316,-0.100107,-0.720643,0.820749,1.00122,0.993164,0,-0.0697021,-0.0124512,0.821777,-0.445801,-0.807617,0.00866699,-0.877319,-0.00378418,-0.0168457,-0.00158691,0.00219727,0.00012207,-0.0283203,-0.00012207,0.0268555,0.000854492,0.0290527,0.000976562,1.26587
0.006,0.836737,-0.838733,0.00199612,0.0552569,-0.0904204,0.0351635,0.0378407,0.794489,-0.832329,0.494629,-0.823807,0.329178,0.549886,-0.914228,0.364342,1.00043,0.998657,0,-0.0841064,-0.00842285,0.814697,-0.44458,-0.828857,-0.00537109,-0.912964,-0.0137939,-0.000854492,0.0367432,-0.0126953,0.00524902,-0.00500488,-0.0155029,-0.00744629,0.0115967,-0.0201416,0.0168457,1.26587
0.008,0.983052,-0.304503,-0.678548,0.0746327,-0.0602803,-0.0143524,0.255424,0.689036,-0.944461,0.828978,-0.577354,-0.251623,0.90361,-0.637635,-0.265976,0.99964,1.00598,0,-0.0646973,-0.00793457,0.840942,-0.450439,-0.825195,-0.00109863,-0.889893,-0.0090332,0.0117188,0.00964355,-0.00561523,0.020752,0.0158691,-0.00744629,-0.0172119,0.0098877,-0.0228271,0.0306396,1.26587
0.01,0.579924,0.416283,-0.996207,0.0724798,-0.0100467,-0.0624331,0.428072,0.553626,-0.981698,0.744529,0.031022,-0.775551,0.817009,0.0209753,-0.837984,1.00122,0.9729,0,-0.0856934,-0.00183105,0.853638,-0.398071,-0.874756,-0.0222168,-0.960449,-0.0240479,0.0290527,0.0196533,-0.00109863,0.00537109,0.0136719,-0.0435791,0.0142822,-0.000976562,0.0131836,0.00439453,1.26587
0.012,-0.175273,0.932011,-0.756739,0.0430573,0.0186582,-0.0617155,0.593625,0.359497,-0.953122,0.258517,0.60493,-0.863447,0.301574,0.623588,-0.925162,1.00399,1.03406,0,-0.0604248,0.0163574,0.845215,-0.476685,-0.855713,0.0129395,-0.916138,0.0292969,0.0230713,-0.0372314,-0.00549316,-0.0213623,-0.0229492,0.00622559,0.0230713,-0.026123,0.0175781,-0.0474854,1.26587
0.014,-0.751387,0.90503,-0.153643,-0.0358811,0.0609979,-0.0251168,0.711877,0.188137,-0.900014,-0.387775,0.861723,-0.473948,-0.423657,0.922721,-0.499064,1.00557,0.980591,0,-0.0844727,0.00512695,0.86499,-0.43103,-0.876465,-0.00915527,-0.960938,-0.00402832,-0.0118408,0.0175781,-0.0245361,-0.0134277,0.0153809,0.0113525,0.00366211,-0.013916,-0.020874,-0.0273438,1.26587
0.016,-0.989148,0.401636,0.587512,-0.0545393,0.0495159,0.00502335,0.820669,0.0311564,-0.851826,-0.777274,0.608376,0.168898,-0.831814,0.657892,0.173921,1.00596,0.993164,0,-0.0500488,0.0124512,0.845459,-0.358521,-0.857666,-0.0217285,-0.907715,-0.00927734,0.00708008,0.013916,-0.00427246,0.0115967,-0.0523682,-0.00183105,0.0321045,-0.00219727,0.027832,0.00939941,1.26587
0.018,-0.667561,-0.316838,0.984398,-0.0523864,-0.0121996,0.064586,0.940104,-0.231276,-0.708827,-0.77038,0.139599,0.630781,-0.822767,0.1274,0.695367,1.00557,0.97937,0,-0.0673828,-0.00891113,0.832642,-0.462891,-0.808105,0.0281982,-0.875488,0.0192871,0.0045166,0.032959,0.0123291,0.00622559,0.0157471,0.00878906,-0.0090332,0.0181885,0.0032959,0.0244141,1.26587
0.02,0.068585,-0.888841,0.820256,-0.026552,-0.0552569,0.0818089,0.959024,-0.394248,-0.564776,-0.332625,-0.501523,0.834148,-0.359177,-0.55678,0.915957,0.998059,1.01697,0,-0.0723877,0.00280762,0.829834,-0.488647,-0.840332,0.0511475,-0.91272,0.0539551,0.0198975,-0.0268555,0.020752,0.00317383,-0.0090332,-0.00268555,0.0202637,0.0252686,0.0410156,0.0284424,1.26587
0.022,0.698805,-0.977494,0.278689,0.0358811,-0.0818089,0.0459278,0.931826,-0.532056,-0.39977,0.29988,-0.808296,0.508417,0.335761,-0.890105,0.554344,1.00003,1.005,0,-0.0697021,-0.0206299,0.819092,-0.454834,-0.8302,0.00231934,-0.899902,-0.0183105,-0.000854492,-0.00561523,0.00500488,-0.00585938,-0.020752,-0.00537109,-0.00500488,0.0167236,0.0,0.0108643,1.26587
0.024,0.991434,-0.535001,-0.456434,0.0789384,-0.0760679,-0.00287049,0.931826,-0.667466,-0.26436,0.791062,-0.697996,-0.0930661,0.87,-0.774064,-0.0959366,0.999245,0.973755,0,-0.0817871,-0.00622559,0.838135,-0.436157,-0.86145,-0.020752,-0.943237,-0.0269775,-0.00317383,-0.0200195,-0.00524902,0.00683594,0.00854492,-0.00244141,-0.022583,-0.0241699,-0.027832,-0.017334,1.26587
0.026,0.733098,0.22433,-0.957428,0.0803737,-0.0315754,-0.0487983,0.850232,-0.776514,-0.0737185,0.804849,-0.156834,-0.648016,0.885223,-0.188409,-0.696814,1.00162,1.02014,0,-0.0814209,0.00793457,0.812744,-0.395996,-0.836182,-0.0292969,-0.917603,-0.0213623,-0.0313721,0.0150146,-0.00671387,0.00158691,0.0202637,-0.0224609,-0.00793457,-0.00939941,-0.0146484,-0.0078125,1.26587
