t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.94,1180.0,316.639,1.23426,691.641,691.433,-16.9719,317.146,0.112903,57.3505,57.3401,-1.09184,748.991,748.773,-18.0637
0.231,12.5,0.0,2281.0,4.95,1182.39,316.147,1.21738,686.424,686.281,-14.0141,316.737,0.112203,57.4929,57.4831,-1.06425,743.917,743.764,-15.0784
0.481,12.5,0.0,2281.0,4.93,1177.61,315.933,1.21598,685.525,685.373,-14.4574,316.49,0.113555,58.1972,58.1885,-1.00658,743.722,743.561,-15.464
0.731,12.5,0.0,2282.0,4.96,1185.29,315.674,1.22005,687.299,687.106,-16.276,316.162,0.111041,57.4082,57.4016,-0.867617,744.705,744.507,-17.1436
0.981,12.5,0.0,2282.0,4.91,1173.35,315.43,1.21646,687.234,687.093,-13.9491,315.886,0.111819,57.3858,57.3775,-0.975568,744.62,744.47,-14.9247
1.231,12.5,0.0,2282.0,4.95,1182.9,314.979,1.21127,685.271,685.113,-14.7034,315.518,0.111075,57.5648,57.5554,-1.04389,742.835,742.668,-15.7473
1.481,12.5,0.0,2281.0,4.94,1180.0,315.681,1.2116,684.811,684.64,-15.3101,316.219,0.111161,56.879,56.8775,-0.40269,741.684,741.518,-15.7128
1.731,12.5,0.0,2280.0,4.99,1191.42,314.985,1.21252,687.132,686.979,-14.468,315.525,0.111095,57.4285,57.4158,-1.20851,744.56,744.395,-15.6765
1.981,12.5,0.0,2280.0,4.96,1184.25,312.462,1.21115,684.6,684.445,-14.5641,312.924,0.110162,57.5702,57.552,-1.44626,742.17,741.997,-16.0103
2.231,12.5,0.0,2281.0,4.95,1182.39,311.888,1.22283,689.129,688.894,-17.9766,312.42,0.110284,57.9617,57.9412,-1.54399,747.091,746.836,-19.5206
2.481,12.5,0.0,2279.0,5.03,1200.44,319.231,1.2366,685.348,685.169,-15.6333,319.764,0.113606,56.8577,56.8567,0.341715,742.184,742.026,-15.2916
2.684,12.5,0.0,2278.0,5.03,1199.91,319.623,1.23144,685.152,685.037,-12.5825,320.162,0.113438,57.4383,57.4378,-0.242552,742.585,742.474,-12.8251
2.934,12.5,0.0,2280.0,4.99,1191.42,319.642,1.23577,686.213,686.075,-13.7614,320.165,0.113736,57.9363,57.9337,-0.55169,744.147,744.009,-14.3131
3.184,12.5,0.0,2278.0,5.01,1195.14,317.316,1.21876,686.37,686.202,-15.1799,317.851,0.11317,57.4635,57.4569,-0.869844,743.832,743.659,-16.0497
3.434,12.5,0.0,2279.0,5.03,1200.44,316.728,1.21884,686.683,686.453,-17.7852,317.27,0.111183,57.1498,57.1452,-0.721428,743.828,743.598,-18.5066
3.684,12.5,0.0,2278.0,4.99,1190.37,317.174,1.22239,688.386,688.195,-16.2094,317.75,0.111557,56.7678,56.76,-0.943698,745.153,744.955,-17.1531
3.934,12.5,0.0,2279.0,5.01,1195.67,317.563,1.23233,692.091,691.869,-17.4995,318.082,0.110921,56.9966,56.9895,-0.904528,749.085,748.859,-18.404
4.184,12.5,0.0,2279.0,5.02,1198.05,317.117,1.21603,684.215,684.029,-15.967,317.623,0.111841,57.1591,57.1554,-0.652346,741.371,741.184,-16.6193
4.434,12.5,0.0,2280.0,4.98,1189.03,316.686,1.22653,690.465,690.234,-17.8579,317.214,0.111394,56.9791,56.9762,-0.574051,747.437,747.21,-18.432
4.684,12.5,0.0,2278.0,5.07,1209.46,317.072,1.21746,685.895,685.748,-14.1848,317.588,0.112741,57.6393,57.6323,-0.895127,743.533,743.38,-15.0799
4.934,12.5,0.0,2280.0,4.96,1184.25,314.972,1.21283,685.675,685.493,-15.831,315.493,0.110319,57.259,57.2478,-1.13145,742.934,742.74,-16.9624
5.184,12.5,0.0,2279.0,4.97,1186.12,314.029,1.22633,690.799,690.566,-17.9601,314.565,0.109441,56.9785,56.9626,-1.34561,747.778,747.528,-19.3057
5.434,12.5,0.0,2281.0,4.96,1184.77,314.509,1.20056,682.259,682.105,-14.4812,315.005,0.110497,57.7467,57.7326,-1.27744,740.005,739.837,-15.7586
5.684,12.5,0.16,2290.0,4.66,1117.51,247.778,1.41388,546.365,518.762,171.468,248.641,0.507,187.042,12.8785,186.598,640.978,531.64,358.066
5.934,12.5,0.48,2303.0,4.7,1133.5,248.163,1.41832,553.971,526.547,172.142,249.043,0.504343,186.917,16.574,186.18,650.673,543.121,358.322
6.184,12.5,0.48,2286.0,5.45,1304.67,315.566,1.36708,777.906,777.906,-0.472756,316.076,0.135645,73.5037,73.4639,-2.41891,851.375,851.37,-2.89167
6.434,12.5,0.16,2280.0,5.02,1198.58,314.248,1.35223,773.404,773.402,-1.57605,314.802,0.120831,65.5167,65.516,-0.290698,838.92,838.918,-1.86675
6.684,12.5,0.0,2281.0,4.81,1148.94,318.18,1.13922,637.97,637.97,0.353351,318.74,0.0965193,48.2988,48.2976,-0.338744,686.268,686.268,0.0146067
6.934,12.5,0.0,2281.0,5.02,1199.11,319.638,1.23924,694.495,694.48,-4.60448,320.209,0.114455,58.0054,58.0039,-0.418346,752.501,752.484,-5.02283
7.184,12.5,0.0,2281.0,5.01,1196.72,319.399,1.23705,692.4,692.38,-5.18403,319.934,0.11112,56.7763,56.7752,-0.347536,749.176,749.156,-5.53156
