t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.957904,0.24129,0.716614,-0.0688917,0.0279873,0.0409045,-0.638561,0.921511,-0.28295,-0.822084,0.525651,0.296433,-0.890976,0.553638,0.337337,1.00478,0.980469,0,-0.0615234,-0.0101318,0.841553,-0.459106,-0.851562,0.00964355,-0.913086,-0.000488281,0.0098877,0.000732422,0.00561523,-0.000244141,-0.00170898,-0.000488281,0.0418701,-0.00305176,0.0474854,-0.0032959,1.26587
0.002,-0.502957,-0.498769,1.00173,-0.0581274,-0.0200934,0.0782208,-0.503754,0.958659,-0.454905,-0.679038,-0.0913426,0.77038,-0.737165,-0.111436,0.848601,1.00003,0.979492,0,-0.0770264,-0.00134277,0.890503,-0.428467,-0.862183,0.0115967,-0.939209,0.0102539,0.000610352,0.0230713,0.0145264,-0.0115967,-0.0405273,-0.0214844,0.0404053,0.012207,0.0549316,0.000610352,1.26587
0.004,0.230903,-0.960535,0.729632,-0.0100467,-0.0710446,0.0810913,-0.320463,0.945477,-0.625014,-0.187856,-0.625611,0.813467,-0.197902,-0.696656,0.894558,0.998454,1.01123,0,-0.0744629,-0.00158691,0.873535,-0.411377,-0.822632,0.0155029,-0.897095,0.013916,-0.00317383,-0.0181885,0.0152588,-0.00756836,0.0435791,-0.0268555,0.0180664,0.000610352,0.0333252,-0.00695801,1.26587
0.006,0.794062,-0.886529,0.0924667,0.0581274,-0.0925733,0.0344459,-0.15491,0.883165,-0.728254,0.46016,-0.839318,0.379158,0.518288,-0.931892,0.413604,1.00003,0.983765,0,-0.10083,-0.0142822,0.843506,-0.445923,-0.859497,-0.0102539,-0.960327,-0.0245361,-0.0141602,0.019043,-0.0146484,-0.00537109,0.00488281,0.0078125,-0.0209961,-0.0148926,-0.0356445,-0.0202637,1.26587
0.008,0.991434,-0.360779,-0.630656,0.0775032,-0.0674565,-0.0100467,0.0461183,0.77172,-0.817839,0.778998,-0.568737,-0.21026,0.856501,-0.636194,-0.220307,0.998454,0.994629,0,-0.0634766,-0.00256348,0.827271,-0.426025,-0.823975,-0.0493164,-0.887451,-0.0518799,0.00549316,0.000854492,-0.0020752,0.0275879,0.0231934,-0.0107422,0.0155029,0.0145264,0.0134277,0.0421143,1.26575
0.01,0.63022,0.359237,-0.989457,0.0667389,-0.0136348,-0.053104,0.251877,0.707011,-0.958888,0.784168,-0.0448096,-0.739358,0.850907,-0.0584444,-0.792462,0.99964,0.974731,0,-0.0819092,-0.00378418,0.882324,-0.430054,-0.858643,0.0146484,-0.940552,0.0108643,0.0158691,0.0209961,0.00231934,0.0158691,-0.0170898,0.0012207,0.00720215,-0.0378418,0.00952148,-0.0219727,1.26575
0.012,-0.11507,0.898863,-0.783793,0.0437749,0.0236815,-0.0674565,0.458818,0.532056,-0.990874,0.336072,0.56529,-0.901362,0.379847,0.588972,-0.968819,1.00122,1.01758,0,-0.0615234,0.0253906,0.839355,-0.49353,-0.853882,0.0429688,-0.915405,0.0683594,0.0196533,-0.02771,0.00341797,-0.0111084,-0.0267334,0.0098877,0.0388184,-0.0203857,0.0422363,-0.0314941,1.26587
0.014,-0.713284,0.93895,-0.225665,-0.0258344,0.0638684,-0.038034,0.59126,0.341522,-0.932782,-0.31022,0.834148,-0.523928,-0.336055,0.898016,-0.561962,1.00399,0.983276,0,-0.0722656,0.00769043,0.849731,-0.440063,-0.863525,-0.00683594,-0.935791,0.000854492,-0.00488281,0.00744629,-0.0111084,-0.00622559,0.00476074,0.0218506,0.00708008,-0.0361328,-0.00402832,-0.0423584,1.26587
0.016,-0.989148,0.466391,0.522757,-0.070327,0.053104,0.0172229,0.700052,0.278011,-0.978063,-0.761763,0.666974,0.0947896,-0.83209,0.720078,0.112013,1.00359,0.974731,0,-0.0743408,0.00476074,0.871216,-0.408081,-0.878418,0.0032959,-0.952759,0.00805664,0.00561523,-0.00427246,-0.0108643,-0.00939941,-0.0250244,0.0384521,0.0166016,-0.0327148,0.0057373,-0.0421143,1.26587
0.018,-0.690422,-0.279835,0.970257,-0.0631507,-0.00358811,0.0667389,0.789924,0.044338,-0.834262,-0.782445,0.0947895,0.687655,-0.845595,0.0912014,0.754394,1.0028,1.00195,0,-0.0701904,-0.00671387,0.869263,-0.431763,-0.844849,-0.00561523,-0.915039,-0.0123291,-0.0285645,0.0234375,0.00354004,-0.000732422,-0.0301514,0.032959,0.0321045,-0.00585938,0.0356445,-0.0065918,1.26575
