t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2283.0,4.97,1188.2,318.053,1.24268,684.357,684.237,-12.8317,318.411,0.116829,59.7187,59.7184,-0.187953,744.069,743.956,-13.0197
0.246,12.5,0.0,2281.0,4.97,1187.16,317.599,1.24515,689.934,689.771,-14.9572,318.057,0.118139,59.578,59.5779,0.103007,749.496,749.349,-14.8542
0.496,12.5,0.0,2282.0,5.0,1194.85,309.967,1.21685,685.867,685.695,-15.3648,310.422,0.109031,57.2802,57.2797,0.241796,743.129,742.975,-15.123
0.746,12.5,0.0,2279.0,5.01,1195.67,313.43,1.23806,685.329,685.13,-16.5367,313.847,0.112824,58.121,58.1198,0.388235,743.425,743.249,-16.1484
0.996,12.5,0.0,2282.0,4.99,1192.46,317.71,1.23946,682.719,682.572,-14.1716,318.168,0.116391,59.2445,59.2441,0.207568,741.948,741.816,-13.9641
1.246,12.5,0.0,2282.0,4.96,1185.29,317.206,1.24491,689.971,689.81,-14.9213,317.586,0.115965,59.2481,59.2481,0.0847538,749.205,749.058,-14.8365
1.496,12.5,0.0,2283.0,4.94,1181.03,309.573,1.21288,683.99,683.781,-16.9197,310.131,0.109985,58.0029,58.0029,-0.0523033,741.978,741.784,-16.972
1.746,12.5,0.0,2279.0,5.03,1200.44,311.537,1.23044,687.937,687.82,-12.6596,311.981,0.114028,58.5009,58.5002,0.29531,746.423,746.321,-12.3643
1.996,12.5,0.0,2280.0,5.0,1193.81,314.409,1.24102,688.032,687.842,-16.1468,314.829,0.113734,57.8909,57.8872,0.657989,745.89,745.729,-15.4888
2.246,12.5,0.0,2282.0,4.96,1185.29,314.453,1.2449,684.994,684.813,-15.7154,314.827,0.115436,59.0001,58.9996,0.242082,743.974,743.813,-15.4733
2.496,12.5,0.0,2282.0,4.99,1192.46,314.876,1.23462,684.747,684.589,-14.6753,315.309,0.114538,58.8028,58.8008,0.490266,743.525,743.39,-14.185
2.746,12.5,0.0,2282.0,4.97,1187.68,314.581,1.24076,687.777,687.606,-15.3233,315.005,0.115246,58.6394,58.6383,0.35315,746.394,746.244,-14.9701
2.996,12.5,0.0,2282.0,4.97,1187.68,311.94,1.20781,687.452,687.351,-11.8017,312.577,0.106611,57.2274,57.2248,-0.553115,744.678,744.575,-12.3548
3.246,12.5,0.0,2282.0,4.99,1192.46,309.83,1.21077,689.385,689.244,-13.9571,310.42,0.109428,57.614,57.6139,-0.0731074,746.989,746.858,-14.0302
3.496,12.5,0.0,2282.0,4.99,1192.46,310.575,1.21397,688.403,688.243,-14.8243,311.172,0.109577,58.4781,58.4776,-0.24978,746.873,746.72,-15.0741
3.746,12.5,0.0,2281.0,4.97,1187.16,310.285,1.21403,684.279,684.071,-16.8696,310.828,0.109092,57.0939,57.0929,0.326225,741.349,741.164,-16.5434
3.996,12.5,0.0,2282.0,4.96,1185.29,311.066,1.23117,690.769,690.584,-16.0057,311.532,0.11314,58.4066,58.4059,0.299703,749.154,748.99,-15.706
4.246,12.5,0.0,2282.0,4.96,1185.29,314.17,1.21142,684.433,684.314,-12.7431,314.811,0.108198,57.6017,57.5959,-0.819866,742.034,741.91,-13.563
4.496,12.5,0.0,2282.0,4.98,1190.07,309.074,1.20343,687.171,686.984,-16.0345,309.683,0.109306,58.4016,58.4015,-0.109603,745.56,745.386,-16.1441
4.746,12.5,0.0,2281.0,4.97,1187.16,309.993,1.21485,683.739,683.6,-13.7456,310.474,0.112353,58.6986,58.6985,-0.0750798,742.428,742.299,-13.8207
4.996,12.5,0.0,2282.0,4.96,1185.29,311.956,1.22925,682.315,682.213,-11.8235,312.422,0.113731,59.1248,59.1229,0.469463,741.423,741.336,-11.3541
5.246,12.5,0.0,2281.0,4.96,1184.77,312.067,1.20523,683.225,683.107,-12.6712,312.754,0.110047,58.2316,58.2266,-0.767826,741.456,741.334,-13.439
5.496,12.5,0.0,2286.0,4.72,1129.92,236.908,1.31703,552.618,552.07,24.5913,236.847,0.540827,206.912,21.9976,205.739,618.552,574.068,230.331
5.746,12.5,0.16,2294.0,4.74,1138.68,241.498,1.41315,593.985,592.541,41.3981,241.369,0.505355,198.652,20.8208,197.558,658.265,613.362,238.956
5.996,12.5,0.48,2298.0,5.33,1282.64,295.535,1.49458,741.656,741.621,7.177,295.981,0.282505,69.5737,58.3638,37.8703,801.252,799.985,45.0473
6.246,12.5,0.0,2279.0,5.19,1238.63,300.696,1.59151,766.308,766.304,2.55468,301.123,0.124957,68.1728,68.1692,-0.703902,834.475,834.473,1.85078
6.496,12.5,0.0,2280.0,4.79,1143.67,297.625,1.28636,620.655,620.651,2.40183,298.041,0.0978286,50.6662,50.6654,-0.279549,671.32,671.316,2.12228
