t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.975431,0.477184,0.498248,-0.0674565,0.0566921,0.0107643,0.444628,0.512883,-0.95751,-0.756593,0.684208,0.0723848,-0.824049,0.7409,0.0831491,1.0032,0.961426,0,-0.0751953,0.00439453,0.890625,-0.462891,-0.899414,0.0218506,-0.974609,0.0262451,0.00183105,-0.00817871,-0.0078125,-0.00964355,0.00146484,0.0373535,0.0162354,-0.0463867,0.00842285,-0.0560303,1.26587
0.002,-0.698043,-0.259021,0.957064,-0.0602803,0.00287049,0.0574098,0.594808,0.359497,-0.954305,-0.791062,0.162004,0.629058,-0.851342,0.164874,0.686468,1.00201,0.995361,0,-0.0615234,0.00012207,0.872192,-0.474121,-0.851807,0.0192871,-0.91333,0.0194092,-0.027832,0.0258789,-0.00195312,-0.000610352,-0.00866699,0.0300293,0.0209961,-0.00109863,0.019043,-0.00170898,1.26587
0.004,-0.0365787,-0.822544,0.859123,-0.0272696,-0.0581274,0.085397,0.711877,0.186938,-0.898816,-0.365371,-0.484288,0.849659,-0.39264,-0.542416,0.935056,1.00003,0.980225,0,-0.083252,-0.00305176,0.878662,-0.44104,-0.853516,-0.0185547,-0.936768,-0.0216064,0.0101318,0.0065918,0.0140381,0.00549316,-0.024292,-0.0306396,0.0109863,0.0206299,0.0250244,0.026123,1.26587
0.006,0.643937,-0.984432,0.340495,0.0229639,-0.0904204,0.0674565,0.811209,-0.00119832,-0.810011,0.25507,-0.82036,0.56529,0.278034,-0.910781,0.632747,1.00122,1.00879,0,-0.0753174,-0.00732422,0.862427,-0.444458,-0.855713,-0.0231934,-0.93103,-0.0305176,0.0175781,-0.00463867,0.0128174,-0.000366211,0.0126953,-0.0233154,0.00561523,-0.000366211,0.0184326,-0.000732422,1.26575
0.008,0.971621,-0.60361,-0.368011,0.0846794,-0.0810913,-0.00358811,0.931826,-0.226483,-0.705343,0.716954,-0.749699,0.0327454,0.801633,-0.83079,0.0291573,0.99964,0.953979,0,-0.09375,-0.00891113,0.775146,-0.445679,-0.820068,-0.000244141,-0.913818,-0.00915527,-0.00231934,-0.0308838,-0.00292969,0.000732422,-0.0285645,-0.0461426,0.0107422,0.019165,0.0078125,0.0198975,1.26575
0.01,0.762818,0.155721,-0.918538,0.0882675,-0.0487983,-0.0394692,0.967302,-0.401438,-0.565863,0.811743,-0.268858,-0.542886,0.900011,-0.317656,-0.582355,0.998059,1.01196,0,-0.076416,0.00793457,0.834106,-0.478882,-0.835327,0.0289307,-0.911743,0.0368652,-0.043335,0.00634766,-0.0112305,0.00805664,-0.000244141,0.0328369,0.000976562,-0.0172119,-0.0102539,-0.00915527,1.26587
0.012,0.198897,0.733121,-0.932017,0.0459278,0.0243992,-0.070327,0.940104,-0.517676,-0.422428,0.458437,0.418797,-0.877234,0.504365,0.443197,-0.947561,1.00043,0.974731,0,-0.0861816,0.00439453,0.877197,-0.399536,-0.877686,-0.0423584,-0.963867,-0.0379639,0.0020752,0.0290527,-0.00415039,0.00708008,-0.0169678,-0.019165,0.0325928,0.0164795,0.0284424,0.0235596,1.26587
0.014,-0.534201,0.984432,-0.450231,0.011482,0.053104,-0.064586,0.921183,-0.701019,-0.220164,-0.170621,0.81519,-0.644569,-0.159139,0.868294,-0.709155,1.00162,0.994263,0,-0.0716553,0.0078125,0.873657,-0.439209,-0.873413,-0.0168457,-0.945068,-0.0090332,0.0106201,-0.00158691,-0.00439453,-0.0109863,-0.000244141,-0.0214844,0.0184326,0.00378418,0.0140381,-0.00720215,1.26587
0.016,-0.946473,0.675304,0.27117,-0.0495159,0.0559745,-0.0064586,0.850232,-0.796885,-0.053347,-0.677314,0.797956,-0.120641,-0.72683,0.85393,-0.1271,1.00201,0.986572,0,-0.0704346,0.00305176,0.805542,-0.404663,-0.865845,-0.0224609,-0.936279,-0.0194092,0.0244141,0.00952148,-0.000244141,-0.00915527,-0.0490723,-0.0206299,0.0181885,-0.00915527,0.0179443,-0.0183105,1.26575
0.018,-0.82302,-0.0254395,0.84846,-0.0753503,0.0165053,0.058845,0.718972,-0.905933,0.18696,-0.813467,0.379158,0.434308,-0.888817,0.395663,0.493154,1.0028,0.976807,0,-0.074585,-0.0020752,0.820679,-0.44751,-0.81897,0.00683594,-0.893555,0.00476074,-0.0258789,-0.00415039,0.00817871,-0.0124512,0.00427246,-0.0078125,0.010498,0.0219727,0.0186768,0.00952148,1.26575
