t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.775773,-0.12026,0.896032,-0.0739151,0.0129172,0.0609979,0.433985,0.556022,-0.990007,-0.839318,0.363647,0.475671,-0.913233,0.376564,0.536669,1.00478,1.01099,0,-0.0657959,0.0100098,0.870239,-0.494873,-0.874512,0.0733643,-0.940308,0.083374,-0.0512695,0.00585938,0.00158691,-0.0189209,-0.0134277,-0.0142822,0.0311279,0.0175781,0.0327148,-0.00134277,1.2666
0.002,-0.24843,-0.72387,0.9723,-0.0287049,-0.0581274,0.0868323,0.536864,0.340324,-0.877188,-0.484288,-0.320561,0.804849,-0.512993,-0.378688,0.891682,1.00241,0.975342,0,-0.0804443,-0.0125732,0.873535,-0.4375,-0.862793,-0.00219727,-0.943237,-0.0147705,0.00170898,0.0343018,0.0131836,0.00378418,0.00341797,-0.0352783,0.00732422,0.0528564,0.0205078,0.0566406,1.2666
0.004,0.506005,-1.01218,0.50618,0.0107643,-0.0846794,0.0739151,0.695322,0.213302,-0.908624,0.0982364,-0.772104,0.673867,0.109001,-0.856783,0.747783,1.00675,0.988525,0,-0.0802002,-0.0159912,0.876343,-0.449707,-0.858276,0.00854492,-0.938477,-0.00744629,-0.0179443,0.00292969,0.00402832,0.00305176,0.0275879,-0.0289307,-0.0135498,0.0384521,-0.00952148,0.0415039,1.2666
0.006,0.964762,-0.714619,-0.250143,0.0710446,-0.0868323,0.0157877,0.769821,0.0551229,-0.824944,0.65491,-0.773827,0.118918,0.725954,-0.86066,0.134705,1.00241,1.01624,0,-0.0786133,-0.00695801,0.851074,-0.430542,-0.839355,-0.0148926,-0.917969,-0.0218506,0.0324707,0.0159912,0.00341797,0.0142822,0.0186768,0.012207,-0.0178223,-0.00830078,-0.0144043,0.00598145,1.26648
0.008,0.861123,-0.043941,-0.817182,0.101902,-0.0466454,-0.0552569,0.87743,-0.195327,-0.682103,0.803126,-0.380882,-0.422244,0.905028,-0.427527,-0.477501,1.00043,0.989014,0,-0.0991211,-0.00109863,0.775391,-0.441162,-0.785522,-0.00915527,-0.884644,-0.0102539,-0.0115967,-0.0137939,-0.000732422,-0.00341797,0.0147705,-0.0151367,-0.0057373,0.0152588,-0.00646973,0.0118408,1.26648
0.01,0.358928,0.636759,-0.995687,0.0602803,-0.00143524,-0.058845,0.930644,-0.361894,-0.56875,0.589419,0.239559,-0.828978,0.649699,0.238124,-0.887823,1.00201,1.00525,0,-0.0797119,0.0,0.853271,-0.454468,-0.857422,-0.00012207,-0.937134,-0.00012207,-0.0115967,0.0218506,-0.017334,-0.0020752,-0.0301514,0.00939941,0.0303955,-0.00964355,0.0130615,-0.0117188,1.2666
0.012,-0.35207,0.981349,-0.629279,0.00717622,0.053104,-0.0602803,0.942469,-0.515279,-0.42719,0.0189579,0.754869,-0.773827,0.0261341,0.807973,-0.834108,1.00241,0.964111,0,-0.0891113,-0.000610352,0.861938,-0.417969,-0.870239,-0.0198975,-0.959351,-0.0205078,-0.0251465,0.0283203,-0.0206299,-0.00244141,-0.000366211,-0.0148926,0.0159912,0.00524902,-0.00463867,0.00280762,1.2666
0.014,-0.903798,0.75008,0.153718,-0.0200934,0.0624331,-0.0423397,0.89635,-0.651888,-0.244462,-0.567014,0.854829,-0.287815,-0.587107,0.917262,-0.330155,1.0032,1.02551,0,-0.0584717,0.0169678,0.832031,-0.470825,-0.855713,0.0349121,-0.914185,0.0518799,0.0338135,0.0609131,0.00390625,-0.000976562,0.0170898,-0.0155029,0.0131836,0.0134277,0.0170898,0.0124512,1.2666
0.016,-0.928184,0.175764,0.75242,-0.0595626,0.0229639,0.0365987,0.862057,-0.744159,-0.117898,-0.846212,0.434308,0.411904,-0.905775,0.457272,0.448502,1.00201,0.979004,0,-0.0617676,0.000976562,0.903809,-0.358154,-0.890015,-0.0637207,-0.951782,-0.0627441,0.00512695,0.00146484,0.0137939,-0.00292969,-0.0400391,0.0385742,0.0640869,-0.0257568,0.0778809,-0.0286865,1.2666
0.018,-0.448851,-0.56044,1.00929,-0.0487983,-0.0179406,0.0667389,0.754448,-0.892751,0.138303,-0.648016,-0.115471,0.763487,-0.696814,-0.133411,0.830226,1.00122,0.990112,0,-0.0643311,0.00341797,0.823975,-0.405518,-0.817261,-0.0189209,-0.881592,-0.0155029,-0.0101318,0.0230713,0.0150146,-0.00476074,0.0406494,0.0333252,-0.0129395,-0.0101318,0.0020752,-0.0148926,1.2666
