t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.671371,-0.304503,0.975874,-0.0452102,-0.0107643,0.0559745,-0.734345,-0.2145,0.948845,-0.787615,0.0896192,0.697996,-0.832825,0.0788549,0.75397,1.00003,0.992432,0,-0.0661621,-0.00805664,0.909912,-0.411255,-0.886719,-0.0236816,-0.952881,-0.0317383,-0.0174561,0.0322266,0.0134277,0.00366211,-0.0161133,0.013916,0.0279541,0.0109863,0.0413818,0.0146484,1.2666
0.002,0.0304822,-0.855693,0.825211,-0.0222463,-0.0595626,0.0818089,-0.869153,-0.0131816,0.882334,-0.330902,-0.544609,0.875511,-0.353148,-0.604172,0.95732,0.999245,0.990601,0,-0.0732422,0.00292969,0.876465,-0.404907,-0.875854,-0.00610352,-0.949097,-0.00317383,0.0181885,-0.0057373,0.0217285,0.00415039,0.00354004,0.00732422,0.0286865,0.0125732,0.050415,0.0167236,1.2666
0.004,0.68204,-0.978265,0.296225,0.0301401,-0.0810913,0.0509512,-0.996865,0.285201,0.711664,0.275751,-0.899639,0.623887,0.305892,-0.98073,0.674839,1.00003,1.00647,0,-0.0675049,-0.0148926,0.889526,-0.47229,-0.86853,0.0183105,-0.936035,0.00341797,0.0101318,-0.000976562,0.0123291,-0.00317383,-0.0356445,-0.0098877,0.0345459,0.0150146,0.046875,0.0118408,1.2666
0.006,0.993721,-0.561211,-0.432509,0.091138,-0.0710446,-0.0200934,-0.969667,0.429,0.540667,0.716954,-0.7204,0.00344684,0.808092,-0.791445,-0.0166466,0.99964,0.964355,0,-0.0927734,-0.0133057,0.931885,-0.411499,-0.880859,-0.0447998,-0.973633,-0.0581055,0.00402832,-0.0319824,-0.00769043,-0.00354004,-0.0333252,0.0406494,0.0401611,-0.0195312,0.0324707,-0.0230713,1.2666
0.008,0.739194,0.210454,-0.949648,0.0868323,-0.038034,-0.0487983,-0.964937,0.601558,0.363378,0.839318,-0.229218,-0.6101,0.926151,-0.267252,-0.658898,1.00083,1.01587,0,-0.071167,0.00646973,0.819946,-0.481812,-0.860718,0.0279541,-0.931885,0.0344238,-0.0412598,0.00195312,-0.0179443,0.00793457,0.0141602,-0.0144043,-0.00256348,-0.0168457,-0.0205078,-0.00891113,1.26648
0.01,0.148601,0.762415,-0.911016,0.0430573,0.0287049,-0.0717622,-0.884525,0.692631,0.191894,0.441202,0.451543,-0.892745,0.48426,0.480248,-0.964507,1.00873,0.971436,0,-0.0894775,0.00341797,0.875122,-0.421021,-0.891602,-0.0334473,-0.981079,-0.0300293,0.0134277,0.0319824,-0.00439453,0.0101318,-0.00317383,-0.0285645,0.0223389,0.0128174,0.0179443,0.0229492,1.26648
0.012,-0.5784,0.979807,-0.401407,0.0121996,0.0566921,-0.0688917,-0.808844,0.824447,-0.0156027,-0.136152,0.813467,-0.677314,-0.123953,0.870159,-0.746206,1.00241,1.00427,0,-0.0704346,0.0219727,0.878662,-0.429688,-0.856201,0.0,-0.926636,0.0219727,0.0187988,0.00146484,0.00488281,0.000732422,0.0383301,-0.0168457,0.0297852,-0.0200195,0.034668,-0.0192871,1.2666
0.014,-0.963238,0.651406,0.311832,-0.058845,0.0545393,0.00430573,-0.678767,0.929899,-0.251132,-0.608377,0.797956,-0.189579,-0.667222,0.852495,-0.185273,1.0032,0.979126,0,-0.0767822,-0.00341797,0.817139,-0.470581,-0.822632,0.0445557,-0.899414,0.0411377,0.0195312,-0.00378418,-0.00183105,-0.013916,-0.00708008,-0.0205078,0.0513916,0.019165,0.0495605,0.00524902,1.26648
0.016,-0.787966,-0.0909656,0.878931,-0.0760679,0.0222463,0.0538217,-0.554602,0.946676,-0.392074,-0.799679,0.361924,0.437755,-0.875747,0.38417,0.491577,1.00241,0.995117,0,-0.0657959,0.00476074,0.846436,-0.505249,-0.842651,0.0859375,-0.908447,0.0906982,-0.0465088,-0.00231934,-0.000976562,-0.00585938,-0.0240479,0.0410156,0.0432129,-0.00830078,0.0422363,-0.0141602,1.26648
0.018,-0.253765,-0.706139,0.959904,-0.0301401,-0.0387516,0.0688917,-0.411517,0.931097,-0.51958,-0.487735,-0.313667,0.801402,-0.517875,-0.352419,0.870294,0.998454,0.980469,0,-0.0695801,-0.010498,0.829102,-0.448853,-0.838867,0.0151367,-0.908447,0.00463867,-0.00915527,0.0238037,0.000976562,0.0,-0.0141602,0.0168457,0.0408936,0.0340576,0.0418701,0.0340576,1.26648
