t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.95,1182.39,318.308,1.2177,681.52,681.338,-15.7271,318.905,0.112297,57.0624,57.0572,-0.771244,738.58,738.396,-16.4983
0.231,12.5,0.0,2281.0,4.95,1182.39,317.849,1.2164,681.796,681.58,-17.1717,318.424,0.112129,56.7526,56.751,-0.417516,738.541,738.331,-17.5892
0.481,12.5,0.0,2281.0,4.92,1175.22,318.488,1.21278,679.768,679.584,-15.8296,319.075,0.113798,57.3379,57.3374,-0.237091,737.096,736.921,-16.0667
0.731,12.5,0.0,2281.0,4.97,1187.16,318.582,1.22057,681.71,681.528,-15.7506,319.173,0.11166,56.9157,56.915,-0.27775,738.617,738.443,-16.0283
0.981,12.5,0.0,2281.0,4.9,1170.44,318.789,1.22211,683.399,683.23,-15.171,319.384,0.112009,57.0566,57.0546,-0.482576,740.45,740.285,-15.6536
1.231,12.5,0.0,2282.0,4.96,1185.29,311.285,1.20742,678.835,678.675,-14.7401,311.803,0.106631,55.1426,55.1408,0.446995,733.955,733.815,-14.2931
1.481,12.5,0.0,2281.0,4.93,1177.61,313.864,1.22781,682.862,682.754,-12.1566,314.399,0.11165,56.9322,56.9276,0.721196,739.77,739.681,-11.4354
1.731,12.5,0.0,2280.0,4.97,1186.64,313.713,1.21454,677.418,677.294,-12.9233,314.193,0.109916,56.2552,56.2482,0.889221,733.641,733.543,-12.0341
1.981,12.5,0.0,2281.0,4.94,1180.0,313.704,1.22306,684.204,684.076,-13.2188,314.222,0.111183,56.8803,56.8791,0.372538,741.066,740.955,-12.8463
2.231,12.5,0.0,2280.0,4.97,1186.64,313.412,1.21326,679.091,678.959,-13.3708,313.925,0.109807,56.2635,56.2617,0.451778,735.334,735.221,-12.9191
2.481,12.5,0.0,2281.0,4.95,1182.39,312.625,1.22821,687.481,687.314,-15.149,313.149,0.108754,55.9028,55.8998,0.573052,743.356,743.213,-14.5759
2.731,12.5,0.0,2281.0,4.93,1177.61,312.341,1.21564,680.933,680.805,-13.1631,312.822,0.109409,56.1138,56.1122,0.421647,737.028,736.918,-12.7415
2.981,12.5,0.0,2280.0,4.97,1186.64,312.487,1.21796,681.534,681.388,-14.1163,313.086,0.110472,56.5093,56.5078,0.411946,738.023,737.896,-13.7044
3.231,12.5,0.0,2281.0,4.95,1182.39,312.227,1.21183,679.179,679.038,-13.8254,312.753,0.109669,56.3686,56.3652,0.618428,735.522,735.404,-13.2069
