t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.641651,-0.341506,0.983157,-0.0480807,-0.0150701,0.0631507,0.56761,-0.956262,0.388652,-0.741082,0.0758316,0.66525,-0.789163,0.0607616,0.728401,0.997664,0.973999,0,-0.0712891,-0.0113525,0.852783,-0.449829,-0.849609,0.0119629,-0.920898,0.000610352,0.00476074,0.0333252,0.0145264,0.00524902,0.00390625,0.0151367,0.0266113,0.0147705,0.0411377,0.0200195,1.2666
0.002,0.10745,-0.897321,0.789871,-0.0251168,-0.0566921,0.0818089,0.423342,-1.0006,0.577258,-0.358477,-0.549779,0.908256,-0.383594,-0.606471,0.990065,0.998454,1.0177,0,-0.0704346,0.000976562,0.829712,-0.518677,-0.84082,0.0703125,-0.911255,0.0712891,0.0153809,-0.0307617,0.0174561,-0.00427246,-0.0554199,0.0155029,0.0537109,0.00854492,0.071167,0.00427246,1.2666
0.004,0.717094,-0.962847,0.245753,0.0409045,-0.0839618,0.0430573,0.249512,-0.949072,0.699561,0.332625,-0.863447,0.530821,0.37353,-0.947408,0.573879,0.99964,0.997559,0,-0.0836182,-0.0170898,0.9104,-0.43042,-0.874756,-0.0133057,-0.958374,-0.0303955,-0.000610352,0.00134277,0.000244141,-0.00769043,0.0328369,0.0200195,-0.00683594,0.000366211,-0.0065918,-0.00732422,1.2666
0.006,1.0021,-0.502623,-0.49948,0.0818089,-0.0717622,-0.0100467,0.101697,-0.890354,0.788658,0.825531,-0.704889,-0.120641,0.90734,-0.776652,-0.130688,0.997664,0.982666,0,-0.0823975,-0.00598145,0.925537,-0.41272,-0.921631,-0.0480957,-1.00403,-0.0540771,0.00793457,-0.0161133,-0.00231934,0.00622559,-0.00537109,0.0372314,-0.0102539,-0.0499268,-0.0125732,-0.0437012,1.2666
0.008,0.721667,0.246686,-0.968353,0.0753503,-0.0279873,-0.0473631,-0.15964,-0.774117,0.933757,0.828978,-0.174068,-0.65491,0.904328,-0.202055,-0.702273,0.99964,1.00879,0,-0.0700684,0.00195312,0.831421,-0.462524,-0.836426,-0.000976562,-0.906494,0.000976562,-0.0245361,0.00939941,-0.0100098,0.0123291,0.0565186,0.0263672,-0.0496826,-0.020874,-0.0596924,-0.00854492,1.2666
0.01,0.0632506,0.806356,-0.869606,0.0430573,0.0222463,-0.0653036,-0.344113,-0.653086,0.9972,0.436032,0.50497,-0.941002,0.479089,0.527216,-1.00631,1.00241,0.989746,0,-0.0797119,0.015625,0.900879,-0.452759,-0.909424,0.0065918,-0.989136,0.0222168,0.0179443,0.00939941,0.00305176,0.00183105,-0.0108643,0.00231934,0.0406494,-0.00671387,0.0437012,-0.00488281,1.2666
0.012,-0.628696,0.975182,-0.346486,0.0064586,0.0509512,-0.0574098,-0.534499,-0.455363,0.989862,-0.193026,0.856553,-0.663527,-0.186567,0.907504,-0.720937,1.0028,1.01331,0,-0.0593262,0.0136719,0.888916,-0.428833,-0.891479,0.0012207,-0.950806,0.0148926,0.0283203,0.00317383,0.00268555,-0.00817871,0.00610352,0.0393066,0.0219727,-0.0303955,0.0246582,-0.0385742,1.2666
0.014,-0.970859,0.608236,0.362623,-0.0602803,0.0566921,0.00358811,-0.658664,-0.213302,0.871965,-0.691102,0.747976,-0.0568737,-0.751382,0.804668,-0.0532856,1.00399,0.965576,0,-0.0738525,0.00585938,0.889648,-0.394775,-0.870483,-0.0227051,-0.944336,-0.0168457,0.00732422,-0.0168457,-0.0090332,-0.0115967,-0.038208,0.0283203,0.0568848,-0.0197754,0.0478516,-0.0313721,1.2666
0.016,-0.755197,-0.156492,0.911689,-0.0696093,0.0193758,0.0502335,-0.772186,-0.190533,0.962719,-0.811743,0.270581,0.541162,-0.881353,0.289957,0.591396,1.0028,1.00916,0,-0.0609131,0.0100098,0.846924,-0.47229,-0.850464,0.0544434,-0.911377,0.0644531,-0.0543213,0.00439453,-0.00268555,-0.00598145,-0.00915527,0.0244141,0.0196533,-0.0196533,0.0169678,-0.0256348,1.2666
0.018,-0.201183,-0.743142,0.944325,-0.0236815,-0.0559745,0.0796561,-0.890438,0.143799,0.746639,-0.492906,-0.318838,0.811743,-0.516587,-0.374812,0.891399,1.00241,0.974243,0,-0.0812988,-0.0100098,0.816406,-0.415527,-0.796753,-0.00769043,-0.878052,-0.0177002,0.0,0.0319824,0.0130615,0.00866699,0.0231934,0.0272217,-0.00585938,-0.0136719,0.00720215,-0.00500488,1.2666
0.02,0.542584,-1.00602,0.463434,0.0136348,-0.0889851,0.0753503,-0.980309,0.342721,0.637589,0.065491,-0.77038,0.704889,0.0791258,-0.859366,0.78024,1.00003,1.00317,0,-0.0789795,-0.00854492,0.856445,-0.473755,-0.840576,0.0290527,-0.919556,0.0205078,-0.000610352,-0.00390625,0.012085,0.0032959,-0.00537109,0.00366211,0.00146484,-0.00927734,0.0135498,-0.00598145,1.2666
0.022,0.971621,-0.693805,-0.277816,0.0710446,-0.0839618,0.0129172,-0.951929,0.488916,0.463013,0.629058,-0.782445,0.153387,0.700102,-0.866406,0.166304,0.998454,1.0083,0,-0.0794678,-0.0098877,0.866333,-0.47644,-0.849365,0.0180664,-0.928833,0.00817871,0.0256348,0.0078125,0.00744629,0.0123291,0.0114746,0.0174561,0.00842285,-0.0141602,0.0158691,-0.00183105,1.2666
0.024,0.842071,0.00693805,-0.84901,0.0925733,-0.0459278,-0.0466454,-0.925914,0.595567,0.330347,0.830701,-0.329178,-0.501523,0.923274,-0.375106,-0.548168,0.998454,0.997681,0,-0.0854492,0.000732422,0.851196,-0.46521,-0.864868,0.0168457,-0.950317,0.0175781,-0.0253906,-0.0102539,-0.000366211,0.0057373,-0.0224609,0.0391846,0.0257568,-0.0488281,0.0253906,-0.0430908,1.2666
0.026,0.320825,0.660657,-0.981482,0.0595626,0.00358811,-0.0631507,-0.85851,0.705813,0.152697,0.529098,0.324008,-0.853106,0.588661,0.327596,-0.916257,1.00201,1.00012,0,-0.0750732,0.0109863,0.871704,-0.374146,-0.850464,-0.0643311,-0.925537,-0.0533447,-0.010376,0.0198975,-0.0090332,-0.0032959,-0.026123,-0.0223389,0.0279541,0.00463867,0.0189209,0.00134277,1.2666
0.028,-0.397031,0.987516,-0.590485,0.00861147,0.0559745,-0.064586,-0.788741,0.846016,-0.0572754,-0.0103407,0.763487,-0.753146,-0.00172921,0.819461,-0.817732,1.00162,0.968506,0,-0.0863037,0.0065918,0.839966,-0.377808,-0.840088,-0.0467529,-0.926392,-0.0401611,-0.0203857,0.0202637,-0.0135498,0.00012207,-0.00964355,0.00671387,0.0383301,-0.0172119,0.0247803,-0.0170898,1.2666
