t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2278.0,4.99,1190.37,314.993,1.21662,671.212,671.109,-11.7547,315.472,0.104563,55.8229,55.5518,-5.49525,726.865,726.66,-17.25
0.247,12.5,0.0,2279.0,4.98,1188.51,315.078,1.2181,670.138,670.026,-12.2974,315.564,0.107017,57.4562,57.3245,-3.88674,727.53,727.35,-16.1841
0.497,12.5,0.0,2279.0,4.98,1188.51,315.361,1.21467,670.077,669.966,-12.2358,315.897,0.104071,55.2758,55.0149,-5.36424,725.194,724.981,-17.6001
0.747,12.5,0.0,2279.0,4.97,1186.12,316.774,1.21198,668.889,668.784,-11.8314,317.312,0.108761,58.0944,58.0246,-2.84597,726.957,726.809,-14.6774
0.997,12.5,0.0,2278.0,5.01,1195.14,316.915,1.21956,671.004,670.908,-11.3545,317.442,0.10948,58.036,58.0078,-1.80626,729.034,728.915,-13.1607
1.247,12.5,0.0,2279.0,4.97,1186.12,312.92,1.2108,669.043,668.912,-13.2212,313.422,0.110339,59.1356,59.1126,-1.64893,728.177,728.025,-14.8701
1.497,12.5,0.0,2279.0,4.99,1190.9,312.076,1.20829,669.952,669.842,-12.1157,312.51,0.111939,59.359,59.3259,-1.98219,729.304,729.168,-14.0979
1.747,12.5,0.0,2279.0,5.01,1195.67,314.965,1.21769,672.024,671.895,-13.2026,315.395,0.115184,59.0369,58.9296,3.55895,730.888,730.824,-9.64367
1.997,12.5,0.0,2279.0,4.99,1190.9,314.614,1.2191,672.979,672.831,-14.1436,315.031,0.109886,58.0798,58.059,1.5545,730.998,730.89,-12.5891
2.247,12.5,0.0,2279.0,5.02,1198.05,314.498,1.21203,670.593,670.436,-14.5238,314.933,0.112891,58.6329,58.5257,3.54339,729.044,728.962,-10.9805
2.497,12.5,0.0,2279.0,5.02,1198.05,314.231,1.22281,673.395,673.235,-14.6683,314.689,0.108631,57.8999,57.8632,2.06102,731.207,731.098,-12.6073
