t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2281,5.0,1194.33,315.484,1.23055,676.888,676.815,-9.94193,316.013,0.110252,57.9483,57.9158,-1.94013,734.827,734.731,-11.8821,
0.231,12.5,0,2281,4.95,1182.39,317.363,1.2382,682.192,682.067,-13.0883,317.873,0.110492,58.0258,57.9955,-1.87469,740.213,740.062,-14.963,
0.481,12.5,0,2281,4.97,1187.16,309.757,1.22244,683.4,683.304,-11.4588,310.229,0.110383,58.3576,58.3342,-1.6515,741.754,741.638,-13.1104,
0.731,12.5,0,2281,4.93,1177.61,310.556,1.22819,690.079,689.935,-14.1039,311.048,0.112681,59.5765,59.5305,-2.34155,749.646,749.465,-16.4455,
0.981,12.5,0,2279,5.01,1195.67,312.832,1.24387,685.961,685.849,-12.3965,313.266,0.111071,58.0745,58.0466,-1.80103,744.031,743.896,-14.1975,
1.231,12.5,0,2280,4.95,1181.87,312.322,1.23947,688.751,688.627,-13.0771,312.745,0.111593,58.6489,58.6177,-1.9126,747.395,747.245,-14.9897,
1.481,12.5,0,2279,4.99,1190.9,314.977,1.23829,683.108,682.966,-13.9237,315.401,0.111717,58.7006,58.6646,-2.05631,741.802,741.63,-15.98,
1.731,12.5,0,2282,4.93,1178.12,310.73,1.2214,686.365,686.18,-15.918,311.188,0.113291,59.7405,59.7272,-1.26013,746.105,745.907,-17.1781,
1.981,12.5,0,2279,4.98,1188.51,313.233,1.21327,685.516,685.397,-12.7778,313.731,0.115138,60.3197,60.3057,-1.29899,745.835,745.702,-14.0768,
2.231,12.5,0,2281,4.95,1182.39,313.551,1.22482,688.605,688.422,-15.8461,314.112,0.113558,59.6756,59.6704,-0.785799,748.278,748.093,-16.6319,
2.481,12.5,0,2279,4.95,1181.35,310.854,1.22608,690.693,690.495,-16.5061,311.316,0.112299,59.6091,59.5903,-1.49563,750.302,750.086,-18.0017,
2.731,12.5,0,2280,4.95,1181.87,311.5,1.20944,683.151,683.015,-13.6246,312.017,0.114694,60.3466,60.3266,-1.55346,743.496,743.342,-15.178,
2.981,12.5,0,2279,4.96,1183.74,310.12,1.22511,685.036,684.87,-15.0858,310.565,0.112294,59.3517,59.3287,-1.64929,744.387,744.199,-16.7351,
3.231,12.5,0,2281,4.97,1187.16,319.281,1.23519,685.749,685.607,-13.9363,319.74,0.114495,59.4556,59.454,-0.440845,745.2,745.061,-14.3771,
3.481,12.5,0,2278,5.0,1192.76,310.498,1.23141,687.53,687.332,-16.4946,310.926,0.112017,59.2833,59.2599,-1.66205,746.812,746.592,-18.1566,
3.731,12.5,0,2279,5.02,1198.05,318.905,1.24851,688.116,687.978,-13.794,319.382,0.114748,59.0395,59.0392,0.171296,747.141,747.017,-13.6227,
3.981,12.5,0,2280,4.96,1184.25,310.241,1.22696,690.973,690.805,-15.2219,310.788,0.110612,57.2969,57.2968,0.114561,748.254,748.102,-15.1074,
4.231,12.5,0,2280,5.03,1200.97,313.524,1.23987,690.511,690.336,-15.5701,313.977,0.11565,58.7594,58.7581,0.392328,749.247,749.094,-15.1778,
4.481,12.5,0,2279,4.99,1190.9,315.563,1.24966,685.48,685.317,-14.976,316.019,0.115689,59.3077,59.307,0.282275,744.769,744.624,-14.6937,
4.731,12.5,0,2280,5.0,1193.81,318.639,1.24635,685.887,685.739,-14.2474,319.052,0.115586,59.3876,59.3865,0.361437,745.255,745.125,-13.886,
4.981,12.5,0,2280,4.98,1189.03,311.913,1.21533,688.392,688.261,-13.4182,312.616,0.108391,57.5393,57.5372,-0.492607,745.928,745.798,-13.9108,
5.231,12.5,0,2282,5.01,1197.24,310.242,1.21436,689.498,689.349,-14.3396,310.865,0.110377,57.6342,57.6339,-0.179908,747.124,746.983,-14.5195,
