t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.98,1189.55,311.166,1.21599,675.893,675.716,-15.4574,311.657,0.111421,59.5302,59.5051,-1.72812,735.422,735.221,-17.1855
0.231,12.5,0.0,2279.0,5.0,1193.28,319.797,1.22851,679.926,679.742,-15.8242,320.31,0.115393,60.0013,60.0007,-0.269502,739.918,739.743,-16.0937
0.481,12.5,0.0,2279.0,4.98,1188.51,310.751,1.213,677.564,677.368,-16.3042,311.231,0.11143,58.3542,58.3538,0.226963,735.897,735.721,-16.0772
0.731,12.5,0.0,2279.0,5.02,1198.05,315.555,1.22599,677.585,677.455,-13.2842,316.036,0.11532,59.5445,59.5416,0.589695,737.106,736.997,-12.6945
0.981,12.5,0.0,2279.0,4.99,1190.9,316.03,1.2234,677.177,677.012,-14.9666,316.524,0.114175,59.2642,59.2623,0.479827,736.417,736.274,-14.4868
1.231,12.5,0.0,2279.0,5.0,1193.28,313.031,1.22224,678.531,678.361,-15.1887,313.472,0.113589,58.7997,58.7994,0.188339,737.313,737.16,-15.0003
1.481,12.5,0.0,2281.0,5.02,1199.11,311.97,1.1909,674.909,674.797,-12.3027,312.606,0.107592,58.2978,58.2969,-0.311649,733.202,733.094,-12.6144
1.731,12.5,0.0,2279.0,5.02,1198.05,309.99,1.20032,679.892,679.729,-14.9194,310.574,0.110224,58.8756,58.8739,-0.4466,738.762,738.602,-15.366
1.981,12.5,0.0,2278.0,5.05,1204.69,308.599,1.20241,679.775,679.639,-13.6155,309.25,0.108131,57.7362,57.7354,-0.295269,737.505,737.374,-13.9108
2.231,12.5,0.0,2279.0,5.01,1195.67,310.387,1.2133,682.31,682.19,-12.7974,310.986,0.110922,58.4073,58.4073,-0.0404237,740.708,740.597,-12.8379
2.481,12.5,0.0,2279.0,5.02,1198.05,311.314,1.21343,677.46,677.297,-14.8934,311.846,0.11158,58.5636,58.5633,0.202363,736.007,735.86,-14.6911
2.731,12.5,0.0,2279.0,5.03,1200.44,311.719,1.21876,680.529,680.343,-15.9072,312.241,0.112239,58.5983,58.598,0.199125,739.108,738.941,-15.708
2.981,12.5,0.0,2279.0,5.02,1198.05,315.447,1.23017,677.237,677.113,-12.9733,315.891,0.114068,59.3156,59.3156,-0.0228306,736.543,736.429,-12.9961
3.231,12.5,0.0,2278.0,5.01,1195.14,310.022,1.19298,677.215,677.051,-14.8796,310.648,0.108907,58.4425,58.4423,-0.174937,735.647,735.493,-15.0545
3.481,12.5,0.0,2278.0,5.05,1204.69,308.874,1.20947,681.509,681.393,-12.6235,309.412,0.109944,58.4283,58.428,-0.200031,739.932,739.82,-12.8235
3.731,12.5,0.0,2280.0,4.98,1189.03,309.479,1.20859,679.52,679.403,-12.6119,310.118,0.110378,58.4815,58.4807,-0.306813,737.997,737.883,-12.9187
3.981,12.5,0.0,2281.0,5.04,1203.88,308.938,1.20255,679.109,678.961,-14.1432,309.528,0.108723,57.5096,57.5095,-0.0902311,736.608,736.471,-14.2334
4.231,12.5,0.0,2282.0,4.99,1192.46,310.484,1.21475,674.586,674.477,-12.1603,310.988,0.112098,58.9195,58.9176,0.47651,733.488,733.394,-11.6838
4.481,12.5,0.0,2281.0,4.98,1189.55,313.247,1.20697,678.062,677.912,-14.2638,313.907,0.108919,58.5057,58.5017,-0.686544,736.565,736.414,-14.9503
4.731,12.5,0.0,2282.0,4.99,1192.46,311.025,1.19932,677.55,677.456,-11.2349,311.701,0.108644,58.0493,58.0487,-0.269643,735.595,735.505,-11.5045
4.981,12.5,0.0,2282.0,4.99,1192.46,313.232,1.21426,681.365,681.251,-12.4289,313.899,0.106077,57.2727,57.2708,-0.461367,738.635,738.522,-12.8903
5.231,12.5,0.0,2281.0,5.0,1194.33,309.408,1.19359,679.467,679.297,-15.1962,310.039,0.107344,58.154,58.1517,-0.516499,737.616,737.449,-15.7127
5.481,12.5,0.16,2293.0,4.51,1082.95,187.699,1.94192,523.41,507.327,128.751,188.438,0.508278,183.349,2.03544,183.337,597.369,509.362,312.088
5.731,12.5,0.64,2302.0,4.61,1111.31,185.304,1.99343,552.078,533.235,143.005,186.012,0.500454,180.912,11.9818,180.515,633.977,545.217,323.521
