t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2278.0,5.02,1197.53,291.376,1.63498,681.428,681.395,6.68018,291.536,0.118821,60.7735,60.7672,0.877459,742.2,742.162,7.55764
0.262,12.5,0.0,2281.0,4.98,1189.55,291.341,1.61493,672.609,672.561,8.01159,291.485,0.118369,60.6212,60.6176,0.6634,733.23,733.179,8.67499
0.512,12.5,0.0,2280.0,4.95,1181.87,291.441,1.62179,674.727,674.68,7.97512,291.588,0.119761,61.4951,61.4905,0.756197,736.223,736.171,8.73132
0.762,12.5,0.0,2280.0,4.97,1186.64,291.58,1.6186,672.911,672.852,8.85601,291.696,0.118886,61.0791,61.0768,0.529415,733.989,733.929,9.38543
1.012,12.5,0.0,2279.0,5.0,1193.28,291.465,1.62263,675.815,675.757,8.86177,291.607,0.120683,61.9012,61.8985,0.573843,737.716,737.655,9.43561
1.262,12.5,0.0,2279.0,5.01,1195.67,291.866,1.6186,674.206,674.15,8.68843,292.004,0.116599,60.5103,60.5059,0.731308,734.716,734.656,9.41973
1.512,12.5,0.0,2280.0,4.96,1184.25,292.273,1.61695,673.246,673.175,9.74852,292.375,0.117121,60.9674,60.9637,0.675833,734.213,734.139,10.4244
1.762,12.5,0.0,2280.0,4.99,1191.42,292.001,1.62119,674.971,674.915,8.62259,292.132,0.117562,61.0429,61.0351,0.978212,736.013,735.951,9.6008
2.012,12.5,0.0,2280.0,4.97,1186.64,292.127,1.61708,673.059,672.983,10.1621,292.314,0.117574,61.3082,61.3062,0.498309,734.366,734.289,10.6604
2.262,12.5,0.0,2280.0,4.99,1191.42,291.826,1.61872,674.549,674.491,8.78926,291.958,0.119259,61.261,61.2548,0.871285,735.81,735.746,9.66054
