t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.97,1187.16,312.763,1.19803,681.203,681.072,-13.3598,313.411,0.111153,59.4174,59.4131,-0.719098,740.619,740.485,-14.0789
0.263,12.5,0.0,2282.0,4.91,1173.35,313.593,1.22922,682.07,681.855,-17.1308,314.107,0.1115,59.5272,59.5104,-1.41434,741.597,741.365,-18.5452
0.513,12.5,0.0,2280.0,5.0,1193.81,317.321,1.23553,677.405,677.311,-11.2792,317.819,0.113646,60.2123,60.1926,-1.54065,737.615,737.504,-12.8198
0.763,12.5,0.0,2282.0,4.93,1178.12,317.544,1.23041,678.814,678.725,-10.991,318.091,0.110972,59.0598,59.0346,-1.72392,737.869,737.759,-12.715
1.013,12.5,0.0,2281.0,4.98,1189.55,317.476,1.21528,680.013,679.881,-13.3721,318.123,0.111372,59.2657,59.2443,-1.59244,739.277,739.125,-14.9645
1.263,12.5,0.0,2282.0,4.94,1180.51,315.755,1.19917,677.949,677.809,-13.7661,316.46,0.111647,59.2366,59.2201,-1.39822,737.185,737.029,-15.1643
1.513,12.5,0.0,2280.0,4.98,1189.03,316.693,1.23472,678.973,678.839,-13.4805,317.175,0.112718,59.4744,59.4467,-1.81395,738.444,738.285,-15.2945
1.763,12.5,0.0,2282.0,4.95,1182.9,315.852,1.23198,681.149,680.981,-15.1529,316.284,0.113734,60.086,60.0583,-1.82242,741.234,741.039,-16.9753
2.013,12.5,0.0,2280.0,4.96,1184.25,319.258,1.22263,679.116,678.973,-13.9296,319.864,0.111121,58.8424,58.8242,-1.46103,737.958,737.797,-15.3906
2.263,12.5,0.0,2281.0,4.96,1184.77,317.602,1.22238,683.906,683.775,-13.3891,318.257,0.110645,58.8566,58.8302,-1.76298,742.76,742.605,-15.1521
2.513,12.5,0.0,2281.0,4.95,1182.39,315.759,1.20892,680.73,680.598,-13.4062,316.454,0.109404,58.5301,58.5172,-1.23018,739.26,739.115,-14.6363
2.763,12.5,0.0,2282.0,4.93,1178.12,315.3,1.23282,682.337,682.174,-14.918,315.75,0.113537,60.6497,60.6262,-1.69128,742.986,742.8,-16.6093
3.013,12.5,0.0,2280.0,4.99,1191.42,317.288,1.22296,677.676,677.581,-11.3311,317.799,0.110645,58.9827,58.9558,-1.78017,736.654,736.537,-13.1113
3.263,12.5,0.0,2281.0,4.92,1175.22,318.049,1.20634,676.335,676.223,-12.3171,318.683,0.113925,60.3776,60.3612,-1.40618,736.712,736.584,-13.7233
3.513,12.5,0.0,2280.0,4.99,1191.42,313.213,1.22219,677.65,677.462,-15.9643,313.685,0.111862,59.3551,59.3353,-1.53414,737.005,736.797,-17.4985
3.763,12.5,0.0,2281.0,4.93,1177.61,317.598,1.23108,679.572,679.497,-10.1251,318.149,0.113963,60.5404,60.5158,-1.72393,740.107,740.012,-11.8491
4.013,12.5,0.0,2280.0,5.0,1193.81,317.168,1.21139,678.719,678.588,-13.3442,317.785,0.110487,58.8449,58.8223,-1.62927,737.562,737.41,-14.9735
4.263,12.5,0.0,2281.0,4.93,1177.61,317.653,1.21557,676.757,676.648,-12.1415,318.266,0.111615,59.7252,59.6914,-2.0072,736.475,736.339,-14.1487
4.513,12.5,0.0,2280.0,4.98,1189.03,317.615,1.21846,677.708,677.571,-13.6376,318.274,0.113074,60.0503,60.0175,-1.98428,737.754,737.589,-15.6219
4.763,12.5,0.0,2281.0,4.94,1180.0,316.435,1.21206,681.778,681.639,-13.7772,317.149,0.109389,58.1518,58.1406,-1.14023,739.93,739.779,-14.9174
5.013,12.5,0.0,2280.0,4.97,1186.64,311.727,1.21854,680.719,680.519,-16.493,312.169,0.112753,60.5351,60.5144,-1.58428,741.254,741.034,-18.0773
5.263,12.5,0.0,2279.0,5.04,1202.83,316.05,1.2377,683.712,683.515,-16.4152,316.542,0.111565,59.3306,59.3029,-1.81505,743.042,742.818,-18.2302
5.513,12.5,0.0,2290.0,4.68,1122.3,247.143,1.29459,586.352,584.23,49.836,247.86,0.494294,197.039,21.3494,195.879,653.531,605.579,245.715
5.763,12.5,0.32,2295.0,4.74,1139.17,247.545,1.30364,592.041,590.168,47.0536,248.261,0.494579,197.283,24.8294,195.714,661.18,614.998,242.768
