t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,4.94,1179.48,313.911,1.1889,662.844,662.703,-13.66,314.538,0.108216,57.8708,57.8406,-1.87172,720.711,720.544,-15.5317
0.231,12.5,0.0,2278.0,4.99,1190.37,312.884,1.17643,664.479,664.331,-14.0534,313.423,0.111824,59.8553,59.8495,-0.833672,724.333,724.18,-14.8871
0.497,12.5,0.0,2279.0,4.95,1181.35,311.073,1.19366,671.364,671.216,-14.1204,311.626,0.10931,57.2142,57.2137,0.238802,728.562,728.429,-13.8816
0.747,12.5,0.0,2278.0,5.0,1192.76,313.699,1.18961,663.167,663.023,-13.8091,314.259,0.108678,58.455,58.4264,-1.82766,721.619,721.449,-15.6368
0.997,12.5,0.0,2279.0,4.98,1188.51,312.804,1.19448,668.261,668.09,-15.1292,313.35,0.111587,58.3551,58.3543,0.289485,726.595,726.444,-14.8397
1.231,12.5,0.0,2280.0,4.94,1179.48,314.037,1.18215,662.496,662.392,-11.7358,314.701,0.107683,57.7463,57.7218,-1.68144,720.239,720.114,-13.4173
1.481,12.5,0.0,2278.0,4.96,1183.22,313.206,1.19504,667.711,667.554,-14.4793,313.672,0.110195,59.1297,59.1045,-1.72649,726.839,726.658,-16.2058
1.731,12.5,0.0,2280.0,4.99,1191.42,311.736,1.19159,667.562,667.389,-15.1858,312.346,0.111026,57.7823,57.7822,-0.109497,725.333,725.172,-15.2953
1.935,12.5,0.0,2281.0,4.95,1182.39,312.691,1.1852,666.009,665.886,-12.7991,313.411,0.109525,58.24,58.2259,-1.28014,724.248,724.112,-14.0792
2.185,12.5,0.0,2279.0,5.02,1198.05,314.68,1.19098,667.323,667.114,-16.6822,315.123,0.111211,59.1847,59.1705,-1.29885,726.507,726.285,-17.981
2.435,12.5,0.0,2280.0,5.03,1200.97,312.403,1.19917,673.408,673.244,-14.8429,312.939,0.110919,57.8685,57.8678,0.270746,731.257,731.112,-14.5722
2.685,12.5,0.0,2280.0,4.97,1186.64,310.826,1.17518,666.406,666.249,-14.4553,311.54,0.109467,58.2155,58.2138,-0.45271,724.617,724.463,-14.9081
2.935,12.5,0.0,2279.0,4.97,1186.12,313.396,1.19408,664.055,663.89,-14.8086,313.895,0.109129,59.0423,59.0111,-1.91947,723.095,722.901,-16.7281
3.185,12.5,0.0,2280.0,5.0,1193.81,317.438,1.20674,670.669,670.512,-14.5465,317.954,0.110824,57.9983,57.9983,0.0427967,728.654,728.51,-14.5037
3.435,12.5,0.0,2278.0,4.97,1185.6,313.31,1.1865,664.253,664.102,-14.1543,313.945,0.10829,58.6047,58.5832,-1.58736,722.857,722.685,-15.7416
3.638,12.5,0.0,2279.0,4.99,1190.9,317.025,1.19572,667.816,667.678,-13.5837,317.51,0.11283,58.8113,58.8093,-0.481975,726.623,726.487,-14.0656
3.888,12.5,0.0,2277.0,5.01,1194.62,312.275,1.19056,667.95,667.796,-14.3232,312.906,0.108856,58.3264,58.3074,-1.48868,726.276,726.104,-15.8119
4.091,12.5,0.0,2280.0,4.98,1189.03,314.14,1.19497,670.667,670.515,-14.2972,314.658,0.113327,60.1162,60.1137,-0.546458,730.779,730.628,-14.8437
4.341,12.5,0.0,2280.0,4.97,1186.64,312.321,1.1902,672.64,672.52,-12.7172,312.892,0.109635,58.258,58.2574,0.24421,730.883,730.777,-12.473
4.591,12.5,0.0,2278.0,5.05,1204.69,312.59,1.19697,668.797,668.691,-11.9157,313.098,0.110183,59.4701,59.447,-1.65592,728.264,728.138,-13.5716
4.841,12.5,0.0,2280.0,4.97,1186.64,316.712,1.20284,669.597,669.45,-14.0493,317.216,0.111914,58.0768,58.0766,0.154205,727.659,727.526,-13.8951
5.091,12.5,0.0,2277.0,5.02,1197.0,313.014,1.18504,666.627,666.526,-11.6055,313.688,0.108981,58.0313,58.0187,-1.20938,724.658,724.545,-12.8149
5.341,12.5,0.0,2280.0,4.99,1191.42,316.068,1.19075,668.418,668.248,-15.0718,316.583,0.112847,59.3121,59.3119,-0.123775,727.719,727.56,-15.1956
5.544,12.5,0.16,2280.0,4.38,1045.77,262.945,1.79763,578.862,570.224,99.6248,263.682,0.340953,80.2681,47.7751,64.502,639.422,617.999,164.127
5.794,12.5,0.32,2299.0,4.56,1097.82,129.783,2.57466,519.047,458.433,243.412,130.157,0.500863,170.164,11.2237,169.794,625.553,469.656,413.206
6.044,12.5,0.96,2292.0,5.33,1279.29,128.497,2.5742,520.347,459.194,244.749,129.076,0.501727,169.74,12.1944,169.301,627.411,471.389,414.05
6.247,12.5,0.8,2286.0,5.56,1331.0,316.737,1.37754,772.358,772.345,-4.51168,317.233,0.145774,78.5193,78.5123,-1.04582,850.875,850.857,-5.55749
6.481,12.5,0.48,2275.0,5.29,1260.28,313.879,1.34192,758.45,758.433,-5.16617,314.557,0.124799,67.4066,67.4053,-0.41857,825.857,825.838,-5.58474
6.7,12.5,0.32,2277.0,4.82,1149.31,312.506,1.08854,596.799,596.798,-0.501477,312.981,0.088414,46.6407,46.6206,-1.36966,643.422,643.419,-1.87113
6.95,12.5,0.16,2280.0,5.08,1212.91,314.371,1.23859,692.976,692.944,-6.72629,314.88,0.116973,62.3883,62.3817,-0.908237,755.364,755.325,-7.63452
7.2,12.5,0.0,2279.0,4.79,1143.16,312.742,1.14512,644.598,644.587,-3.89556,313.393,0.103303,53.9785,53.9779,-0.248856,698.577,698.564,-4.14442
7.45,12.5,0.0,2280.0,5.08,1212.91,313.786,1.22271,682.287,682.24,-8.07808,314.392,0.11156,60.4308,60.4036,-1.81362,742.709,742.643,-9.89171
7.7,12.5,0.0,2281.0,4.91,1172.83,310.393,1.15661,652.379,652.327,-8.21175,310.956,0.110281,57.341,57.3408,0.127276,709.714,709.668,-8.08447
7.935,12.5,0.0,2277.0,5.1,1216.08,313.507,1.21064,674.153,674.09,-9.24046,314.072,0.110099,59.8805,59.8489,-1.94701,734.024,733.939,-11.1875
8.138,12.5,0.0,2279.0,4.89,1167.03,314.883,1.19431,662.201,662.149,-8.29504,315.363,0.110162,57.4033,57.4021,0.371359,719.595,719.551,-7.92368
8.388,12.5,0.0,2277.0,5.0,1192.23,314.676,1.19969,668.997,668.934,-9.18532,315.297,0.109808,58.8568,58.8346,-1.61354,727.849,727.768,-10.7989
8.638,12.5,0.0,2279.0,4.95,1181.35,314.29,1.20634,670.223,670.082,-13.7404,314.727,0.111032,58.9344,58.929,-0.794226,729.156,729.011,-14.5346
8.888,12.5,0.0,2278.0,4.97,1185.6,311.913,1.19521,672.198,672.101,-11.4292,312.622,0.109219,57.6007,57.6007,0.0313483,729.791,729.702,-11.3979
9.138,12.5,0.0,2281.0,4.94,1180.0,313.99,1.19496,666.589,666.483,-11.9095,314.501,0.109959,58.8097,58.8028,-0.904719,725.399,725.286,-12.8142
9.341,12.5,0.0,2277.0,4.99,1189.85,311.347,1.19439,673.976,673.905,-9.79847,312.016,0.108375,57.3036,57.3029,-0.283387,731.278,731.208,-10.0819
9.591,12.5,0.0,2280.0,4.94,1179.48,313.142,1.17992,661.58,661.425,-14.3441,313.65,0.110546,59.1033,59.0962,-0.913265,720.683,720.521,-15.2574
9.794,12.5,0.0,2278.0,5.0,1192.76,313.392,1.20903,671.714,671.596,-12.5958,313.912,0.111929,58.4916,58.4916,-0.0201165,730.197,730.088,-12.6159
10.044,12.5,0.0,2280.0,4.94,1179.48,313.1,1.1879,667.334,667.213,-12.6958,313.728,0.108738,58.7426,58.7043,-2.12245,726.069,725.918,-14.8182
10.294,12.5,0.0,2279.0,4.92,1174.19,313.67,1.20466,671.684,671.501,-15.7029,314.168,0.112224,59.1123,59.112,0.169736,730.778,730.613,-15.5332
10.544,12.5,0.0,2279.0,5.02,1198.05,312.456,1.17055,662.876,662.788,-10.8151,313.1,0.107839,57.3638,57.3545,-1.03007,720.24,720.142,-11.8451
10.794,12.5,0.0,2281.0,4.93,1177.61,313.274,1.19334,664.673,664.554,-12.5622,313.785,0.110233,59.7043,59.6735,-1.91634,724.372,724.227,-14.4785
11.044,12.5,0.0,2278.0,4.98,1187.99,316.282,1.20955,671.899,671.747,-14.2958,316.771,0.112589,58.5559,58.5558,0.131429,730.44,730.303,-14.1644
11.294,12.5,0.0,2281.0,4.94,1180.0,315.76,1.18743,665.628,665.523,-11.8616,316.45,0.109397,57.6593,57.653,-0.856034,723.287,723.176,-12.7176
11.544,12.5,0.0,2279.0,4.95,1181.35,312.481,1.19743,667.481,667.349,-13.231,312.988,0.109796,59.3246,59.3043,-1.55386,726.804,726.654,-14.7848
11.794,12.5,0.0,2279.0,4.97,1186.12,311.237,1.18278,668.692,668.571,-12.73,311.902,0.108512,57.5722,57.5718,-0.230964,726.258,726.143,-12.961
11.997,12.5,0.0,2278.0,4.96,1183.22,313.564,1.19519,670.338,670.213,-12.9589,314.151,0.10987,59.2814,59.2563,-1.72522,729.617,729.469,-14.6842
12.247,12.5,0.0,2280.0,5.01,1196.19,311.779,1.2056,673.176,673.039,-13.542,312.319,0.111449,58.4108,58.4107,-0.0731057,731.577,731.45,-13.6151
12.513,12.5,0.0,2279.0,4.95,1181.35,313.663,1.19238,669.402,669.291,-12.2076,314.338,0.105428,57.2152,57.1978,-1.41292,726.617,726.489,-13.6205
12.763,12.5,0.0,2278.0,5.02,1197.53,312.598,1.1913,665.61,665.433,-15.3506,313.164,0.109375,59.207,59.1828,-1.6938,724.817,724.616,-17.0444
13.013,12.5,0.0,2280.0,4.98,1189.03,310.717,1.18323,670.627,670.44,-15.8411,311.301,0.109784,57.9647,57.9647,0.0412994,728.576,728.404,-15.7998
13.216,12.5,0.0,2278.0,5.03,1199.91,313.54,1.1893,665.844,665.659,-15.6792,314.068,0.110313,59.314,59.2836,-1.90058,725.156,724.942,-17.5798
13.466,12.5,0.0,2280.0,4.98,1189.03,313.666,1.19816,668.309,668.144,-14.8524,314.166,0.111967,58.2223,58.2223,-0.020834,726.518,726.366,-14.8732
13.731,12.5,0.0,2278.0,4.98,1187.99,313.133,1.18929,667.205,667.08,-12.9378,313.795,0.109251,58.4461,58.4244,-1.59207,725.65,725.504,-14.5299
13.966,12.5,0.0,2280.0,4.98,1189.03,312.827,1.1896,665.662,665.429,-17.6169,313.342,0.11036,59.5068,59.4949,-1.18777,725.168,724.924,-18.8047
14.216,12.5,0.0,2280.0,4.97,1186.64,309.378,1.18645,669.219,669.066,-14.3155,310.016,0.109492,58.1307,58.1298,0.325507,727.331,727.196,-13.99
14.435,12.5,0.0,2279.0,4.95,1181.35,312.483,1.1976,667.522,667.407,-12.404,313.023,0.108486,58.8401,58.8164,-1.67227,726.359,726.223,-14.0762
14.638,12.5,0.0,2280.0,4.95,1181.87,314.11,1.20089,670.831,670.685,-13.9787,314.67,0.111703,58.839,58.8389,-0.130983,729.66,729.524,-14.1097
