t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2281,4.92,1175.22,316.164,1.25505,688.324,688.186,-13.7822,316.539,0.116281,59.2971,59.2968,0.213652,747.605,747.482,-13.5685,
0.216,12.5,0,2279,4.96,1183.74,318.177,1.2328,687.999,687.833,-15.103,318.599,0.11653,59.1543,59.1542,0.102688,747.138,746.987,-15.0003,
0.466,12.5,0,2281,4.94,1180.0,317.044,1.21943,688.102,687.996,-12.0808,317.509,0.114982,59.1076,59.1073,-0.197343,747.204,747.103,-12.2781,
0.716,12.5,0,2280,4.96,1184.25,317.795,1.2382,691.816,691.691,-13.1187,318.258,0.11596,59.791,59.7891,-0.47878,751.603,751.48,-13.5975,
0.966,12.5,0,2280,4.97,1186.64,318.087,1.22352,684.925,684.836,-11.0282,318.619,0.116365,59.8888,59.8884,-0.235512,744.81,744.724,-11.2637,
1.216,12.5,0,2281,4.94,1180.0,314.584,1.23574,687.265,687.05,-17.151,314.969,0.116099,58.9109,58.9042,0.888135,746.132,745.955,-16.2629,
1.466,12.5,0,2281,4.91,1172.83,313.934,1.23703,687.348,687.133,-17.1737,314.301,0.115917,59.1132,59.1091,0.698637,746.424,746.242,-16.4751,
1.716,12.5,0,2280,4.95,1181.87,313.302,1.24036,690.345,690.191,-14.5963,313.747,0.115281,58.9455,58.9412,0.705319,749.261,749.132,-13.891,
1.966,12.5,0,2280,4.99,1191.42,318.205,1.24707,688.194,688.044,-14.3963,318.607,0.116234,59.056,59.0548,0.370465,747.23,747.098,-14.0259,
2.216,12.5,0,2281,4.94,1180.0,318.552,1.24861,694.004,693.866,-13.805,319.066,0.114379,58.7097,58.7095,-0.145694,752.705,752.576,-13.9507,
2.466,12.5,0,2281,4.97,1187.16,313.672,1.24093,689.736,689.527,-16.9837,314.092,0.113415,58.0533,58.0458,0.93133,747.745,747.572,-16.0523,
2.716,12.5,0,2280,4.93,1177.09,312.585,1.2357,691.846,691.685,-14.9461,313.049,0.115316,58.4733,58.4709,0.534,750.294,750.155,-14.4121,
2.966,12.5,0,2281,4.94,1180.0,315.553,1.24924,688.801,688.712,-11.032,315.982,0.115498,58.9708,58.9694,0.401727,747.757,747.682,-10.6303,
3.216,12.5,0,2281,4.93,1177.61,319.866,1.24255,684.543,684.42,-12.9911,320.329,0.117811,59.9382,59.9379,-0.19155,744.474,744.358,-13.1826,
3.466,12.5,0,2280,4.97,1186.64,309.847,1.23409,694.013,693.792,-17.5061,310.327,0.111702,57.7419,57.7405,0.410696,751.727,751.533,-17.0954,
3.716,12.5,0,2281,4.94,1180.0,315.25,1.24812,692.973,692.807,-15.1616,315.64,0.117407,59.0488,59.0485,0.174592,752.005,751.856,-14.987,
3.966,12.5,0,2281,5.0,1194.33,318.034,1.24954,694.578,694.366,-17.1318,318.417,0.116725,58.7832,58.7817,0.420819,753.333,753.148,-16.711,
4.216,12.5,0,2281,4.98,1189.55,309.597,1.21491,686.323,686.181,-13.9349,310.139,0.108581,57.18,57.1793,0.288346,743.486,743.36,-13.6466,
4.466,12.5,0,2281,4.98,1189.55,313.519,1.25318,690.632,690.453,-15.7589,313.865,0.113948,58.1002,58.0954,0.746549,748.699,748.548,-15.0124,
4.716,12.5,0,2281,4.95,1182.39,317.758,1.24902,686.964,686.826,-13.7398,318.1,0.11819,60.068,60.0677,0.164053,747.017,746.894,-13.5757,
4.966,12.5,0,2281,4.97,1187.16,318.677,1.24917,693.592,693.446,-14.2286,319.094,0.118667,59.3335,59.3333,-0.142153,752.916,752.779,-14.3708,
5.216,12.5,0,2281,4.95,1182.39,300.099,1.1952,689.668,689.476,-16.2934,300.75,0.113299,52.969,52.9553,1.20657,742.584,742.431,-15.0868,
5.466,12.5,0,2281,4.95,1182.39,305.077,1.1947,680.667,680.529,-13.7113,305.621,0.111482,53.0474,53.0444,0.57039,733.691,733.573,-13.1409,
5.716,12.5,0,2280,4.95,1181.87,318.824,1.24915,690.158,690.026,-13.5006,319.239,0.115859,58.9148,58.9148,-0.0737853,749.064,748.941,-13.5744,
5.966,12.5,0,2281,5.01,1196.72,310.652,1.23807,690.532,690.323,-16.9826,311.178,0.112405,58.3265,58.3228,0.650736,748.824,748.646,-16.3318,
