t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.99,1191.42,309.448,1.19706,681.301,681.187,-12.482,310.07,0.110903,58.5872,58.5872,-0.0143181,739.88,739.774,-12.4963,
0.216,12.5,0,2281,4.97,1187.16,309.589,1.20672,685.771,685.644,-13.1835,310.206,0.111198,58.5842,58.5832,0.338672,744.338,744.228,-12.8449,
0.466,12.5,0,2282,4.94,1180.51,309.789,1.19573,679.904,679.786,-12.6346,310.444,0.111474,58.5664,58.5664,0.00629973,738.461,738.353,-12.6283,
0.716,12.5,0,2281,4.99,1191.94,309.877,1.20224,683.76,683.626,-13.5321,310.481,0.111818,58.8556,58.8556,-0.0136066,742.605,742.481,-13.5457,
0.966,12.5,0,2281,4.99,1191.94,309.175,1.20025,681.919,681.79,-13.2736,309.8,0.111293,59.2883,59.2882,0.0980439,741.195,741.078,-13.1756,
1.216,12.5,0,2282,4.96,1185.29,309.48,1.20037,681.912,681.765,-14.1159,310.102,0.109629,58.3287,58.3286,0.130022,740.226,740.094,-13.9859,
1.466,12.5,0,2280,4.98,1189.03,309.516,1.19847,682.108,681.977,-13.3718,310.158,0.111592,59.3412,59.3411,-0.108066,741.441,741.318,-13.4799,
1.716,12.5,0,2281,4.97,1187.16,310.446,1.1985,680.995,680.869,-13.112,311.056,0.11202,58.6215,58.6215,-0.0749559,739.608,739.49,-13.187,
1.966,12.5,0,2281,5.0,1194.33,310.088,1.20454,681.325,681.207,-12.6346,310.69,0.111627,59.0668,59.0668,0.00244574,740.382,740.274,-12.6322,
2.216,12.5,0,2281,4.96,1184.77,309.62,1.20149,684.1,683.973,-13.206,310.191,0.110376,58.171,58.1709,0.0981287,742.26,742.144,-13.1078,
2.466,12.5,0,2280,4.98,1189.03,309.438,1.20081,681.827,681.706,-12.8397,310.008,0.111504,58.7359,58.7358,0.112788,740.551,740.442,-12.7269,
2.716,12.5,0,2281,4.95,1182.39,310.105,1.20781,687.071,686.941,-13.3776,310.711,0.112256,58.6404,58.6403,-0.0956719,745.703,745.581,-13.4732,
2.966,12.5,0,2281,4.97,1187.16,309.439,1.20194,681.178,681.052,-13.0919,310.004,0.110118,58.602,58.6019,0.0963659,739.768,739.654,-12.9956,
3.216,12.5,0,2281,4.94,1180.0,309.58,1.20428,684.606,684.453,-14.4886,310.174,0.112801,59.2348,59.2347,0.104417,743.827,743.688,-14.3842,
3.466,12.5,0,2281,4.98,1189.55,309.557,1.19232,677.751,677.651,-11.639,310.168,0.110681,58.4066,58.4059,0.273148,736.144,736.057,-11.3658,
3.716,12.5,0,2281,4.94,1180.0,309.588,1.2065,685.894,685.774,-12.8434,310.18,0.110391,58.6909,58.6889,0.481893,744.566,744.463,-12.3615,
3.966,12.5,0,2280,5.0,1193.81,309.433,1.20331,681.83,681.681,-14.2343,309.961,0.109351,58.1564,58.1562,0.148297,739.972,739.838,-14.086,
4.216,12.5,0,2279,4.97,1186.12,317.671,1.21532,676.464,676.341,-12.897,318.273,0.112103,58.3921,58.3763,-1.3554,734.856,734.718,-14.2524,
4.419,12.5,0,2280,5.0,1193.81,317.196,1.23658,684.68,684.547,-13.4714,317.772,0.111542,58.5227,58.4985,-1.68394,743.2,743.046,-15.1553,
4.669,12.5,0,2280,4.98,1189.03,317.9,1.21749,677.048,676.912,-13.5665,318.526,0.110435,58.1506,58.1302,-1.53806,735.197,735.042,-15.1046,
4.919,12.5,0,2280,4.97,1186.64,317.791,1.23303,681.755,681.65,-11.9407,318.375,0.113037,59.2775,59.2536,-1.68312,741.029,740.904,-13.6238,
5.169,12.5,0,2280,4.97,1186.64,317.352,1.21187,674.558,674.444,-12.3794,317.912,0.111853,58.7578,58.7367,-1.57486,733.314,733.181,-13.9542,
5.419,12.5,0,2278,5.02,1197.53,304.817,1.37923,678.348,678.348,-0.67175,305.425,0.118155,57.8851,57.5779,5.95595,735.945,735.926,5.2842,
5.669,12.5,0,2278,5.02,1197.53,248.649,1.83642,659.248,658.826,23.6005,248.992,0.11665,55.8056,49.8356,25.1134,710.334,708.661,48.7138,
5.919,12.5,0,2277,5.02,1197.0,265.28,1.7187,664.222,664.199,5.56208,265.669,0.116306,53.9768,51.6161,15.7884,716.133,715.815,21.3505,
6.169,12.5,0,2280,4.91,1172.32,317.794,1.20567,669.888,669.646,-18.0189,318.375,0.109359,57.3482,57.3267,-1.56976,727.236,726.972,-19.5886,
6.419,12.5,0,2280,5.11,1220.07,317.423,1.23943,685.018,684.731,-19.8093,317.997,0.114617,60.3985,60.3696,-1.87008,745.416,745.101,-21.6793,
6.669,12.5,0,2280,4.93,1177.09,316.84,1.20508,669.306,669.095,-16.7911,317.431,0.111238,58.2988,58.2762,-1.62594,727.604,727.371,-18.4171,
6.919,12.5,0,2280,5.04,1203.36,317.159,1.24231,686.852,686.662,-16.1631,317.733,0.114304,60.2868,60.2619,-1.7342,747.138,746.923,-17.8973,
7.169,12.5,0,2280,4.98,1189.03,316.931,1.21424,675.31,675.114,-16.2995,317.552,0.110116,58.1285,58.1089,-1.50833,733.439,733.222,-17.8079,
7.419,12.5,0,2281,4.97,1187.16,311.013,1.21886,686.037,685.791,-18.373,311.475,0.115636,61.2951,61.2705,-1.73504,747.332,747.061,-20.108,
7.622,12.5,0,2280,4.93,1177.09,310.536,1.20348,683.177,683.015,-14.8681,311.029,0.114757,60.588,60.5591,-1.86952,743.763,743.575,-16.7376,
7.872,12.5,0,2281,4.95,1182.39,310.603,1.20445,683.023,682.812,-16.9882,311.083,0.116881,61.7053,61.6913,-1.31466,744.728,744.503,-18.3029,
8.122,12.5,0,2281,4.94,1180.0,310.79,1.20424,681.338,681.172,-15.0328,311.215,0.114902,60.4136,60.3891,-1.72057,741.75,741.561,-16.7533,
8.372,12.5,0,2281,4.95,1182.39,310.587,1.21912,684.393,684.205,-16.0227,311.003,0.116143,61.7983,61.7674,-1.9544,746.189,745.972,-17.9771,
8.622,12.5,0,2280,4.95,1181.87,310.448,1.19567,678.541,678.383,-14.6485,310.94,0.115999,61.2864,61.2601,-1.79417,739.825,739.643,-16.4426,
8.872,12.5,0,2280,4.93,1177.09,311.043,1.21803,686.272,686.066,-16.8218,311.544,0.113609,60.011,59.9879,-1.66493,746.283,746.054,-18.4868,
9.122,12.5,0,2280,4.98,1189.03,310.649,1.20009,679.08,678.907,-15.3175,311.129,0.115208,60.8317,60.8073,-1.72206,739.911,739.714,-17.0395,
9.372,12.5,0,2281,4.95,1182.39,310.155,1.21162,683.449,683.191,-18.757,310.595,0.113094,60.3185,60.298,-1.57392,743.767,743.489,-20.3309,
9.622,12.5,0,2281,4.95,1182.39,310.794,1.20334,681.023,680.849,-15.4222,311.287,0.115914,61.1069,61.078,-1.87917,742.128,741.927,-17.3014,
9.872,12.5,0,2281,4.91,1172.83,310.125,1.21132,681.704,681.465,-18.0546,310.623,0.115251,60.7191,60.6998,-1.52922,742.423,742.165,-19.5839,
10.122,12.5,0,2281,4.93,1177.61,311.043,1.20473,679.507,679.337,-15.2309,311.511,0.115668,61.1537,61.1172,-2.11482,740.657,740.454,-17.3457,
10.372,12.5,0,2281,4.95,1182.39,310.503,1.20605,681.334,681.121,-17.0257,310.951,0.114738,60.9629,60.9301,-1.99954,742.295,742.051,-19.0253,
10.622,12.5,0,2280,4.94,1179.48,311.034,1.20835,684.993,684.801,-16.1954,311.477,0.116574,61.403,61.3779,-1.7565,746.395,746.179,-17.9519,
10.872,12.5,0,2281,4.93,1177.61,310.288,1.20497,681.188,680.959,-17.6412,310.737,0.113634,60.4227,60.3983,-1.71755,741.61,741.357,-19.3588,
11.122,12.5,0,2281,4.91,1172.83,307.835,1.19677,680.573,680.377,-16.3384,308.368,0.11327,60.1658,60.1472,-1.49722,740.739,740.524,-17.8357,
11.372,12.5,0,2280,4.98,1189.03,306.685,1.18415,683.155,683.071,-10.7585,307.202,0.113792,60.6021,60.5964,-0.830071,743.757,743.667,-11.5886,
11.622,12.5,0,2279,5.02,1198.05,312.91,1.22296,684.193,684.094,-11.6455,313.488,0.109532,58.2095,58.202,-0.935481,742.403,742.296,-12.581,
11.856,12.5,0,2281,5.03,1201.49,313.856,1.21325,679.712,679.592,-12.778,314.503,0.108491,57.7719,57.7548,-1.40544,737.483,737.347,-14.1834,
12.106,12.5,0,2282,4.93,1178.12,311.039,1.21612,680.189,680.048,-13.8501,311.646,0.10998,58.9489,58.9371,-1.18057,739.138,738.985,-15.0307,
12.31,12.5,0,2282,4.95,1182.9,309.114,1.22149,686.756,686.58,-15.5303,309.71,0.108177,58.4697,58.4506,-1.49693,745.225,745.031,-17.0272,
12.56,12.5,0,2279,4.96,1183.74,313.105,1.2201,676.387,676.262,-13.0465,313.54,0.114602,59.757,59.754,-0.592876,736.142,736.016,-13.6394,
12.778,12.5,0,2281,4.96,1184.77,318.893,1.24276,688.349,688.207,-13.9859,319.425,0.117151,59.5995,59.5956,0.680155,747.921,747.803,-13.3057,
12.997,12.5,0,2279,4.97,1186.12,313.198,1.22618,683.884,683.694,-16.13,313.62,0.114183,59.8238,59.8199,-0.68253,743.704,743.513,-16.8125,
13.216,12.5,0,2280,5.04,1203.36,315.262,1.23376,684.071,683.883,-16.006,315.756,0.114457,59.6084,59.6071,-0.388853,743.671,743.49,-16.3949,
13.45,12.5,0,2281,4.97,1187.16,312.147,1.20037,678.119,677.969,-14.2895,312.727,0.115093,60.8022,60.7966,-0.821734,738.92,738.766,-15.1112,
13.7,12.5,0,2280,4.97,1186.64,312.074,1.23155,685.91,685.753,-14.667,312.637,0.111769,59.4793,59.4577,-1.60394,745.389,745.211,-16.2709,
13.935,12.5,0,2280,4.98,1189.03,307.355,1.19359,685.263,685.121,-13.9416,308.076,0.106366,58.2622,58.2486,-1.25725,743.525,743.37,-15.1988,
14.138,12.5,0,2280,5.0,1193.81,314.73,1.2114,677.653,677.524,-13.2121,315.308,0.111745,59.3126,59.2917,-1.57364,736.964,736.816,-14.7858,
14.388,12.5,0,2282,4.95,1182.9,311.264,1.22489,687.12,686.982,-13.7812,311.757,0.112508,59.1035,59.1001,-0.638364,746.221,746.082,-14.4196,
14.622,12.5,0,2282,4.97,1187.68,312.08,1.20206,682.646,682.512,-13.4897,312.746,0.111324,58.8578,58.8576,-0.123726,741.495,741.37,-13.6134,
14.856,12.5,0,2278,4.99,1190.37,312.936,1.20439,682.926,682.799,-13.1435,313.466,0.113813,60.2566,60.2446,-1.20554,743.182,743.044,-14.349,
15.091,12.5,0,2278,5.01,1195.14,313.337,1.20721,681.209,681.06,-14.2135,313.973,0.11193,59.1152,59.1084,-0.902138,740.323,740.169,-15.1156,
15.325,12.5,0,2280,5.0,1193.81,309.245,1.20075,685.802,685.652,-14.343,309.895,0.110936,59.0017,59.0012,-0.23835,744.796,744.653,-14.5813,
15.575,12.5,0,2281,4.95,1182.39,315.654,1.24286,686.587,686.4,-15.9878,316.157,0.11285,58.6868,58.6757,-1.14311,745.273,745.076,-17.1309,
15.825,12.5,0,2280,4.95,1181.87,311.493,1.19445,682.379,682.235,-14.0273,312.038,0.115785,60.867,60.8523,-1.33395,743.246,743.087,-15.3613,
16.06,12.5,0,2281,4.95,1182.39,316.921,1.23388,680.418,680.275,-13.9479,317.43,0.111913,59.2622,59.2276,-2.0251,739.675,739.502,-15.973,
16.294,12.5,0,2281,4.93,1177.61,308.973,1.19096,677.005,676.864,-13.8027,309.542,0.114363,60.8476,60.8347,-1.25356,737.853,737.699,-15.0562,
16.544,12.5,0,2281,4.96,1184.77,313.585,1.2122,679.919,679.804,-12.5366,314.175,0.110471,58.6232,58.6052,-1.45511,738.541,738.409,-13.9917,
16.778,12.5,0,2280,5.01,1196.19,310.397,1.19729,678.529,678.385,-13.9837,311.017,0.110515,59.4509,59.4245,-1.76998,737.977,737.809,-15.7537,
16.981,12.5,0,2282,4.95,1182.9,315.56,1.22615,682.643,682.46,-15.8276,316.134,0.110627,58.9029,58.876,-1.77775,741.545,741.336,-17.6053,
