t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2282.0,5.02,1199.63,312.334,1.20386,678.306,678.164,-13.8906,312.796,0.11075,58.6046,58.595,-1.06146,736.91,736.758,-14.952
0.216,12.5,0.0,2280.0,4.98,1189.03,308.641,1.20242,678.071,677.913,-14.6202,309.074,0.110603,59.0482,59.0258,-1.62628,737.118,736.939,-16.2464
0.466,12.5,0.0,2281.0,5.0,1194.33,311.682,1.2207,677.154,676.957,-16.3299,312.076,0.109827,58.075,58.0519,-1.64008,735.228,735.009,-17.97
0.716,12.5,0.0,2282.0,5.0,1194.85,313.056,1.19443,675.213,675.08,-13.4014,313.591,0.112285,58.8238,58.8176,-0.85357,734.036,733.897,-14.255
0.966,12.5,0.0,2281.0,4.98,1189.55,310.559,1.19435,675.967,675.797,-15.1414,311.016,0.112332,59.3883,59.3766,-1.17849,735.355,735.174,-16.3199
1.216,12.5,0.0,2282.0,4.99,1192.46,311.095,1.19718,677.747,677.561,-15.8711,311.528,0.109779,58.3088,58.2889,-1.52193,736.055,735.85,-17.393
1.466,12.5,0.0,2281.0,4.99,1191.94,311.091,1.19872,678.989,678.796,-16.2083,311.577,0.111898,59.4998,59.4889,-1.13773,738.488,738.285,-17.346
1.716,12.5,0.0,2282.0,4.97,1187.68,308.538,1.19875,673.692,673.542,-14.215,308.913,0.109112,58.5068,58.4846,-1.6127,732.197,732.026,-15.8277
1.966,12.5,0.0,2282.0,5.01,1197.24,316.561,1.21008,679.745,679.6,-14.0525,317.105,0.111,58.4412,58.4368,-0.718592,738.184,738.036,-14.7711
2.216,12.5,0.0,2281.0,5.0,1194.33,314.894,1.20407,677.003,676.845,-14.6171,315.369,0.11135,58.1751,58.1713,-0.667307,735.175,735.016,-15.2844
2.466,12.5,0.0,2280.0,4.97,1186.64,313.306,1.2061,679.96,679.825,-13.5159,313.725,0.111309,58.7194,58.7144,-0.763963,738.678,738.54,-14.2798
2.716,12.5,0.0,2281.0,4.98,1189.55,313.426,1.19742,675.455,675.315,-13.7496,313.904,0.112074,59.1122,59.1096,-0.559207,734.564,734.425,-14.3088
2.966,12.5,0.0,2281.0,4.96,1184.77,313.78,1.21263,682.787,682.656,-13.3834,314.275,0.112506,59.4872,59.4831,-0.692819,742.273,742.139,-14.0762
