t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.510577,-0.568149,1.07873,-0.0480807,-0.0344459,0.0825265,-0.337018,-0.698623,1.03564,-0.787615,0.16028,0.627334,-0.835696,0.125835,0.709861,1.00201,0.964722,0,-0.0866699,-0.00793457,0.842041,-0.368164,-0.820068,-0.0510254,-0.906738,-0.05896,0.0213623,0.128296,0.0235596,0.00183105,0.231934,-0.0802002,-0.249756,0.114136,-0.226196,0.115967,1.26648
0.002,0.212614,-1.0091,0.796487,-0.0121996,-0.0609979,0.0731975,-0.390232,-0.390654,0.780885,-0.168898,-0.367094,0.535992,-0.181097,-0.428092,0.609189,0.996874,1.03772,0,-0.0644531,0.00219727,0.778687,-0.471436,-0.765015,0.0379639,-0.829468,0.0401611,0.0158691,0.0544434,0.0185547,-0.00756836,0.191284,-0.0179443,-0.218872,0.0576172,-0.200317,0.0500488,1.26648
0.004,0.710236,-0.8449,0.134665,0.0581274,-0.0975966,0.0394692,-0.250694,-0.582385,0.83308,0.661803,-0.789338,0.127535,0.719931,-0.886935,0.167004,0.994898,0.998413,0,-0.088501,-0.0113525,0.836792,-0.491211,-0.833618,0.0360107,-0.922119,0.0246582,-0.0187988,0.111572,-0.00622559,0.0032959,0.244873,-0.0625,-0.28418,0.0950928,-0.290405,0.0983887,1.2666
0.006,0.93047,-0.254395,-0.676075,0.0717622,-0.0602803,-0.011482,-0.640926,-0.602757,1.24368,1.20641,-0.773827,-0.432585,1.27817,-0.834108,-0.444067,0.994503,0.998047,0,-0.0756836,-0.0147705,0.936768,-0.477783,-0.940674,0.00366211,-1.01636,-0.0111084,0.0202637,0.0895996,0.0078125,0.0131836,0.290405,-0.0184326,-0.323364,0.0356445,-0.315552,0.0488281,1.2666
0.008,0.598976,0.494143,-1.09312,0.0631507,-0.00932909,-0.0538217,-0.98977,-0.0575195,1.04729,0.975471,-0.248176,-0.727294,1.03862,-0.257505,-0.781116,0.99885,1.01135,0,-0.0799561,-0.00231934,0.932251,-0.39856,-0.901855,-0.0738525,-0.981812,-0.0761719,-0.00964355,0.120117,-0.000732422,0.0118408,0.223267,-0.0479736,-0.278687,0.0817871,-0.279419,0.0936279,1.2666
0.01,-0.054106,0.906572,-0.852466,0.0495159,0.0272696,-0.0767856,-0.73198,0.152187,0.579793,0.227495,0.398116,-0.625611,0.277011,0.425386,-0.702397,1.00241,0.977783,0,-0.0782471,0.0332031,0.845703,-0.344971,-0.880615,-0.0550537,-0.958862,-0.0218506,0.0637207,0.112549,0.0108643,-0.0020752,0.291382,-0.0467529,-0.270386,0.0761719,-0.259521,0.0740967,1.2666
0.012,-0.650033,0.911197,-0.261164,-0.011482,0.0480807,-0.0365987,-0.7509,0.101858,0.649043,-0.530821,0.761763,-0.230942,-0.542303,0.809844,-0.26754,1.00083,1.01245,0,-0.0578613,0.00219727,0.80542,-0.409424,-0.816528,-0.0166016,-0.87439,-0.0144043,0.0153809,0.0866699,-0.00378418,-0.0163574,0.160522,-0.0458984,-0.185425,0.0739746,-0.189209,0.0576172,1.2666
0.014,-0.910657,0.378509,0.532147,-0.0624331,0.0480807,0.0143524,-1.16715,0.359497,0.807651,-1.10645,0.866893,0.239559,-1.16889,0.914974,0.253912,1.00043,0.981567,0,-0.0568848,0.00549316,0.908081,-0.504028,-0.924316,0.0446777,-0.981201,0.0501709,-0.00830078,0.0863037,-0.00634766,-0.00317383,0.257935,-0.0395508,-0.271484,0.0653076,-0.277832,0.0621338,1.2666
0.016,-0.646985,-0.392385,1.03937,-0.0574098,-0.00358811,0.0609979,-1.16715,0.849611,0.317536,-1.02545,0.425691,0.599759,-1.08286,0.422103,0.660757,1.00438,1.0127,0,-0.0689697,0.00366211,0.884155,-0.448242,-0.869019,0.00842285,-0.937988,0.012085,-0.0374756,0.102051,0.00939941,-0.00866699,0.236572,-0.0751953,-0.267578,0.117798,-0.258179,0.109131,1.2666
0.018,-0.0632506,-0.917364,0.980615,-0.0157877,-0.0660212,0.0818089,-0.702417,0.729779,-0.027362,-0.356753,-0.234389,0.591142,-0.372541,-0.30041,0.672951,1.0028,0.997925,0,-0.0826416,-0.0137939,0.870117,-0.405151,-0.874878,-0.0270996,-0.95752,-0.0408936,-0.00341797,0.116943,0.010376,0.00671387,0.260986,-0.0895996,-0.275269,0.15564,-0.264893,0.162354,1.26648
