t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.95,1182.39,311.372,1.2332,688.161,688.057,-11.9904,311.818,0.11251,57.4988,57.4984,0.228575,745.648,745.555,-11.7618
0.216,12.5,0.0,2281.0,4.94,1180.0,313.053,1.25077,691.904,691.805,-11.7047,313.423,0.112954,57.3852,57.3824,0.572716,749.27,749.187,-11.132
0.466,12.5,0.0,2281.0,4.95,1182.39,314.103,1.24415,689.757,689.608,-14.3307,314.478,0.11124,56.8666,56.8617,0.740662,746.594,746.47,-13.59
0.716,12.5,0.0,2280.0,4.96,1184.25,313.705,1.23885,687.126,687.014,-12.3595,314.135,0.114319,58.2865,58.2837,0.57831,745.391,745.298,-11.7811
0.966,12.5,0.0,2280.0,4.97,1186.64,312.451,1.23212,684.783,684.649,-13.532,312.872,0.111725,56.9798,56.9732,0.867482,741.731,741.623,-12.6645
1.216,12.5,0.0,2280.0,5.01,1196.19,313.937,1.22139,686.739,686.664,-10.092,314.556,0.106314,56.4209,56.4113,-1.04606,743.159,743.076,-11.1381
1.466,12.5,0.0,2281.0,4.96,1184.77,311.529,1.20106,682.26,682.138,-12.9207,312.176,0.106826,56.5444,56.5429,-0.411338,738.801,738.68,-13.332
1.716,12.5,0.0,2279.0,5.01,1195.67,309.947,1.21155,688.199,688.118,-10.6079,310.529,0.107245,56.6473,56.6467,-0.259607,744.844,744.764,-10.8676
1.966,12.5,0.0,2281.0,4.97,1187.16,308.536,1.21852,686.32,686.151,-15.2138,309.097,0.107723,56.741,56.741,0.077759,743.046,742.892,-15.136
2.216,12.5,0.0,2280.0,4.97,1186.64,317.474,1.24005,685.519,685.389,-13.3548,318.019,0.106825,56.4072,56.3831,-1.64765,741.924,741.772,-15.0024
2.466,12.5,0.0,2280.0,4.97,1186.64,314.737,1.21838,686.068,685.935,-13.5037,315.406,0.106481,56.5169,56.5104,-0.854002,742.584,742.445,-14.3577
2.716,12.5,0.0,2279.0,5.02,1198.05,313.643,1.22032,686.338,686.202,-13.6666,314.279,0.105599,56.1684,56.1654,-0.580507,742.504,742.367,-14.2471
2.966,12.5,0.0,2280.0,5.02,1198.58,310.464,1.21498,690.179,690.053,-13.1704,311.07,0.106776,56.652,56.6519,-0.115699,746.823,746.705,-13.2861
3.216,12.5,0.0,2279.0,4.98,1188.51,309.644,1.2052,684.551,684.412,-13.8032,310.218,0.109887,57.7836,57.7836,-0.0171093,742.324,742.196,-13.8203
