t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.96,1184.77,317.133,1.22803,678.038,677.92,-12.6679,317.637,0.111283,58.2974,58.2738,-1.66107,736.333,736.194,-14.329
0.231,12.5,0.0,2280.0,4.94,1179.48,318.018,1.24466,682.823,682.723,-11.6623,318.53,0.111619,58.2817,58.2553,-1.75564,741.1,740.979,-13.418
0.481,12.5,0.0,2281.0,4.94,1180.0,318.115,1.23256,679.866,679.773,-11.2064,318.734,0.112696,58.9814,58.9497,-1.93199,738.84,738.723,-13.1383
0.731,12.5,0.0,2280.0,4.99,1191.42,316.45,1.20687,679.647,679.566,-10.4439,317.137,0.109676,57.7,57.6902,-1.06468,737.346,737.257,-11.5086
0.981,12.5,0.0,2281.0,4.96,1184.77,318.289,1.21699,677.178,677.076,-11.7545,318.913,0.111432,58.5681,58.5524,-1.35449,735.745,735.628,-13.109
1.231,12.5,0.0,2280.0,4.97,1186.64,310.761,1.21773,680.612,680.407,-16.6764,311.213,0.111825,59.4457,59.4205,-1.73146,740.057,739.828,-18.4078
1.466,12.5,0.0,2280.0,4.98,1189.03,314.811,1.24438,689.399,689.177,-17.5045,315.249,0.112683,57.9629,57.9569,0.830549,747.32,747.134,-16.674
1.716,12.5,0.0,2279.0,5.0,1193.28,319.657,1.24355,684.097,683.92,-15.5303,320.12,0.115557,59.4063,59.4063,-0.00629299,743.489,743.327,-15.5366
1.966,12.5,0.0,2278.0,4.97,1185.6,309.53,1.1982,682.289,682.168,-12.8809,310.179,0.11069,58.9692,58.969,-0.175426,741.252,741.137,-13.0564
2.216,12.5,0.0,2279.0,5.01,1195.67,310.946,1.22158,686.003,685.84,-14.917,311.489,0.112398,58.3625,58.3615,0.340321,744.345,744.202,-14.5767
2.466,12.5,0.0,2279.0,4.94,1178.96,314.332,1.24297,689.351,689.234,-12.7291,314.778,0.114277,58.7678,58.7659,0.462558,748.1,747.999,-12.2666
2.716,12.5,0.0,2280.0,4.96,1184.25,314.173,1.24185,690.104,689.948,-14.6475,314.665,0.11315,58.3458,58.3439,0.469476,748.426,748.292,-14.178
2.966,12.5,0.0,2279.0,4.94,1178.96,311.882,1.21005,687.707,687.525,-15.8101,312.549,0.109364,58.0376,58.0345,-0.595078,745.74,745.559,-16.4052
3.216,12.5,0.0,2279.0,4.99,1190.9,309.058,1.20271,682.075,681.911,-14.923,309.569,0.111364,58.3531,58.3531,0.0665298,740.414,740.265,-14.8564
3.466,12.5,0.0,2280.0,4.95,1181.87,310.201,1.21753,684.609,684.422,-16.0053,310.726,0.112545,59.2123,59.211,0.386087,743.797,743.633,-15.6193
3.716,12.5,0.0,2279.0,4.97,1186.12,312.625,1.22507,682.501,682.334,-15.0871,313.139,0.111656,57.77,57.7679,0.494732,740.246,740.102,-14.5924
3.966,12.5,0.0,2279.0,5.0,1193.28,312.648,1.23504,689.985,689.865,-12.8553,313.122,0.113783,59.0367,59.036,0.274852,749.007,748.901,-12.5804
4.216,12.5,0.0,2279.0,4.98,1188.51,315.571,1.23581,680.746,680.592,-14.4893,315.987,0.113791,58.7115,58.7094,0.493747,739.434,739.302,-13.9955
4.466,12.5,0.0,2280.0,4.97,1186.64,310.508,1.21414,687.066,686.925,-13.9547,311.186,0.110272,57.849,57.8477,0.377396,744.896,744.772,-13.5773
4.716,12.5,0.0,2279.0,4.98,1188.51,310.506,1.21773,683.13,682.98,-14.3161,311.018,0.112402,58.3046,58.3041,0.231975,741.417,741.284,-14.0841
4.966,12.5,0.0,2280.0,4.98,1189.03,315.761,1.24907,691.156,690.965,-16.2736,316.213,0.116196,58.9704,58.9687,0.444798,750.101,749.934,-15.8288
5.216,12.5,0.0,2280.0,4.98,1189.03,310.393,1.20484,681.754,681.621,-13.4457,311.013,0.10936,58.3185,58.3183,0.138074,740.059,739.94,-13.3076
5.466,12.5,0.0,2280.0,4.71,1124.56,235.489,2.05015,571.498,563.375,96.0179,235.926,0.397016,112.761,54.226,98.8665,647.619,617.601,194.884
5.716,12.5,0.0,2288.0,4.89,1171.64,132.089,2.81889,556.795,503.798,237.082,131.502,0.511343,197.47,39.1535,193.549,692.993,542.952,430.631
5.966,12.5,0.16,2283.0,5.26,1257.54,132.094,2.79831,542.269,493.812,224.066,131.632,0.503465,194.06,39.8981,189.914,675.445,533.71,413.98
6.169,12.5,0.0,2280.0,5.42,1294.08,318.641,1.3909,772.117,772.117,-0.0584469,319.166,0.130058,69.9114,69.8654,-2.53502,841.987,841.983,-2.59346
6.403,12.5,0.0,2279.0,4.76,1136.0,312.885,1.20864,682.869,682.851,4.9075,313.335,0.107626,57.0705,57.0618,-0.99607,739.923,739.913,3.91143
6.653,12.5,0.0,2281.0,5.0,1194.33,315.539,1.25127,685.053,685.045,-3.31971,315.984,0.111244,58.7059,58.6677,-2.11744,743.732,743.712,-5.43714
6.903,12.5,0.0,2280.0,4.97,1186.64,311.889,1.24805,691.4,691.377,-5.70769,312.261,0.111885,59.3503,59.32,-1.89573,750.735,750.697,-7.60341
7.153,12.5,0.0,2279.0,4.92,1174.19,313.374,1.21908,673.478,673.467,-3.88808,313.798,0.109385,57.4043,57.3706,-1.96472,730.861,730.838,-5.85279
7.403,12.5,0.0,2280.0,4.96,1184.25,312.692,1.23901,685.491,685.45,-7.53714,313.119,0.108891,57.9389,57.911,-1.80024,743.419,743.361,-9.33739
7.653,12.5,0.0,2279.0,4.96,1183.74,312.455,1.22919,681.574,681.522,-8.47597,312.881,0.1089,57.8571,57.8238,-1.96049,739.419,739.346,-10.4365
7.856,12.5,0.0,2278.0,4.98,1187.99,311.867,1.22411,680.584,680.53,-8.51168,312.322,0.110866,58.71,58.6798,-1.88486,739.283,739.21,-10.3965
8.106,12.5,0.0,2280.0,4.95,1181.87,312.214,1.22231,678.133,678.064,-9.63455,312.662,0.110709,58.7017,58.664,-2.10205,736.822,736.728,-11.7366
8.356,12.5,0.0,2279.0,4.95,1181.35,312.362,1.21887,677.036,676.944,-11.1934,312.735,0.110298,58.3817,58.3461,-2.03936,735.409,735.29,-13.2327
8.606,12.5,0.0,2280.0,5.01,1196.19,312.017,1.22493,681.174,681.079,-11.355,312.397,0.111749,59.3917,59.3655,-1.76371,740.561,740.445,-13.1187
8.856,12.5,0.0,2280.0,4.95,1181.87,312.336,1.22354,679.458,679.335,-12.9204,312.741,0.111455,58.7582,58.7266,-1.92698,738.211,738.061,-14.8474
9.106,12.5,0.0,2280.0,5.0,1193.81,313.087,1.22574,685.152,685.063,-11.0143,313.537,0.113819,60.0661,60.0269,-2.16829,745.207,745.09,-13.1825
9.356,12.5,0.0,2280.0,4.96,1184.25,311.038,1.2197,682.021,681.906,-12.4944,311.522,0.110661,59.0006,58.9791,-1.59156,741.019,740.886,-14.0859
9.606,12.5,0.0,2279.0,4.97,1186.12,311.28,1.21672,679.653,679.559,-11.2734,311.704,0.114149,60.376,60.3457,-1.91237,740.022,739.905,-13.1858
9.856,12.5,0.0,2280.0,4.98,1189.03,311.154,1.21883,685.097,684.973,-13.0289,311.618,0.112237,59.7156,59.6868,-1.85551,744.809,744.66,-14.8844
10.106,12.5,0.0,2280.0,4.98,1189.03,311.649,1.21418,680.736,680.629,-12.0589,312.078,0.114224,60.1968,60.1617,-2.05631,740.926,740.791,-14.1152
10.356,12.5,0.0,2280.0,4.97,1186.64,310.782,1.22673,683.5,683.37,-13.3763,311.224,0.112416,59.9076,59.8799,-1.82267,743.405,743.249,-15.199
10.606,12.5,0.0,2280.0,4.98,1189.03,311.37,1.21341,678.981,678.863,-12.6654,311.872,0.113266,60.0823,60.0488,-2.00408,739.058,738.912,-14.6695
10.856,12.5,0.0,2280.0,4.98,1189.03,311.737,1.22569,685.703,685.521,-15.8096,312.197,0.112559,59.5715,59.5469,-1.7119,745.274,745.068,-17.5214
11.106,12.5,0.0,2282.0,4.93,1178.12,311.192,1.2171,681.359,681.265,-11.3109,311.67,0.1132,59.8731,59.8463,-1.7897,741.227,741.112,-13.1006
11.341,12.5,0.0,2280.0,4.97,1186.64,314.457,1.20539,680.823,680.709,-12.4593,314.976,0.1152,60.3598,60.3543,-0.817837,741.182,741.063,-13.2771
11.591,12.5,0.0,2283.0,4.98,1190.59,315.089,1.22431,687.36,687.212,-14.241,315.65,0.110872,58.7571,58.7324,-1.70262,746.115,745.945,-15.9436
11.809,12.5,0.0,2281.0,4.93,1177.61,312.701,1.21804,680.039,679.902,-13.64,313.198,0.11387,59.8213,59.8103,-1.1482,739.86,739.712,-14.7882
12.013,12.5,0.0,2281.0,4.94,1180.0,312.078,1.22624,682.284,682.173,-12.2887,312.591,0.114606,59.5936,59.5924,0.378923,741.861,741.766,-11.9098
12.263,12.5,0.0,2281.0,4.96,1184.77,318.419,1.22303,683.823,683.629,-16.2665,318.967,0.111179,58.6355,58.6147,-1.56029,742.458,742.244,-17.8268
12.466,12.5,0.0,2280.0,4.99,1191.42,315.122,1.23587,686.853,686.71,-14.0408,315.637,0.112335,59.4614,59.4263,-2.04316,746.309,746.136,-16.084
12.684,12.5,0.0,2282.0,4.95,1182.9,316.849,1.23225,682.207,682.064,-13.9634,317.238,0.116039,60.1891,60.1722,-1.42627,742.396,742.236,-15.3897
12.919,12.5,0.0,2280.0,4.98,1189.03,315.406,1.24061,682.075,681.952,-12.9638,315.815,0.113951,59.6046,59.5743,-1.89859,741.675,741.526,-14.8624
