t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2281,4.99,1191.94,315.597,1.20766,680.354,680.185,-15.1612,316.158,0.113905,59.3295,59.3234,-0.854285,739.682,739.508,-16.0155,
0.263,12.5,0,2281,4.95,1182.39,317.304,1.22464,685.244,685.074,-15.2684,317.757,0.113885,59.4157,59.4126,-0.608366,744.656,744.486,-15.8767,
0.513,12.5,0,2280,4.98,1189.03,315.14,1.20571,682.699,682.555,-14.0667,315.676,0.110108,57.8365,57.832,-0.724102,740.534,740.387,-14.7908,
0.763,12.5,0,2282,4.93,1178.12,311.688,1.21134,680.481,680.32,-14.7967,312.163,0.112434,59.7244,59.706,-1.48468,740.205,740.026,-16.2814,
1.013,12.5,0,2281,4.94,1180.0,318.503,1.22655,680.417,680.251,-15.0217,319.062,0.114098,58.7704,58.7697,-0.290661,739.179,739.021,-15.3124,
1.263,12.5,0,2281,4.93,1177.61,317.094,1.21882,685.044,684.913,-13.3894,317.621,0.113173,59.1659,59.1617,-0.70766,744.209,744.075,-14.097,
1.513,12.5,0,2281,4.95,1182.39,317.504,1.21713,682.131,681.996,-13.5411,317.975,0.113061,58.863,58.8611,-0.475095,740.99,740.857,-14.0162,
1.763,12.5,0,2282,4.95,1182.9,313.201,1.21242,686.387,686.222,-15.0286,313.742,0.111901,59.3091,59.2943,-1.32524,745.696,745.517,-16.3539,
2.013,12.5,0,2281,4.98,1189.55,311.956,1.20433,680.859,680.724,-13.5636,312.369,0.113881,60.1928,60.1857,-0.92474,741.052,740.91,-14.4884,
2.263,12.5,0,2280,4.96,1184.25,319.427,1.2389,680.615,680.459,-14.5655,319.852,0.113257,57.9646,57.9645,0.100633,738.566,738.424,-14.4648,
2.513,12.5,0,2279,4.98,1188.51,319.521,1.24451,688.835,688.667,-15.209,320.024,0.114472,58.7295,58.7268,-0.559012,747.561,747.394,-15.768,
2.763,12.5,0,2280,4.92,1174.7,319.232,1.23211,682.677,682.536,-13.8828,319.73,0.115005,58.8861,58.8859,-0.132394,741.554,741.422,-14.0152,
3.013,12.5,0,2279,4.97,1186.12,318.29,1.23127,689.041,688.828,-17.1249,318.78,0.116305,59.9543,59.9541,-0.146128,748.981,748.782,-17.271,
3.263,12.5,0,2281,4.94,1180.0,313.448,1.23269,683.762,683.631,-13.3477,313.924,0.111498,57.8201,57.8193,0.313832,741.565,741.45,-13.0338,
3.513,12.5,0,2280,4.96,1184.25,317.56,1.24924,687.636,687.45,-15.9615,318.014,0.114202,58.6698,58.6683,0.4315,746.28,746.119,-15.53,
3.763,12.5,0,2280,5.0,1193.81,316.763,1.23147,681.765,681.614,-14.3491,317.209,0.114331,58.9207,58.9184,0.516533,740.661,740.532,-13.8326,
4.013,12.5,0,2280,4.99,1191.42,316.363,1.24293,687.183,686.983,-16.5611,316.758,0.112889,58.0912,58.0908,0.227415,745.253,745.074,-16.3337,
