t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.98,1189.55,318.193,1.23524,681.77,681.654,-12.5713,318.684,0.111022,58.2017,58.1717,-1.87074,739.967,739.826,-14.442
0.247,12.5,0.0,2282.0,4.91,1173.35,309.406,1.21862,685.742,685.55,-16.215,309.741,0.11133,58.818,58.7978,-1.54242,744.559,744.348,-17.7575
0.497,12.5,0.0,2281.0,4.96,1184.77,313.899,1.24248,685.802,685.597,-16.7611,314.261,0.111296,58.3493,58.328,-1.57745,744.151,743.925,-18.3386
0.747,12.5,0.0,2281.0,4.92,1175.22,313.389,1.23209,681.104,680.901,-16.6308,313.751,0.110062,58.071,58.0467,-1.67919,739.175,738.948,-18.31
0.997,12.5,0.0,2280.0,4.99,1191.42,315.762,1.23952,682.368,682.227,-13.8733,316.173,0.111667,58.7671,58.731,-2.05953,741.129,740.958,-15.9328
1.247,12.5,0.0,2281.0,4.94,1180.0,311.491,1.20702,685.961,685.8,-14.8457,311.9,0.113042,58.8958,58.8709,-1.71232,744.855,744.671,-16.558
1.497,12.5,0.0,2280.0,4.94,1179.48,311.025,1.22013,686.922,686.79,-13.4909,311.402,0.113127,59.4647,59.4323,-1.96304,746.382,746.222,-15.4539
1.747,12.5,0.0,2281.0,4.96,1184.77,310.161,1.22172,685.098,684.903,-16.3344,310.55,0.110688,57.9497,57.9295,-1.52948,743.048,742.833,-17.8639
1.997,12.5,0.0,2280.0,4.97,1186.64,315.69,1.23972,678.887,678.787,-11.6458,316.08,0.113584,59.5529,59.5048,-2.39509,738.426,738.292,-14.0409
2.247,12.5,0.0,2281.0,4.94,1180.0,317.43,1.24099,683.014,682.87,-14.0204,317.848,0.110894,58.0472,58.0235,-1.65704,741.06,740.894,-15.6774
2.497,12.5,0.0,2280.0,4.99,1191.42,310.667,1.21443,686.289,686.162,-13.2149,311.121,0.112538,59.1161,59.0865,-1.86942,745.401,745.249,-15.0843
2.747,12.5,0.0,2281.0,4.95,1182.39,311.029,1.22188,688.426,688.262,-15.0218,311.461,0.112836,59.3089,59.2738,-2.0403,747.73,747.536,-17.0621
2.997,12.5,0.0,2280.0,4.95,1181.87,311.565,1.23218,683.841,683.642,-16.4863,311.929,0.110875,58.3727,58.347,-1.73485,742.212,741.989,-18.2212
3.247,12.5,0.0,2282.0,4.93,1178.12,316.35,1.24665,688.993,688.815,-15.6581,316.769,0.110399,57.8173,57.7822,-2.01532,746.806,746.597,-17.6734
3.497,12.5,0.0,2280.0,4.98,1189.03,311.048,1.20864,685.014,684.864,-14.3375,311.46,0.113191,59.4095,59.3935,-1.37804,744.424,744.258,-15.7155
3.747,12.5,0.0,2282.0,4.93,1178.12,311.921,1.20654,682.146,681.986,-14.7746,312.284,0.114553,60.2636,60.249,-1.32724,742.409,742.235,-16.1018
3.997,12.5,0.0,2281.0,4.98,1189.55,310.801,1.22706,687.229,687.04,-16.1308,311.189,0.112201,59.1932,59.1617,-1.93205,746.42,746.202,-18.0628
4.247,12.5,0.0,2281.0,4.96,1184.77,313.267,1.227,678.763,678.633,-13.2864,313.651,0.110868,58.3278,58.2992,-1.82768,737.087,736.932,-15.114
4.497,12.5,0.0,2280.0,4.97,1186.64,312.114,1.21744,692.085,691.893,-16.284,312.572,0.114033,59.7145,59.7006,-1.28439,751.799,751.594,-17.5684
4.747,12.5,0.0,2282.0,4.97,1187.68,310.362,1.22215,685.122,684.921,-16.5724,310.817,0.111422,58.6247,58.5966,-1.8141,743.745,743.518,-18.3865
4.997,12.5,0.0,2280.0,4.99,1191.42,311.905,1.22562,679.353,679.271,-10.5207,312.298,0.113347,59.7586,59.7219,-2.09506,739.101,738.993,-12.6158
5.247,12.5,0.0,2278.0,5.09,1214.23,315.26,1.21248,685.383,685.234,-14.2897,315.592,0.113853,59.4151,59.408,-0.922613,744.798,744.642,-15.2123
5.497,12.5,0.16,2294.0,4.41,1059.4,225.348,1.26763,498.106,457.647,196.644,224.853,0.509639,168.354,-10.3982,168.033,577.08,447.249,364.677
5.7,12.5,0.96,2313.0,4.45,1077.86,229.565,1.32388,516.716,472.845,208.36,229.046,0.498596,169.29,-2.8074,169.267,602.94,470.037,377.627
5.95,12.5,1.6,2309.0,5.36,1296.04,307.736,1.689,795.463,795.171,21.5392,307.965,0.168828,86.7891,86.0182,-11.5421,881.246,881.19,9.99708
6.169,12.5,1.44,2290.0,5.46,1309.35,286.992,1.7916,751.19,750.935,19.5737,287.212,0.144375,79.2152,79.2123,-0.671237,830.362,830.147,18.9025
6.403,12.5,1.12,2275.0,5.34,1272.19,294.893,1.79335,744.073,743.888,16.5805,294.967,0.135988,70.7059,70.7057,0.145646,814.766,814.594,16.7262
6.653,12.5,0.96,2279.0,4.62,1102.59,288.159,1.52926,643.195,642.971,16.9704,288.413,0.10331,54.7643,54.7643,0.00974984,697.942,697.735,16.9801
6.856,12.5,0.8,2281.0,4.98,1189.55,288.794,1.51954,640.303,640.187,12.1557,289.091,0.103196,54.4832,54.4832,-0.0227863,694.776,694.67,12.1329
7.106,12.5,0.64,2280.0,4.9,1169.93,288.785,1.59068,670.516,670.446,9.70784,289.047,0.111588,60.0636,60.0619,-0.451076,730.566,730.508,9.25676
7.356,12.5,0.48,2278.0,4.94,1178.44,288.785,1.53792,648.501,648.403,11.2872,289.067,0.109418,56.3524,56.3512,-0.358043,704.838,704.754,10.9292
7.606,12.5,0.48,2278.0,5.01,1195.14,295.384,1.62634,673.107,673.01,11.4416,295.584,0.112809,60.0381,60.0079,-1.90676,733.08,733.018,9.5348
7.81,12.5,0.32,2278.0,4.94,1178.44,295.268,1.60333,663.366,663.285,10.3366,295.414,0.111092,57.9619,57.9346,-1.77946,721.271,721.22,8.55716
8.06,12.5,0.16,2278.0,5.02,1197.53,288.596,1.5782,662.408,662.347,9.03356,288.878,0.112715,60.0119,60.0114,-0.239069,722.411,722.358,8.79449
8.325,12.5,0.0,2277.0,5.02,1197.0,295.72,1.62543,672.863,672.798,9.40427,295.888,0.111795,59.3824,59.367,-1.35438,732.209,732.165,8.04989
8.575,12.5,0.0,2278.0,4.96,1183.22,295.204,1.61947,670.374,670.301,9.89402,295.32,0.112806,59.6598,59.6368,-1.65509,729.984,729.938,8.23893
8.825,12.5,0.0,2278.0,5.0,1192.76,293.031,1.61402,669.029,668.907,12.7552,293.152,0.113211,60.3864,60.3607,-1.7621,729.351,729.268,10.9931
9.075,12.5,0.0,2279.0,5.01,1195.67,292.738,1.63604,677.144,677.062,10.5684,292.874,0.113783,60.8865,60.8495,-2.12232,737.96,737.911,8.44612
9.325,12.5,0.0,2279.0,5.02,1198.05,292.855,1.62524,672.557,672.428,13.1911,292.997,0.112595,59.9868,59.9641,-1.65096,732.483,732.392,11.5402
9.575,12.5,0.0,2279.0,5.01,1195.67,292.402,1.62385,671.993,671.886,11.9716,292.536,0.114525,60.8981,60.8643,-2.02903,732.818,732.751,9.9426
9.825,12.5,0.0,2279.0,5.01,1195.67,292.591,1.62553,672.837,672.709,13.1241,292.747,0.113524,60.2768,60.2547,-1.63472,733.054,732.964,11.4894
10.075,12.5,0.0,2280.0,4.96,1184.25,292.205,1.6261,673.507,673.38,13.0725,292.384,0.11439,60.7834,60.7501,-2.01365,734.213,734.13,11.0588
10.325,12.5,0.0,2280.0,5.05,1205.74,292.381,1.62706,673.51,673.331,15.5636,292.477,0.114354,60.4995,60.4735,-1.77354,733.934,733.804,13.7901
10.575,12.5,0.0,2280.0,4.98,1189.03,291.642,1.62162,670.894,670.748,13.9785,291.796,0.115476,61.4112,61.371,-2.22093,732.214,732.119,11.7576
10.825,12.5,0.0,2281.0,4.98,1189.55,294.075,1.60812,667.315,667.308,2.89932,294.426,0.111921,59.2576,59.2341,-1.66776,726.544,726.542,1.23156
11.06,12.5,0.0,2280.0,4.97,1186.64,292.164,1.60999,670.146,670.107,7.26676,292.422,0.115534,60.2117,60.2096,0.495408,730.358,730.317,7.76217
11.278,12.5,0.0,2281.0,4.91,1172.83,293.694,1.6251,674.107,674.003,11.822,293.838,0.117796,61.087,61.0868,-0.145394,735.183,735.09,11.6766
11.481,12.5,0.0,2281.0,4.94,1180.0,287.886,1.57952,661.844,661.826,-4.87158,288.224,0.10922,60.0873,60.0536,-2.01451,721.913,721.88,-6.88609
11.716,12.5,0.0,2280.0,5.05,1205.74,294.278,1.60053,662.292,662.291,-1.55025,294.575,0.110911,59.6798,59.633,-2.36213,721.934,721.924,-3.91238
11.919,12.5,0.0,2282.0,4.95,1182.9,289.204,1.5903,663.391,663.39,1.19126,289.505,0.112297,60.8511,60.8021,-2.44269,724.193,724.192,-1.25143
12.169,12.5,0.0,2281.0,5.03,1201.49,288.489,1.59096,668.104,668.083,5.28745,288.701,0.112591,59.6184,59.618,0.214349,727.722,727.701,5.5018
12.419,12.5,0.0,2280.0,4.99,1191.42,291.329,1.6233,674.99,674.927,9.25945,291.484,0.116245,61.0685,61.0651,-0.648342,736.042,735.992,8.61111
12.638,12.5,0.0,2283.0,4.98,1190.59,291.808,1.59729,662.174,662.15,5.59844,292.098,0.113703,60.8867,60.86,-1.80066,723.02,723.01,3.79778
12.856,12.5,0.0,2282.0,4.97,1187.68,301.012,1.65542,679.585,679.582,-1.93676,301.191,0.117089,60.3754,60.3635,-1.1988,739.952,739.946,-3.13556
13.06,12.5,0.0,2279.0,4.99,1190.9,292.197,1.60535,664.916,664.916,0.793178,292.434,0.113597,60.4071,60.3703,-2.10596,725.287,725.286,-1.31278
13.294,12.5,0.0,2281.0,4.98,1189.55,291.004,1.60709,668.671,668.592,10.2405,291.177,0.118483,61.8663,61.8605,0.843323,730.537,730.453,11.0838
13.513,12.5,0.0,2281.0,4.97,1187.16,292.929,1.6181,671.966,671.95,4.60163,293.12,0.114977,60.5227,60.5181,-0.744726,732.478,732.468,3.8569
13.716,12.5,0.0,2280.0,5.03,1200.97,292.209,1.60652,668.555,668.499,8.65271,292.361,0.117635,61.1388,61.1376,0.384532,729.692,729.636,9.03724
13.919,12.5,0.0,2280.0,4.96,1184.25,292.118,1.62161,671.279,671.259,5.25199,292.346,0.110624,58.9662,58.9323,-1.99845,730.198,730.191,3.25354
14.185,12.5,0.0,2279.0,4.98,1188.51,292.783,1.62855,672.54,672.493,7.92587,292.923,0.114807,60.3822,60.3544,-1.83195,732.873,732.847,6.09392
14.403,12.5,0.0,2278.0,4.99,1190.37,292.485,1.61342,669.637,669.635,-1.61832,292.834,0.109038,58.6304,58.6254,-0.762057,728.264,728.26,-2.38037
14.653,12.5,0.0,2279.0,4.97,1186.12,290.305,1.60942,671.768,671.707,9.07322,290.446,0.11669,60.3095,60.3075,0.492633,732.077,732.015,9.56586
14.903,12.5,0.0,2280.0,4.96,1184.25,294.784,1.62923,672.004,671.991,4.05551,294.995,0.113205,60.1942,60.1747,-1.53157,732.171,732.166,2.52394
15.122,12.5,0.0,2282.0,4.94,1180.51,290.349,1.61698,670.493,670.353,13.7277,290.425,0.118304,62.2021,62.2021,0.040603,732.684,732.555,13.7683
15.341,12.5,0.0,2283.0,4.94,1181.03,292.079,1.62861,673.063,673.031,6.52015,292.224,0.113814,60.8779,60.8439,-2.0348,733.889,733.875,4.48535
15.544,12.5,0.0,2280.0,4.94,1179.48,296.011,1.61137,668.276,668.275,1.07574,296.166,0.117943,61.1067,61.1035,-0.624985,729.379,729.378,0.45076
15.778,12.5,0.0,2281.0,4.98,1189.55,297.314,1.62575,670.395,670.38,-4.45373,297.628,0.114682,60.6299,60.5648,-2.80865,730.981,730.945,-7.26239
15.997,12.5,0.0,2280.0,4.95,1181.87,296.682,1.62603,672.736,672.728,3.25529,296.843,0.116931,60.1473,60.1461,-0.380044,732.88,732.874,2.87525
16.216,12.5,0.0,2282.0,4.99,1192.46,287.139,1.59271,665.48,665.461,4.94461,287.436,0.110627,59.9157,59.864,-2.48819,725.33,725.325,2.45642
16.45,12.5,0.0,2281.0,4.94,1180.0,294.708,1.62773,675.455,675.437,4.98403,294.763,0.118444,60.2821,60.2768,0.797646,735.736,735.714,5.78168
16.7,12.5,0.0,2280.0,5.01,1196.19,294.859,1.64314,681.876,681.857,4.99941,294.922,0.11703,60.2094,60.2007,1.02488,742.083,742.058,6.0243
16.95,12.5,0.0,2281.0,4.96,1184.77,294.554,1.6293,676.689,676.668,5.27209,294.631,0.117282,60.366,60.3602,0.839213,737.054,737.029,6.1113
17.2,12.5,0.0,2280.0,5.03,1200.97,294.169,1.64289,682.426,682.401,5.86392,294.233,0.117416,60.6137,60.6087,0.77711,743.039,743.009,6.64103
17.45,12.5,0.0,2280.0,5.01,1196.19,295.547,1.62942,676.988,676.976,3.93497,295.615,0.118017,60.6234,60.6209,0.550146,737.611,737.597,4.48512
17.7,12.5,0.0,2280.0,4.99,1191.42,293.971,1.62998,677.703,677.672,6.52509,294.075,0.118405,60.9697,60.9659,0.679969,738.673,738.637,7.20506
17.95,12.5,0.0,2281.0,4.97,1187.16,294.596,1.63923,679.904,679.861,7.68458,294.649,0.116853,60.5043,60.5014,0.59115,740.408,740.362,8.27573
18.2,12.5,0.0,2280.0,4.98,1189.03,293.68,1.63876,681.017,680.972,7.81649,293.781,0.117033,60.4742,60.4723,0.482612,741.491,741.444,8.2991
18.45,12.5,0.0,2281.0,5.02,1199.11,293.432,1.63552,679.868,679.811,8.80121,293.513,0.116124,59.6826,59.6808,0.473418,739.55,739.492,9.27462
18.7,12.5,0.0,2281.0,4.95,1182.39,294.265,1.63006,677.65,677.593,8.79585,294.342,0.116926,59.9989,59.9939,0.776857,737.649,737.587,9.57271
