t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,4.98,1189.55,311.743,1.19875,676.099,675.955,-13.9426,312.304,0.110473,57.6758,57.6757,-0.118483,733.766,733.631,-14.0611
0.231,12.5,0.0,2281.0,4.95,1182.39,316.2,1.21321,675.768,675.608,-14.7049,316.77,0.108069,57.6176,57.5857,-1.91656,733.383,733.194,-16.6214
0.481,12.5,0.0,2279.0,5.02,1198.05,314.838,1.21606,681.547,681.375,-15.306,315.296,0.11411,59.1534,59.1534,-0.0453715,740.688,740.528,-15.3513
0.747,12.5,0.0,2280.0,5.01,1196.19,313.182,1.20397,679.095,678.96,-13.557,313.749,0.10875,57.1755,57.1723,0.606442,736.246,736.132,-12.9506
0.997,12.5,0.0,2280.0,4.98,1189.03,315.335,1.19906,670.582,670.479,-11.7416,315.99,0.108694,57.9093,57.8857,-1.65315,728.488,728.365,-13.3947
1.247,12.5,0.0,2282.0,4.97,1187.68,318.42,1.21313,679.7,679.528,-15.302,318.893,0.112532,58.3908,58.3883,-0.540255,738.086,737.916,-15.8422
1.512,12.5,0.0,2279.0,4.95,1181.35,312.887,1.18861,674.963,674.835,-13.1239,313.525,0.108676,57.3848,57.3822,-0.538507,732.345,732.218,-13.6624
1.762,12.5,0.0,2279.0,4.99,1190.9,315.491,1.21387,679.014,678.839,-15.4211,316.007,0.110452,59.2124,59.1949,-1.44325,738.227,738.034,-16.8644
1.997,12.5,0.0,2280.0,4.96,1184.25,313.652,1.21261,679.38,679.228,-14.3765,314.164,0.111209,57.5414,57.5406,0.305502,736.903,736.768,-14.071
2.247,12.5,0.0,2280.0,4.98,1189.03,316.997,1.21139,674.978,674.842,-13.5687,317.602,0.105994,56.982,56.9557,-1.72794,731.957,731.797,-15.2967
2.497,12.5,0.0,2279.0,4.98,1188.51,314.848,1.20693,675.755,675.542,-16.9564,315.26,0.112086,59.1024,59.0992,-0.617933,734.851,734.641,-17.5743
2.747,12.5,0.0,2279.0,4.98,1188.51,314.173,1.20654,678.831,678.71,-12.8124,314.719,0.109362,57.384,57.3837,-0.164074,736.208,736.094,-12.9765
2.997,12.5,0.0,2281.0,4.97,1187.16,315.026,1.20088,672.815,672.659,-14.4781,315.467,0.112366,58.8728,58.8575,-1.34251,731.688,731.517,-15.8206
3.247,12.5,0.0,2281.0,4.98,1189.55,313.977,1.21137,682.794,682.647,-14.1574,314.54,0.11108,58.0048,58.0047,0.0705544,740.786,740.652,-14.0868
3.497,12.5,0.0,2279.0,5.0,1193.28,313.754,1.20349,672.404,672.234,-15.1182,314.251,0.112141,59.989,59.9595,-1.88071,732.391,732.194,-16.9989
3.747,12.5,0.0,2281.0,4.98,1189.55,315.226,1.2117,679.262,679.078,-15.7948,315.704,0.112759,58.0799,58.0784,0.41946,737.317,737.157,-15.3754
3.997,12.5,0.0,2279.0,4.99,1190.9,314.603,1.20155,674.322,674.155,-15.0029,315.213,0.108004,57.9606,57.9306,-1.86454,732.28,732.086,-16.8674
4.247,12.5,0.0,2279.0,5.02,1198.05,314.176,1.20813,678.704,678.524,-15.6497,314.635,0.114287,59.1044,59.1035,-0.320228,737.8,737.628,-15.97
4.481,12.5,0.0,2280.0,4.94,1179.48,313.88,1.19899,676.035,675.91,-12.9662,314.504,0.107371,57.1913,57.1882,-0.602615,733.224,733.098,-13.5688
4.684,12.5,0.0,2281.0,4.98,1189.55,313.853,1.20032,676.711,676.525,-15.8584,314.294,0.112693,59.564,59.5574,-0.887004,736.273,736.083,-16.7454
4.934,12.5,0.0,2280.0,4.94,1179.48,312.538,1.20538,680.759,680.617,-13.8789,313.097,0.109703,57.5443,57.5431,0.376474,738.284,738.16,-13.5024
5.169,12.5,0.0,2279.0,5.0,1193.28,313.503,1.19951,675.219,675.085,-13.4686,313.968,0.111996,59.2316,59.2209,-1.12078,734.451,734.306,-14.5894
5.372,12.5,0.16,2293.0,4.5,1080.55,207.614,1.49058,549.52,542.558,87.1926,207.824,0.517916,185.907,-8.70412,185.703,599.56,533.854,272.896
5.622,12.5,0.8,2307.0,4.54,1096.81,209.738,1.54849,568.309,561.06,90.4819,209.891,0.494026,180.576,2.75909,180.555,625.582,563.819,271.037
5.872,12.5,1.12,2294.0,5.51,1323.65,315.864,1.38044,781.768,781.762,-3.02128,316.409,0.148835,80.0203,80.0174,-0.680881,861.787,861.779,-3.70216
