t/s.1,Ug_a,Ug_b,Ug_c,Ilsc_a,Ilsc_b,Ilsc_c,Imsc_a,Imsc_b,Imsc_c,Is_a,Is_b,Is_c,Ig_a,Ig_b,Ig_c,Udc,Ug_pos_d,Ug_pos_q,Ilsc_pos_d,Ilsc_pos_q,Imsc_pos_d,Imsc_pos_q,Is_pos_d,Is_pos_q,Ig_pos_d,Ig_pos_q,Ug_neg_d,Ug_neg_q,Ilsc_neg_d,Ilsc_neg_q,Imsc_neg_d,Imsc_neg_q,Is_neg_d,Is_neg_q,Ig_neg_d,Ig_neg_q,n
0.0,-0.983814,0.511103,0.472711,-0.0509512,0.053104,-0.00215287,0.289718,-0.940684,0.650967,-0.763487,0.729018,0.034469,-0.814438,0.782122,0.0323161,1.00438,0.973511,0,-0.0616455,0.0101318,0.871338,-0.435669,-0.879883,0.00683594,-0.941528,0.0169678,0.000732422,-0.00427246,0.00109863,-0.00744629,0.00244141,0.0270996,0.0211182,-0.0214844,0.0222168,-0.0289307,1.2666
0.002,-0.716332,-0.246686,0.963019,-0.0523864,0.00789384,0.0444926,0.114704,-0.875975,0.76127,-0.789338,0.187856,0.601483,-0.841725,0.195749,0.645975,1.00201,1.01147,0,-0.0507812,0.00830078,0.866943,-0.416992,-0.841431,0.0134277,-0.892212,0.0217285,-0.0367432,0.0266113,0.000610352,-0.00183105,-0.0316162,-0.00146484,0.0133057,0.0136719,0.013916,0.0118408,1.2666
0.004,-0.0769676,-0.814065,0.891032,-0.0150701,-0.0581274,0.0731975,-0.109974,-0.756142,0.866117,-0.389499,-0.413627,0.803126,-0.404569,-0.471754,0.876323,1.00162,0.980713,0,-0.0762939,-0.00598145,0.822021,-0.417603,-0.809937,-0.0106201,-0.88623,-0.0166016,0.0148926,0.0144043,0.017334,0.0169678,0.0203857,0.0142822,-0.00585938,0.00634766,0.0114746,0.0233154,1.26648
0.006,0.631744,-0.99985,0.368106,0.0215287,-0.0767856,0.0552569,-0.31455,-0.631517,0.946067,0.175792,-0.778998,0.603206,0.19732,-0.855783,0.658463,1.00003,1.02002,0,-0.0587158,-0.0142822,0.849731,-0.424316,-0.813232,0.0113525,-0.871948,-0.00292969,0.0141602,-0.010498,0.0136719,0.00183105,0.012207,0.0377197,0.00646973,-0.0100098,0.0201416,-0.00817871,1.2666
0.008,0.979242,-0.632133,-0.347108,0.0825265,-0.0760679,-0.0064586,-0.457635,-0.492511,0.950146,0.697996,-0.727294,0.0292985,0.780522,-0.803362,0.0228399,0.998454,0.974609,0,-0.0820312,-0.017334,0.867432,-0.428589,-0.843628,-0.0200195,-0.925659,-0.0373535,0.00354004,-0.0239258,-0.00415039,0.00524902,-0.0118408,0.0217285,0.00390625,-0.0279541,-0.000244141,-0.0227051,1.2666
0.01,0.778059,0.130281,-0.90834,0.0882675,-0.0452102,-0.0430573,-0.622006,-0.383464,1.00547,0.82036,-0.277475,-0.542886,0.908628,-0.322685,-0.585943,0.99885,1.02283,0,-0.0760498,0.00634766,0.824219,-0.468872,-0.835327,0.0236816,-0.911377,0.0300293,-0.0439453,0.00158691,-0.0137939,0.00378418,0.000732422,0.00415039,-0.00195312,-0.0249023,-0.0157471,-0.0211182,1.2666
0.012,0.239285,0.722328,-0.961614,0.0480807,0.0143524,-0.0624331,-0.707147,-0.165369,0.872516,0.46016,0.406733,-0.866893,0.508241,0.421086,-0.929327,0.997664,0.984253,0,-0.0771484,0.00292969,0.86084,-0.373657,-0.87207,-0.0537109,-0.949219,-0.0507812,0.0106201,0.0358887,-0.0126953,0.0,0.0163574,-0.0239258,0.0301514,0.0118408,0.0174561,0.0118408,1.26648
0.014,-0.512101,0.996767,-0.484665,0.0136348,0.0430573,-0.0566921,-0.837224,0.0575195,0.779705,-0.0913427,0.792785,-0.701443,-0.0777078,0.835843,-0.758135,1.0032,0.996826,0,-0.0703125,0.00732422,0.8396,-0.376831,-0.844727,-0.0498047,-0.915039,-0.0424805,0.0012207,0.00793457,-0.0108643,-0.010376,0.00878906,0.0233154,0.0288086,-0.0266113,0.0179443,-0.0369873,1.2666
0.016,-0.954094,0.701514,0.25258,-0.0358811,0.0502335,-0.0143524,-0.943651,0.297184,0.646467,-0.594589,0.825531,-0.230942,-0.63047,0.875764,-0.245294,1.00438,1.00293,0,-0.0568848,0.0128174,0.844238,-0.482544,-0.820435,0.032959,-0.877319,0.0457764,0.0280762,0.0133057,0.00463867,-0.0020752,0.0236816,-0.0285645,0.0427246,0.0292969,0.0473633,0.0272217,1.2666
0.018,-0.842071,0.00616716,0.835904,-0.0595626,0.0165053,0.0430573,-0.950746,0.437388,0.513358,-0.832425,0.415351,0.417074,-0.891987,0.431856,0.460131,1.00241,0.987671,0,-0.0617676,0.0020752,0.851074,-0.495483,-0.858276,0.0587158,-0.920044,0.060791,-0.0256348,-0.00158691,0.0115967,-0.00830078,-0.000244141,0.0335693,0.0251465,-0.0102539,0.0367432,-0.0185547,1.26648
