t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2281.0,5.0,1194.33,316.876,1.16935,653.674,653.585,-10.8036,317.64,0.102451,54.424,54.4121,-1.13952,708.097,707.997,-11.9431
0.263,12.5,0.0,2280.0,4.96,1184.25,316.951,1.1748,655.386,655.252,-13.256,317.675,0.100348,53.6732,53.6624,-1.07637,709.059,708.914,-14.3324
0.513,12.5,0.0,2280.0,4.99,1191.42,314.167,1.18336,663.237,663.094,-13.79,314.813,0.100628,53.6011,53.5953,-0.789379,716.837,716.689,-14.5794
0.763,12.5,0.0,2281.0,4.96,1184.77,314.249,1.1688,656.888,656.699,-15.7324,314.896,0.101395,54.0156,54.0098,-0.795175,710.901,710.709,-16.5275
1.013,12.5,0.0,2278.0,4.93,1176.06,313.007,1.19925,661.866,661.695,-15.0668,313.543,0.104733,55.8134,55.7781,-1.98644,717.675,717.473,-17.0532
1.216,12.5,0.0,2279.0,4.91,1171.8,313.46,1.18435,655.333,655.219,-12.213,313.954,0.104827,55.7938,55.7603,-1.93463,711.12,710.98,-14.1476
1.466,12.5,0.0,2279.0,4.92,1174.19,312.833,1.19712,658.25,658.081,-14.8835,313.351,0.103728,55.0492,55.02,-1.79523,713.296,713.101,-16.6787
1.716,12.5,0.0,2279.0,4.96,1183.74,312.218,1.18755,658.376,658.259,-12.4112,312.702,0.104056,54.8984,54.8617,-2.00592,713.266,713.121,-14.4171
1.966,12.5,0.0,2280.0,4.93,1177.09,312.171,1.19329,656.857,656.671,-15.6237,312.695,0.104397,55.7172,55.6888,-1.77705,712.572,712.36,-17.4007
2.216,12.5,0.0,2279.0,4.95,1181.35,315.057,1.19822,659.182,659.062,-12.5793,315.645,0.104465,56.2306,56.1998,-1.86206,715.408,715.262,-14.4414
2.466,12.5,0.0,2278.0,4.94,1178.44,314.78,1.19021,654.979,654.812,-14.7595,315.303,0.103977,55.5271,55.5018,-1.67771,710.504,710.314,-16.4373
2.716,12.5,0.0,2279.0,4.95,1181.35,314.448,1.19087,657.148,656.998,-14.017,314.966,0.103417,54.8966,54.8753,-1.52945,712.044,711.874,-15.5464
2.966,12.5,0.0,2280.0,4.99,1191.42,317.236,1.19411,656.363,656.19,-15.0804,317.86,0.103536,54.5456,54.5233,-1.55979,710.908,710.713,-16.6402
3.216,12.5,0.0,2280.0,4.95,1181.87,317.184,1.19866,654.166,654.043,-12.6851,317.757,0.104062,55.2741,55.2418,-1.88814,709.435,709.285,-14.5732
3.466,12.5,0.0,2280.0,4.95,1181.87,312.185,1.16251,655.39,655.232,-14.398,312.729,0.10698,56.5749,56.5606,-1.27468,711.965,711.792,-15.6727
3.716,12.5,0.0,2279.0,4.95,1181.35,309.041,1.16478,655.416,655.267,-14.0076,309.557,0.104649,55.8179,55.7999,-1.41674,711.234,711.067,-15.4244
3.966,12.5,0.0,2280.0,4.97,1186.64,310.425,1.16997,653.316,653.168,-13.8995,311.032,0.104301,55.895,55.8772,-1.41361,709.211,709.045,-15.3131
4.216,12.5,0.0,2280.0,4.95,1181.87,310.314,1.16704,652.991,652.868,-12.6759,310.866,0.106036,56.2383,56.2196,-1.45065,709.228,709.088,-14.1266
4.466,12.5,0.0,2281.0,4.96,1184.77,311.734,1.18677,656.171,656.02,-14.0901,312.282,0.10562,56.0794,56.0511,-1.78216,712.248,712.071,-15.8723
4.716,12.5,0.0,2282.0,4.92,1175.73,311.104,1.18193,661.555,661.427,-13.0232,311.607,0.105419,55.8002,55.7747,-1.68815,717.352,717.202,-14.7113
4.966,12.5,0.0,2280.0,4.89,1167.54,311.995,1.18638,656.825,656.716,-11.9601,312.548,0.106219,56.5048,56.4517,-2.44894,713.313,713.168,-14.409
5.216,12.5,0.0,2281.0,4.94,1180.0,315.382,1.19511,655.43,655.32,-11.9721,316.007,0.104956,55.475,55.4449,-1.82587,710.899,710.765,-13.798
5.466,12.5,0.0,2273.0,4.91,1168.72,312.078,1.1599,655.878,655.709,-14.8669,312.696,0.106597,56.5112,56.5035,-0.928224,712.388,712.213,-15.7951
5.716,12.5,2.24,2365.0,0.85,210.513,2.66637,0.14965,0.28609,0.175273,0.226112,3.73302,0.0403159,0.103297,0.103291,-0.00111414,0.358081,0.278564,0.224998
