t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2280,4.98,1189.03,314.292,1.23855,686.394,686.193,-16.6238,314.763,0.112503,59.1903,59.1451,-2.31203,745.578,745.338,-18.9359,
0.263,12.5,0,2281,4.95,1182.39,319.1,1.22634,682.949,682.836,-12.4248,319.646,0.115758,60.4485,60.4454,-0.613065,743.396,743.281,-13.0379,
0.513,12.5,0,2282,4.95,1182.9,315.53,1.21087,682.737,682.619,-12.707,316.048,0.115651,60.2632,60.2583,-0.763946,743.0,742.878,-13.471,
0.763,12.5,0,2280,4.96,1184.25,314.016,1.24104,685.576,685.419,-14.7062,314.4,0.113955,58.9723,58.9717,0.262928,744.53,744.39,-14.4433,
1.013,12.5,0,2282,4.96,1185.29,318.17,1.2469,685.625,685.496,-13.3086,318.592,0.114839,58.9646,58.9642,0.230753,744.575,744.46,-13.0778,
1.263,12.5,0,2280,5.0,1193.81,318.903,1.24221,685.544,685.404,-13.8699,319.382,0.118031,60.2127,60.2114,-0.385953,745.752,745.615,-14.2558,
1.513,12.5,0,2281,4.97,1187.16,311.988,1.23591,691.486,691.357,-13.3774,312.496,0.113579,58.5747,58.5709,0.666127,750.035,749.927,-12.7113,
1.763,12.5,0,2281,4.96,1184.77,317.418,1.25168,689.93,689.78,-14.386,317.806,0.11643,58.7321,58.7314,0.29298,748.644,748.511,-14.093,
2.013,12.5,0,2281,4.99,1191.94,318.237,1.25369,686.187,686.068,-12.8291,318.612,0.115896,59.4004,59.4003,0.092396,745.577,745.468,-12.7367,
2.263,12.5,0,2281,4.95,1182.39,318.675,1.24009,683.053,682.905,-14.1989,319.159,0.118685,60.6978,60.6977,-0.11633,743.74,743.603,-14.3152,
2.513,12.5,0,2281,4.96,1184.77,317.114,1.21772,683.831,683.693,-13.7631,317.611,0.115434,59.7185,59.7143,-0.708036,743.548,743.407,-14.4711,
2.763,12.5,0,2281,4.98,1189.55,318.471,1.24566,692.814,692.613,-16.6516,318.975,0.113637,58.6601,58.6594,-0.291267,751.464,751.273,-16.9429,
3.013,12.5,0,2281,4.95,1182.39,312.92,1.23676,687.341,687.147,-16.3388,313.381,0.112558,58.0245,58.0225,0.479615,745.338,745.169,-15.8592,
3.263,12.5,0,2281,4.97,1187.16,318.715,1.26113,691.042,690.831,-17.0628,319.182,0.11646,59.3544,59.3537,0.283717,750.372,750.185,-16.7791,
3.513,12.5,0,2282,4.94,1180.51,317.811,1.23718,682.579,682.45,-13.2858,318.245,0.117039,59.9444,59.9436,0.315014,742.506,742.393,-12.9707,
3.763,12.5,0,2281,4.95,1182.39,311.51,1.21681,688.609,688.451,-14.7682,312.135,0.108087,57.5484,57.5482,-0.125555,746.148,745.999,-14.8937,
3.997,12.5,0,2280,4.98,1189.03,312.199,1.21188,683.907,683.734,-15.3813,312.659,0.114924,60.129,60.1113,-1.46001,744.036,743.845,-16.8413,
