t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2280.0,4.94,1179.48,317.092,1.22443,679.988,679.859,-13.2218,317.717,0.108068,57.3507,57.3282,-1.60569,737.336,737.187,-14.8275
0.216,12.5,0.0,2279.0,5.02,1198.05,310.603,1.226,686.041,685.854,-16.0177,311.033,0.11146,59.3452,59.3235,-1.60467,745.386,745.177,-17.6224
0.466,12.5,0.0,2280.0,4.96,1184.25,310.353,1.22748,682.719,682.603,-12.6098,310.748,0.110036,58.6206,58.598,-1.63057,741.337,741.201,-14.2403
0.716,12.5,0.0,2279.0,5.0,1193.28,315.712,1.23723,677.724,677.579,-14.02,316.149,0.110364,58.0043,57.985,-1.49829,735.728,735.564,-15.5183
0.966,12.5,0.0,2280.0,4.98,1189.03,317.259,1.24124,683.109,682.946,-14.8826,317.785,0.109778,57.9872,57.9637,-1.65229,741.095,740.91,-16.5349
1.216,12.5,0.0,2279.0,4.97,1186.12,310.175,1.22419,678.471,678.383,-10.9161,310.623,0.112318,59.4006,59.3752,-1.73743,737.866,737.758,-12.6535
1.466,12.5,0.0,2280.0,5.0,1193.81,314.375,1.2483,684.323,684.141,-15.779,314.831,0.112254,58.9652,58.9348,-1.89056,743.286,743.076,-17.6696
1.716,12.5,0.0,2279.0,4.99,1190.9,314.732,1.23506,675.756,675.608,-14.1518,315.141,0.110866,58.5717,58.5445,-1.78446,734.325,734.152,-15.9363
1.966,12.5,0.0,2280.0,5.0,1193.81,315.09,1.24322,682.722,682.575,-14.1667,315.529,0.110405,58.5787,58.5399,-2.13316,741.294,741.115,-16.2999
2.216,12.5,0.0,2280.0,4.98,1189.03,314.425,1.23497,676.378,676.261,-12.5449,314.862,0.110858,58.3219,58.2938,-1.80971,734.695,734.555,-14.3546
2.466,12.5,0.0,2279.0,5.0,1193.28,311.366,1.2219,686.604,686.432,-15.3642,311.905,0.111927,59.173,59.1573,-1.36288,745.777,745.589,-16.727
2.716,12.5,0.0,2281.0,5.0,1194.33,312.331,1.21355,683.721,683.55,-15.3132,312.858,0.112991,59.4076,59.3944,-1.25138,743.129,742.944,-16.5646
2.966,12.5,0.0,2280.0,4.95,1181.87,310.388,1.21291,677.768,677.664,-11.9176,310.798,0.112195,59.969,59.9447,-1.70601,737.734,737.608,-13.6236
3.216,12.5,0.0,2279.0,5.04,1202.83,311.096,1.24699,686.716,686.47,-18.3866,311.455,0.112038,58.7768,58.7562,-1.55603,745.493,745.226,-19.9427
3.466,12.5,0.0,2279.0,4.97,1186.12,312.751,1.20312,680.912,680.766,-14.0931,313.282,0.112832,59.4664,59.4607,-0.822309,740.377,740.227,-14.9154
3.716,12.5,0.0,2279.0,5.02,1198.05,312.056,1.22452,690.804,690.61,-16.3416,312.482,0.111611,59.2547,59.2502,-0.730408,750.055,749.86,-17.072
3.966,12.5,0.0,2280.0,4.97,1186.64,312.057,1.21769,683.597,683.443,-14.5152,312.543,0.110989,59.0123,59.0024,-1.07753,742.609,742.445,-15.5927
4.216,12.5,0.0,2279.0,5.02,1198.05,311.413,1.21738,684.282,684.14,-13.9192,311.878,0.113277,60.1612,60.1403,-1.58555,744.442,744.281,-15.5047
4.466,12.5,0.0,2280.0,5.03,1200.97,311.129,1.21104,680.196,680.056,-13.8156,311.562,0.111074,59.449,59.4361,-1.24136,739.645,739.492,-15.057
4.716,12.5,0.0,2280.0,5.0,1193.81,311.086,1.21408,684.17,684.035,-13.603,311.617,0.112036,59.4731,59.4566,-1.39855,743.643,743.492,-15.0016
4.966,12.5,0.0,2279.0,4.99,1190.9,310.921,1.22026,679.583,679.442,-13.8437,311.379,0.112133,59.715,59.6894,-1.75075,739.295,739.131,-15.5944
5.216,12.5,0.0,2280.0,5.0,1193.81,309.788,1.22084,683.776,683.594,-15.8028,310.18,0.111264,59.2001,59.1664,-1.9953,742.973,742.76,-17.7981
5.466,12.5,0.0,2278.0,5.21,1242.85,285.237,1.50963,673.764,673.764,-0.0650164,285.771,0.20234,74.8695,56.8545,48.7136,732.237,730.619,48.6486
5.716,12.5,0.0,2280.0,4.98,1189.03,241.011,1.80308,657.384,656.922,24.6334,241.412,0.228385,105.117,43.6205,95.6396,710.793,700.543,120.273
5.966,12.5,0.0,2280.0,4.95,1181.87,299.476,1.35906,668.618,668.46,14.5111,300.071,0.157995,51.2195,49.4276,13.4293,718.431,717.888,27.9403
6.216,12.5,0.0,2281.0,5.09,1215.83,313.838,1.20301,678.294,678.285,3.54241,314.336,0.106426,56.0484,56.0419,-0.856996,734.332,734.327,2.68541
6.466,12.5,0.0,2281.0,4.92,1175.22,314.053,1.22812,686.122,686.12,-1.85727,314.538,0.111178,58.4011,58.393,-0.969218,744.518,744.513,-2.82649
6.716,12.5,0.0,2280.0,5.06,1208.13,316.706,1.22739,685.656,685.633,-5.55083,317.131,0.111122,57.604,57.6002,-0.660613,743.259,743.233,-6.21144
6.966,12.5,0.0,2280.0,4.96,1184.25,316.678,1.22021,681.799,681.769,-6.32164,317.203,0.111021,57.907,57.9036,-0.632999,739.706,739.673,-6.95464
7.216,12.5,0.0,2280.0,5.05,1205.74,316.155,1.22404,683.612,683.546,-9.45969,316.631,0.111299,58.2064,58.2003,-0.843401,741.818,741.746,-10.3031
7.466,12.5,0.0,2278.0,5.02,1197.53,316.702,1.22336,684.353,684.288,-9.43884,317.206,0.112292,58.398,58.394,-0.675678,742.751,742.682,-10.1145
7.716,12.5,0.0,2279.0,5.01,1195.67,315.118,1.2111,681.25,681.169,-10.5545,315.63,0.110329,58.0608,58.0584,-0.53025,739.31,739.227,-11.0848
7.966,12.5,0.0,2281.0,4.95,1182.39,317.49,1.22971,681.767,681.683,-10.706,317.997,0.113267,58.3927,58.3908,-0.472995,740.158,740.074,-11.179
8.216,12.5,0.0,2282.0,4.93,1178.12,318.294,1.22833,680.725,680.626,-11.6133,318.815,0.112831,58.329,58.3282,-0.304364,739.051,738.955,-11.9177
8.466,12.5,0.0,2281.0,4.96,1184.77,317.244,1.22391,681.435,681.329,-12.022,317.687,0.114812,59.2768,59.2747,-0.493886,740.709,740.604,-12.5159
8.716,12.5,0.0,2282.0,4.97,1187.68,318.443,1.23872,688.385,688.238,-14.23,318.919,0.113486,58.9808,58.9781,-0.555648,747.363,747.216,-14.7856
8.966,12.5,0.0,2282.0,4.97,1187.68,317.908,1.23139,682.105,681.968,-13.6734,318.358,0.113641,58.9007,58.8988,-0.469606,741.002,740.867,-14.143
