t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var]
0.0,12.5,0.0,2279.0,5.04,1202.83,314.148,1.22239,674.408,674.278,-13.2546,314.664,0.110807,59.1462,59.1286,-1.44181,733.554,733.407,-14.6964
0.262,12.5,0.0,2280.0,4.96,1184.25,312.718,1.21811,675.108,674.988,-12.731,313.157,0.111867,59.9014,59.8696,-1.95183,735.004,734.857,-14.6829
0.512,12.5,0.0,2278.0,5.06,1207.07,311.683,1.22069,679.034,678.906,-13.1611,312.152,0.112331,59.5118,59.4804,-1.93408,738.541,738.387,-15.0952
0.762,12.5,0.0,2279.0,4.96,1183.74,312.622,1.20484,680.447,680.261,-15.9043,313.117,0.112298,59.5478,59.54,-0.961365,739.994,739.801,-16.8657
1.012,12.5,0.0,2278.0,5.03,1199.91,308.741,1.19822,679.694,679.563,-13.3229,309.231,0.111729,59.9031,59.8868,-1.39697,739.597,739.45,-14.7199
1.262,12.5,0.0,2279.0,4.99,1190.9,311.602,1.21373,676.629,676.495,-13.4851,312.094,0.111783,59.6189,59.5928,-1.76107,736.246,736.088,-15.2461
1.512,12.5,0.0,2278.0,4.99,1190.37,311.979,1.21456,678.448,678.283,-14.9625,312.414,0.111801,60.0314,60.0134,-1.46931,738.479,738.296,-16.4318
1.762,12.5,0.0,2279.0,5.0,1193.28,309.912,1.19623,677.906,677.737,-15.1094,310.361,0.114362,61.5656,61.54,-1.77393,739.47,739.277,-16.8833
2.012,12.5,0.0,2279.0,4.96,1183.74,310.453,1.20865,678.076,677.903,-15.3126,310.962,0.111534,59.8638,59.8445,-1.51775,737.94,737.748,-16.8303
2.262,12.5,0.0,2282.0,5.01,1197.24,309.659,1.20748,682.148,681.98,-15.1332,310.166,0.112794,59.9618,59.9442,-1.45358,742.11,741.925,-16.5868
2.512,12.5,0.0,2281.0,5.02,1199.11,309.909,1.19953,677.856,677.719,-13.6257,310.45,0.112501,60.017,59.99,-1.79927,737.87,737.709,-15.4249
