t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2282,4.97,1187.68,317.713,1.23277,688.643,688.459,-15.9136,318.264,0.113547,58.4895,58.4873,-0.509902,747.127,746.946,-16.4235,
0.262,12.5,0,2281,5.03,1201.49,313.437,1.22355,686.952,686.792,-14.8213,313.99,0.11338,59.0461,59.0393,-0.892212,745.997,745.831,-15.7135,
0.512,12.5,0,2281,5.01,1196.72,317.779,1.24893,688.78,688.637,-14.0443,318.23,0.117147,58.9126,58.9121,0.235978,747.677,747.549,-13.8083,
0.762,12.5,0,2281,5.0,1194.33,313.987,1.21018,679.609,679.517,-11.1916,314.625,0.108035,57.3866,57.3799,-0.88073,736.996,736.897,-12.0724,
1.012,12.5,0,2280,4.96,1184.25,313.45,1.20183,679.702,679.609,-11.2543,314.076,0.108915,57.5406,57.54,-0.265432,737.239,737.149,-11.5198,
1.262,12.5,0,2279,4.99,1190.9,310.843,1.20471,685.932,685.776,-14.594,311.489,0.108072,57.3711,57.3708,-0.182728,743.294,743.147,-14.7768,
1.512,12.5,0,2280,4.99,1191.42,310.442,1.21757,686.017,685.865,-14.4428,311.11,0.109312,57.8561,57.856,0.106048,743.859,743.721,-14.3368,
1.762,12.5,0,2281,4.99,1191.94,317.297,1.24294,679.288,679.151,-13.6508,317.771,0.110596,58.0019,57.9797,-1.60392,737.288,737.13,-15.2547,
2.012,12.5,0,2280,4.98,1189.03,317.348,1.22107,679.893,679.764,-13.2485,317.937,0.108467,57.2992,57.2892,-1.06913,737.192,737.053,-14.3176,
2.262,12.5,0,2280,5.0,1193.81,317.083,1.22917,682.426,682.275,-14.3305,317.742,0.108133,57.3473,57.325,-1.60023,739.772,739.6,-15.9307,
2.512,12.5,0,2280,4.96,1184.25,313.362,1.23658,680.435,680.33,-11.9624,313.808,0.110002,58.0064,57.9809,-1.71964,738.438,738.311,-13.6821,
2.762,12.5,0,2280,4.99,1191.42,316.089,1.24717,682.608,682.471,-13.7001,316.515,0.111238,58.6849,58.6499,-2.02698,741.287,741.12,-15.727,
3.012,12.5,0,2280,4.98,1189.03,317.788,1.24276,683.224,683.1,-13.0355,318.395,0.110403,57.9501,57.9236,-1.75427,741.171,741.024,-14.7898,
3.262,12.5,0,2280,4.99,1191.42,316.469,1.21726,680.515,680.424,-11.1773,317.135,0.108333,57.3587,57.334,-1.68326,737.87,737.758,-12.8606,
3.512,12.5,0,2280,4.97,1186.64,314.364,1.23621,680.076,679.948,-13.1496,314.766,0.111777,58.5639,58.5339,-1.87404,738.635,738.482,-15.0237,
3.762,12.5,0,2280,4.95,1181.87,310.302,1.22426,680.416,680.293,-12.9363,310.731,0.111966,59.9065,59.8786,-1.83003,740.319,740.171,-14.7663,
4.012,12.5,0,2280,4.99,1191.42,311.05,1.22631,682.455,682.341,-12.4772,311.415,0.110761,58.3636,58.3374,-1.74916,740.815,740.679,-14.2264,
4.262,12.5,0,2281,5.02,1199.11,312.559,1.23678,686.516,686.338,-15.6117,312.959,0.114533,59.4672,59.4663,-0.318556,745.975,745.805,-15.9303,
4.512,12.5,0,2282,5.02,1199.63,318.08,1.225,680.118,679.971,-14.1412,318.544,0.113859,58.778,58.777,-0.356769,738.89,738.748,-14.4979,
4.762,12.5,0,2282,4.96,1185.29,317.592,1.24026,685.676,685.507,-15.2513,318.038,0.11662,59.2863,59.2856,0.271724,744.943,744.792,-14.9796,
5.012,12.5,0,2282,4.95,1182.9,319.422,1.24862,685.0,684.824,-15.5306,319.885,0.114515,58.6265,58.6265,-0.045636,743.614,743.451,-15.5762,
5.262,12.5,0,2282,4.98,1190.07,316.683,1.24239,689.923,689.719,-16.7793,317.187,0.11396,59.548,59.5477,-0.184909,749.459,749.267,-16.9642,
5.512,12.5,0,2283,4.91,1173.86,314.374,1.24215,685.808,685.682,-13.148,314.787,0.113866,58.1417,58.1379,0.672079,743.925,743.82,-12.4759,
