t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2281,4.96,1184.77,315.37,1.22588,688.984,688.869,-12.5919,316.047,0.108594,58.3564,58.345,-1.15456,747.34,747.214,-13.7464,
0.232,12.5,0,2282,5.0,1194.85,317.409,1.23649,683.218,683.08,-13.7301,317.828,0.115431,59.0032,59.0007,0.545875,742.198,742.08,-13.1842,
0.482,12.5,0,2281,4.93,1177.61,319.23,1.24887,688.151,688.024,-13.2231,319.696,0.116275,59.3575,59.3574,-0.125061,747.501,747.382,-13.3482,
0.716,12.5,0,2280,4.95,1181.87,313.503,1.20553,681.381,681.277,-11.8726,314.175,0.109742,58.0243,58.0199,-0.718369,739.404,739.297,-12.591,
0.966,12.5,0,2280,4.97,1186.64,317.266,1.24033,685.61,685.468,-13.9261,317.738,0.112126,59.598,59.5751,-1.65199,745.206,745.043,-15.5781,
1.216,12.5,0,2279,4.98,1188.51,318.557,1.23911,685.253,685.08,-15.3813,319.078,0.115026,59.5129,59.5123,-0.257949,744.757,744.593,-15.6393,
1.466,12.5,0,2280,4.96,1184.25,311.709,1.23547,690.175,690.002,-15.4329,312.206,0.113733,58.5945,58.5922,0.525565,748.743,748.594,-14.9074,
1.716,12.5,0,2281,4.96,1184.77,318.013,1.25493,691.443,691.285,-14.7945,318.375,0.11557,58.4658,58.4658,0.0651548,749.895,749.751,-14.7294,
1.966,12.5,0,2281,4.98,1189.55,311.069,1.21245,686.974,686.867,-12.1052,311.77,0.107581,57.8463,57.8451,-0.364249,744.817,744.712,-12.4694,
2.216,12.5,0,2281,4.97,1187.16,310.688,1.20883,686.161,686.001,-14.8418,311.322,0.111559,58.0124,58.0123,0.105536,744.159,744.013,-14.7362,
2.466,12.5,0,2282,4.95,1182.9,317.337,1.22001,683.278,683.154,-13.0012,317.956,0.109264,57.8785,57.8703,-0.971877,741.156,741.025,-13.9731,
2.716,12.5,0,2281,4.97,1187.16,312.953,1.20966,686.141,685.99,-14.3682,313.58,0.107653,57.8136,57.8104,-0.610581,743.951,743.801,-14.9788,
2.966,12.5,0,2282,4.96,1185.29,310.315,1.21186,685.88,685.726,-14.5118,310.874,0.109641,58.3863,58.386,0.185314,744.25,744.112,-14.3265,
3.216,12.5,0,2282,4.94,1180.51,317.471,1.23242,687.772,687.669,-11.9432,318.157,0.108204,57.7769,57.7622,-1.30351,745.549,745.431,-13.2467,
3.466,12.5,0,2281,4.99,1191.94,314.362,1.20413,679.031,678.948,-10.6142,315.044,0.109604,58.1873,58.1824,-0.750838,737.218,737.13,-11.365,
3.716,12.5,0,2281,4.98,1189.55,313.284,1.22536,689.358,689.208,-14.4046,313.937,0.108068,57.741,57.7393,-0.449403,747.095,746.947,-14.854,
3.966,12.5,0,2281,4.99,1191.94,309.345,1.21493,689.723,689.548,-15.5052,309.977,0.108227,58.2841,58.2833,-0.296736,747.999,747.832,-15.802,
4.216,12.5,0,2281,5.0,1194.33,318.695,1.23084,685.218,685.081,-13.7121,319.318,0.111217,58.4907,58.4813,-1.04651,743.708,743.562,-14.7586,
4.466,12.5,0,2282,4.97,1187.68,314.8,1.20749,681.574,681.431,-13.967,315.455,0.108919,57.7443,57.7378,-0.863666,739.317,739.169,-14.8307,
4.716,12.5,0,2281,4.98,1189.55,314.992,1.22355,687.1,686.988,-12.4472,315.635,0.110161,58.6317,58.6238,-0.959242,745.732,745.612,-13.4064,
4.966,12.5,0,2282,4.97,1187.68,313.746,1.20391,681.939,681.857,-10.617,314.376,0.108899,58.2593,58.2535,-0.823884,740.199,740.11,-11.4409,
5.216,12.5,0,2280,4.97,1186.64,310.99,1.19635,679.495,679.381,-12.4799,311.616,0.111221,58.4358,58.4356,-0.151917,737.925,737.816,-12.6318,
5.466,12.5,0,2281,5.01,1196.72,319.557,1.2393,687.072,686.931,-13.9127,320.173,0.109784,57.5613,57.5325,-1.82134,744.63,744.463,-15.7341,
5.716,12.5,0,2280,4.97,1186.64,246.855,1.8034,653.243,653.066,15.2322,247.275,0.108779,53.6316,48.9965,21.8102,703.039,702.062,37.0424,
5.966,12.5,0,2280,5.0,1193.81,264.237,1.67331,668.765,668.611,14.373,264.547,0.118723,55.2128,54.1244,10.9087,723.177,722.735,25.2817,
6.216,12.5,0,2280,4.92,1174.7,312.02,1.20054,670.871,670.598,-19.1142,312.484,0.112071,59.0556,59.0221,-1.99078,729.925,729.62,-21.105,
6.466,12.5,0,2281,4.97,1187.16,318.279,1.25272,695.279,695.053,-17.7197,318.799,0.120783,62.7497,62.7461,-0.664471,758.022,757.799,-18.3842,
6.716,12.5,0,2280,4.97,1186.64,312.373,1.18769,676.383,676.15,-17.7503,312.893,0.112791,59.5151,59.5093,-0.832573,735.894,735.659,-18.5828,
6.966,12.5,0,2280,5.0,1193.81,311.631,1.22836,695.246,695.01,-18.1306,312.055,0.116937,61.3088,61.2841,-1.74036,756.555,756.294,-19.8709,
7.216,12.5,0,2280,4.97,1186.64,319.159,1.22543,680.971,680.76,-16.9249,319.644,0.114658,59.2808,59.2792,-0.434392,740.243,740.04,-17.3593,
7.466,12.5,0,2279,5.0,1193.28,316.58,1.24899,695.056,694.814,-18.3238,317.095,0.115969,60.1908,60.1879,-0.593329,755.239,755.002,-18.9171,
7.716,12.5,0,2280,4.97,1186.64,311.937,1.21035,683.423,683.242,-15.7026,312.373,0.114303,60.5716,60.5618,-1.08936,743.994,743.804,-16.7919,
7.966,12.5,0,2280,4.99,1191.42,312.219,1.20523,681.142,680.942,-16.4967,312.742,0.115475,61.1666,61.1548,-1.20072,742.308,742.097,-17.6975,
8.216,12.5,0,2280,4.97,1186.64,312.649,1.21173,686.426,686.251,-15.5241,313.126,0.114116,60.541,60.5229,-1.47736,746.967,746.774,-17.0014,
8.466,12.5,0,2279,4.97,1186.12,313.219,1.20014,680.166,680.011,-14.5232,313.683,0.115251,60.9152,60.9065,-1.02944,741.08,740.917,-15.5526,
8.716,12.5,0,2280,4.99,1191.42,313.474,1.21292,685.052,684.906,-14.1348,313.903,0.115846,61.3716,61.3626,-1.05535,746.423,746.268,-15.1902,
8.966,12.5,0,2279,5.0,1193.28,314.433,1.20703,679.98,679.806,-15.3717,314.906,0.114936,60.5393,60.5362,-0.617812,740.515,740.342,-15.9895,
9.216,12.5,0,2280,4.99,1191.42,318.332,1.2386,689.213,689.061,-14.5151,318.827,0.117571,61.094,61.0934,-0.270547,750.3,750.154,-14.7856,
9.466,12.5,0,2279,5.01,1195.67,319.089,1.24547,688.284,688.094,-16.1803,319.535,0.115854,59.4338,59.4337,0.025125,747.702,747.528,-16.1551,
9.716,12.5,0,2282,5.0,1194.85,317.859,1.24787,686.179,685.992,-16.008,318.285,0.118081,60.2374,60.2362,0.384762,746.392,746.229,-15.6232,
9.966,12.5,0,2283,4.97,1188.2,309.159,1.21257,686.479,686.353,-13.1296,309.733,0.110763,58.4322,58.4322,-0.0145168,744.901,744.785,-13.1441,
10.216,12.5,0,2281,5.03,1201.49,313.106,1.22948,685.237,685.079,-14.7092,313.555,0.115154,60.3716,60.3681,-0.652339,745.605,745.447,-15.3616,
10.45,12.5,0,2281,4.93,1177.61,314.933,1.21704,683.327,683.185,-13.9142,315.449,0.11349,59.8554,59.8418,-1.27668,743.183,743.027,-15.1909,
10.7,12.5,0,2279,5.01,1195.67,310.773,1.21657,679.398,679.254,-14.0168,311.289,0.11173,59.089,59.0761,-1.23636,738.487,738.33,-15.2531,
10.903,12.5,0,2279,4.99,1190.9,312.482,1.233,687.038,686.848,-16.186,313.001,0.114735,59.6617,59.6583,-0.637913,746.696,746.506,-16.8239,
11.138,12.5,0,2279,5.03,1200.44,318.647,1.22301,683.801,683.631,-15.2344,319.207,0.114742,60.423,60.384,-2.17031,744.219,744.015,-17.4047,
11.403,12.5,0,2278,5.01,1195.14,315.37,1.22296,686.805,686.57,-17.9549,315.818,0.114779,60.4115,60.4062,-0.798724,747.212,746.976,-18.7537,
11.653,12.5,0,2279,5.01,1195.67,317.759,1.24372,686.784,686.606,-15.6284,318.227,0.118653,60.2609,60.2594,0.423105,747.021,746.866,-15.2053,
11.903,12.5,0,2280,4.98,1189.03,319.997,1.23912,684.248,684.138,-12.2903,320.477,0.118037,60.4966,60.4954,-0.379692,744.741,744.633,-12.67,
12.153,12.5,0,2278,5.03,1199.91,315.206,1.22264,680.377,680.226,-14.3504,315.764,0.112237,59.8592,59.8257,-2.00288,740.232,740.051,-16.3532,
12.403,12.5,0,2280,4.94,1179.48,310.353,1.22211,684.557,684.424,-13.4606,310.813,0.113068,59.6507,59.6308,-1.54009,744.206,744.055,-15.0007,
12.638,12.5,0,2279,5.06,1207.6,315.939,1.22415,688.724,688.598,-13.1642,316.5,0.11096,58.902,58.8981,-0.680082,747.624,747.496,-13.8442,
12.857,12.5,0,2281,4.93,1177.61,310.943,1.23157,688.192,687.995,-16.4982,311.431,0.112405,58.5121,58.5121,0.0383884,746.688,746.507,-16.4598,
13.06,12.5,0,2280,4.97,1186.64,318.887,1.24585,686.102,685.929,-15.3924,319.34,0.118153,60.8152,60.8151,0.103759,746.901,746.744,-15.2886,
13.31,12.5,0,2280,4.94,1179.48,318.976,1.24723,690.519,690.266,-18.6987,319.462,0.115732,59.3669,59.3661,0.309124,749.857,749.632,-18.3896,
13.56,12.5,0,2280,4.99,1191.42,318.359,1.24734,687.527,687.307,-17.4131,318.784,0.1184,60.6222,60.6215,0.303399,748.124,747.928,-17.1097,
13.81,12.5,0,2281,4.95,1182.39,317.651,1.22052,687.208,687.037,-15.3231,318.246,0.111653,58.7828,58.7671,-1.3579,745.991,745.804,-16.681,
14.06,12.5,0,2279,4.96,1183.74,319.051,1.23593,678.798,678.669,-13.2614,319.595,0.112154,58.9574,58.9345,-1.64255,737.754,737.603,-14.9039,
14.294,12.5,0,2280,4.98,1189.03,311.177,1.20425,685.959,685.82,-13.8021,311.835,0.107572,58.4347,58.4114,-1.65064,744.392,744.231,-15.4527,
14.528,12.5,0,2281,4.96,1184.77,317.504,1.2506,679.233,679.062,-15.2206,317.869,0.114585,59.4748,59.4571,-1.45347,738.707,738.519,-16.6741,
14.747,12.5,0,2279,4.99,1190.9,307.401,1.2081,685.171,685.017,-14.5213,307.949,0.109192,58.9353,58.9221,-1.24951,744.107,743.94,-15.7708,
14.982,12.5,0,2279,4.98,1188.51,314.613,1.22253,683.651,683.523,-13.1806,315.111,0.112385,59.8669,59.8293,-2.12254,743.51,743.353,-15.3031,
15.2,12.5,0,2281,4.94,1180.0,314.339,1.23168,690.513,690.334,-15.742,314.828,0.111874,59.2435,59.2287,-1.32382,749.757,749.563,-17.0658,
