2-Phase Earth,0,0.2,0.1,2P.EARTH-0-20-0,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
2-Phase Earth,0.0,0.4,0,2P.EARTH-0-40-0,,,,
2-Phase Earth,0.0,0.6,0,2P.EARTH-0-60-0,,,,
2-Phase Earth,0.0,1.0,0,2P.EARTH-0-100-0,,,,
2-Phase Earth,0.2,0.0,0,2P.EARTH-20-0-0,,,,
2-Phase Earth,0.2,0.2,0,2P.EARTH-20-20-0,,,,
2-Phase Earth,0.2,0.4,0,2P.EARTH-20-40-0,,,,
2-Phase Earth,0.2,0.6,0,2P.EARTH-20-60-0,,,,
2-Phase Earth,0.2,1.0,0,2P.EARTH-20-100-0,,,,
2-Phase Earth,0.4,0.0,0,2P.EARTH-40-0-0,,,,
2-Phase Earth,0.4,0.2,0,2P.EARTH-40-20-0,,,,
2-Phase Earth,0.4,0.4,0,2P.EARTH-40-40-0,,,,
2-Phase Earth,0.4,0.6,0,2P.EARTH-40-60-0,,,,
2-Phase Earth,0.4,1.0,0,2P.EARTH-40-100-0,,,,
2-Phase Earth,0.6,0.0,0,2P.EARTH-60-0-0,,,,
2-Phase Earth,0.6,0.2,0,2P.EARTH-60-20-0,,,,
2-Phase Earth,0.6,0.4,0,2P.EARTH-60-40-0,,,,
2-Phase Earth,0.6,0.6,0,2P.EARTH-60-60-0,,,,
2-Phase Earth,0.6,1.0,0,2P.EARTH-60-100-0,,,,
2-Phase Earth,1.0,0.0,0,2P.EARTH-100-0-0,,,,
2-Phase Earth,1.0,0.2,0,2P.EARTH-100-20-0,,,,
2-Phase Earth,1.0,0.4,0,2P.EARTH-100-40-0,,,,
2-Phase Earth,1.0,0.6,0,2P.EARTH-100-60-0,,,,
2-Phase Earth,1.0,1.0,0,2P.EARTH-100-100-0,,,,
