t/s,v/(m/s),β [°],n [rpm],M [Nm],Pmech [W],Ugen [V],Igen [A],Sgen [VA],Pgen [W],Qgen [var],Ulsc [V],Ilsc [A],Slsc [VA],Plsc [W],Qlsc [var],Stot [VA],Ptot [W],Qtot [var],Unnamed: 20
0.0,12.5,0,2278,5.01,1195.14,316.316,1.23831,680.271,680.105,-15.0524,316.711,0.112896,58.2427,58.234,-1.00761,738.513,738.339,-16.06,
0.216,12.5,0,2281,4.94,1180.0,312.252,1.21543,682.622,682.524,-11.5818,312.758,0.106912,56.4367,56.4359,-0.297094,739.055,738.96,-11.8789,
0.466,12.5,0,2280,5.0,1193.81,312.243,1.22651,677.376,677.265,-12.2967,312.664,0.109242,58.4085,58.3748,-1.98486,735.778,735.64,-14.2815,
0.716,12.5,0,2281,4.94,1180.0,314.899,1.22645,682.202,682.002,-16.5458,315.362,0.116459,59.4694,59.4685,0.328661,741.648,741.47,-16.2171,
0.966,12.5,0,2279,5.01,1195.67,312.751,1.22087,680.335,680.198,-13.6479,313.373,0.108124,57.4019,57.3917,-1.08391,737.737,737.59,-14.7318,
1.216,12.5,0,2282,5.01,1197.24,315.222,1.22821,682.933,682.742,-16.1375,315.647,0.114306,58.7134,58.7134,0.0608675,741.63,741.455,-16.0766,
1.466,12.5,0,2280,4.98,1189.03,312.502,1.21228,680.794,680.665,-13.2762,313.103,0.106643,56.7834,56.7831,-0.198657,737.571,737.448,-13.4749,
1.716,12.5,0,2282,5.0,1194.85,313.981,1.21535,677.709,677.542,-15.0445,314.351,0.113099,59.0993,59.0861,-1.24681,736.809,736.628,-16.2913,
1.982,12.5,0,2279,4.98,1188.51,312.949,1.2223,685.899,685.72,-15.6781,313.48,0.109659,57.68,57.6794,0.272956,743.559,743.4,-15.4051,
2.232,12.5,0,2279,4.99,1190.9,313.268,1.20662,675.664,675.528,-13.5292,313.702,0.110311,58.2024,58.1771,-1.71449,733.864,733.705,-15.2437,
2.466,12.5,0,2279,5.03,1200.44,312.692,1.21819,680.548,680.407,-13.8562,313.322,0.107508,56.9346,56.9345,0.0859726,737.47,737.342,-13.7703,
2.669,12.5,0,2281,4.92,1175.22,313.824,1.21124,678.259,678.12,-13.7162,314.271,0.114897,59.6531,59.6322,-1.58076,737.911,737.752,-15.297,
2.919,12.5,0,2280,4.96,1184.25,312.925,1.21847,680.546,680.399,-14.1314,313.5,0.107109,56.6977,56.6923,-0.782045,737.242,737.092,-14.9134,
3.122,12.5,0,2281,4.97,1187.16,314.226,1.23214,684.917,684.689,-17.6552,314.656,0.114465,59.4936,59.4823,-1.1633,744.409,744.171,-18.8185,
3.357,12.5,0,2280,5.0,1193.81,312.934,1.20185,677.781,677.623,-14.614,313.526,0.108805,56.4821,56.4815,-0.254881,734.255,734.105,-14.8688,
3.622,12.5,0,2281,4.97,1187.16,311.894,1.2213,683.646,683.426,-17.3175,312.401,0.112187,59.3328,59.3125,-1.55196,742.978,742.739,-18.8695,
3.872,12.5,0,2279,4.99,1190.9,313.301,1.21456,680.3,680.112,-15.9999,313.839,0.111715,57.4884,57.4864,0.481629,737.761,737.598,-15.5183,
4.122,12.5,0,2280,4.98,1189.03,312.406,1.2211,682.75,682.566,-15.88,312.816,0.113757,59.8244,59.8021,-1.63472,742.574,742.368,-17.5147,
4.325,12.5,0,2278,5.03,1199.91,313.588,1.22137,682.346,682.156,-16.0888,314.043,0.111894,57.5729,57.5714,0.412755,739.894,739.728,-15.676,
4.575,12.5,0,2280,5.0,1193.81,313.934,1.22761,679.594,679.462,-13.3673,314.526,0.111532,58.2375,58.2351,-0.52825,737.828,737.698,-13.8955,
4.841,12.5,0,2279,4.99,1190.9,311.697,1.20841,676.751,676.598,-14.3791,312.155,0.110885,58.4053,58.378,-1.7836,735.154,734.976,-16.1627,
5.091,12.5,0,2281,4.99,1191.94,313.557,1.22708,687.023,686.818,-16.7833,314.052,0.113349,58.6917,58.6909,0.321091,745.69,745.508,-16.4623,
5.341,12.5,0,2280,4.95,1181.87,315.444,1.19856,674.562,674.365,-16.2896,315.938,0.107322,56.8819,56.8527,-1.81931,731.442,731.218,-18.1089,
5.591,12.5,0,2281,5.0,1194.33,296.303,1.16794,663.18,662.38,32.5504,297.083,0.125352,59.4693,50.34,31.6619,715.607,712.721,64.2123,
5.841,12.5,0,2279,4.91,1171.8,296.361,1.14101,650.556,649.609,35.1017,297.298,0.122633,59.3441,48.9822,33.5032,701.952,698.591,68.6049,
6.091,12.5,0,2282,4.94,1180.51,313.937,1.20868,674.029,673.692,-21.3004,314.366,0.111733,57.8699,57.869,-0.318664,731.88,731.561,-21.6191,
6.341,12.5,0,2281,4.99,1191.94,312.958,1.21766,678.255,677.996,-18.7524,313.565,0.108984,57.5391,57.5383,-0.295264,735.781,735.535,-19.0476,
6.591,12.5,0,2282,4.93,1178.12,315.046,1.25439,695.338,695.018,-21.0947,315.491,0.117985,60.921,60.9158,-0.790376,756.251,755.934,-21.8851,
6.794,12.5,0,2281,5.02,1199.11,311.925,1.21784,682.034,681.835,-16.4757,312.452,0.111547,57.6724,57.6724,-0.0538544,739.692,739.507,-16.5295,
7.044,12.5,0,2280,4.95,1181.87,312.547,1.23025,687.57,687.268,-20.3847,312.99,0.113319,59.8744,59.8418,-1.97853,747.444,747.11,-22.3632,
